;ENSCAFT00000014422_90_90;ENSCAFT00000021670_90_90;ENST00000265969_90_90;ENST00000379472_90_90;ENST00000638366_90_90;ENST00000638825_90_90;ENST00000639325_90_90;ENST00000639495_90_90;ENST00000640318_90_90;ENST00000640461_90_90;ENST00000640909_90_90;ENST00000302127_90_90;ENST00000315987_90_90;ENST00000369697_90_90;ENSMUST00000079169_90_90;ENSMUST00000098761_90_90;ENSMUST00000118360_90_90;ENSMUST00000025202_90_90;ENSMUST00000160433_90_90
ENSCAFT00000014422_90_90;1.0;0.732;0.83;0.859;0.089;0.023;0.072;0.232;0.633;0.041;0.365;0.915;0.917;0.915;0.917;0.915;0.917;0.858;0.829
ENSCAFT00000021670_90_90;0.732;1.0;0.667;0.662;0.09;0.021;0.059;0.187;0.499;0.035;0.317;0.732;0.732;0.732;0.732;0.732;0.732;0.662;0.667
ENST00000265969_90_90;0.83;0.667;1.0;0.843;0.093;0.131;0.066;0.216;0.686;0.038;0.52;0.608;0.592;0.608;0.602;0.618;0.602;0.844;0.999
ENST00000379472_90_90;0.859;0.662;0.843;1.0;0.1;0.024;0.074;0.244;0.599;0.043;0.371;0.694;0.674;0.694;0.674;0.694;0.674;1.0;0.843
ENST00000638366_90_90;0.089;0.09;0.093;0.1;1.0;0.12;0.308;0.26;0.107;0.196;0.174;0.076;0.074;0.076;0.074;0.076;0.074;0.1;0.093
ENST00000638825_90_90;0.023;0.021;0.131;0.024;0.12;1.0;0.082;0.056;0.152;0.102;0.251;0.018;0.017;0.018;0.018;0.018;0.018;0.024;0.13
ENST00000639325_90_90;0.072;0.059;0.066;0.074;0.308;0.082;1.0;0.446;0.205;0.671;0.116;0.061;0.059;0.061;0.059;0.061;0.059;0.083;0.072
ENST00000639495_90_90;0.232;0.187;0.216;0.244;0.26;0.056;0.446;1.0;0.36;0.382;0.389;0.193;0.187;0.193;0.187;0.193;0.187;0.265;0.232
ENST00000640318_90_90;0.633;0.499;0.686;0.599;0.107;0.152;0.205;0.36;1.0;0.138;0.54;0.469;0.456;0.469;0.462;0.475;0.462;0.66;0.754
ENST00000640461_90_90;0.041;0.035;0.038;0.043;0.196;0.102;0.671;0.382;0.138;1.0;0.069;0.036;0.035;0.036;0.035;0.036;0.035;0.047;0.041
ENST00000640909_90_90;0.365;0.317;0.52;0.371;0.174;0.251;0.116;0.389;0.54;0.069;1.0;0.285;0.277;0.285;0.282;0.289;0.282;0.371;0.519
ENST00000302127_90_90;0.915;0.732;0.608;0.694;0.076;0.018;0.061;0.193;0.469;0.036;0.285;1.0;0.971;1.0;0.971;1.0;0.971;0.693;0.607
ENST00000315987_90_90;0.917;0.732;0.592;0.674;0.074;0.017;0.059;0.187;0.456;0.035;0.277;0.971;1.0;0.971;1.0;0.971;1.0;0.672;0.591
ENST00000369697_90_90;0.915;0.732;0.608;0.694;0.076;0.018;0.061;0.193;0.469;0.036;0.285;1.0;0.971;1.0;0.971;1.0;0.971;0.693;0.607
ENSMUST00000079169_90_90;0.917;0.732;0.602;0.674;0.074;0.018;0.059;0.187;0.462;0.035;0.282;0.971;1.0;0.971;1.0;0.971;1.0;0.672;0.6
ENSMUST00000098761_90_90;0.915;0.732;0.618;0.694;0.076;0.018;0.061;0.193;0.475;0.036;0.289;1.0;0.971;1.0;0.971;1.0;0.971;0.693;0.616
ENSMUST00000118360_90_90;0.917;0.732;0.602;0.674;0.074;0.018;0.059;0.187;0.462;0.035;0.282;0.971;1.0;0.971;1.0;0.971;1.0;0.672;0.6
ENSMUST00000025202_90_90;0.858;0.662;0.844;1.0;0.1;0.024;0.083;0.265;0.66;0.047;0.371;0.693;0.672;0.693;0.672;0.693;0.672;1.0;0.843
ENSMUST00000160433_90_90;0.829;0.667;0.999;0.843;0.093;0.13;0.072;0.232;0.754;0.041;0.519;0.607;0.591;0.607;0.6;0.616;0.6;0.843;1.0
