;transcript9_ENSAPOG00000016134;transcript9_ENSXMAG00000026005;transcript14_ENSAPOG00000016134;transcript14_ENSAPOG00000023408;transcript21_ENSAPOG00000016134;transcript21_ENSPNYG00000024266;transcript7_ENSAPOG00000023408;transcript7_ENSAOCG00000015695;transcript7_ENSPNYG00000024266;transcript7_ENSXMAG00000026005;transcript23_ENSAPOG00000023408;transcript23_ENSPNYG00000024266;transcript28_ENSAPOG00000023408;transcript28_ENSAOCG00000015695;transcript29_ENSAPOG00000023408;transcript29_ENSAOCG00000015695;transcript30_ENSAPOG00000023408;transcript31_ENSAPOG00000023408;transcript17_ENSAOCG00000015695;transcript18_ENSAOCG00000015695;transcript26_ENSAOCG00000015695;transcript27_ENSAOCG00000015695;transcript12_ENSPNYG00000024266;transcript22_ENSPNYG00000024266;transcript24_ENSPNYG00000024266
transcript9_ENSAPOG00000016134;1.0;1.0;0.286;0.286;0.125;0.131;0.607;0.607;0.75;0.607;0.227;0.259;0.359;0.359;0.233;0.233;0.227;0.238;0.309;0.303;0.204;0.204;0.309;0.327;0.325
transcript9_ENSXMAG00000026005;1.0;1.0;0.792;0.792;0.38;0.395;0.607;0.607;0.75;0.607;0.519;0.593;0.864;0.864;0.52;0.52;0.516;0.516;0.845;0.807;0.496;0.496;0.845;0.873;0.855
transcript14_ENSAPOG00000016134;0.286;0.792;1.0;1.0;0.769;0.841;0.139;0.152;0.237;0.458;0.747;0.859;0.781;0.778;0.658;0.686;0.75;0.647;0.93;0.917;0.857;0.857;0.994;0.941;0.915
transcript14_ENSAPOG00000023408;0.286;0.792;1.0;1.0;0.769;0.841;0.139;0.152;0.237;0.458;0.747;0.859;0.781;0.778;0.658;0.686;0.75;0.647;0.93;0.917;0.857;0.857;0.994;0.941;0.915
transcript21_ENSAPOG00000016134;0.125;0.38;0.769;0.769;1.0;1.0;0.0;0.0;0.0;0.0;0.746;0.786;0.649;0.651;0.633;0.671;0.748;0.619;0.82;0.685;0.737;0.737;0.82;0.76;0.739
transcript21_ENSPNYG00000024266;0.131;0.395;0.841;0.841;1.0;1.0;0.0;0.0;0.0;0.0;0.76;0.804;0.673;0.674;0.647;0.689;0.764;0.632;0.847;0.75;0.76;0.76;0.847;0.787;0.766
transcript7_ENSAPOG00000023408;0.607;0.607;0.139;0.139;0.0;0.0;1.0;1.0;1.0;1.0;0.188;0.188;0.175;0.175;0.212;0.212;0.187;0.217;0.15;0.148;0.164;0.164;0.15;0.161;0.159
transcript7_ENSAOCG00000015695;0.607;0.607;0.152;0.152;0.0;0.0;1.0;1.0;1.0;1.0;0.213;0.213;0.195;0.195;0.218;0.218;0.211;0.224;0.166;0.161;0.183;0.183;0.166;0.18;0.175
transcript7_ENSPNYG00000024266;0.75;0.75;0.237;0.237;0.0;0.0;1.0;1.0;1.0;1.0;0.269;0.269;0.254;0.254;0.323;0.323;0.268;0.323;0.242;0.244;0.245;0.245;0.242;0.258;0.25
transcript7_ENSXMAG00000026005;0.607;0.607;0.458;0.458;0.0;0.0;1.0;1.0;1.0;1.0;0.843;0.843;0.51;0.51;0.846;0.846;0.838;0.838;0.496;0.47;0.807;0.807;0.496;0.516;0.503
