;ENSCAFT00000031036_90_90;ENSCAFT00000043222_90_90;ENST00000164247_90_90;ENST00000341524_90_90;ENST00000352527_90_90;ENST00000378083_90_90;ENST00000378092_90_90;ENST00000378097_90_90;ENST00000378111_90_90;ENST00000389632_90_90;ENST00000428161_90_90;ENST00000445501_90_90;ENST00000458166_90_90;ENST00000462676_90_90;ENST00000472700_90_90;ENST00000602612_90_90;ENSMUST00000030768_90_90;ENSMUST00000105648_90_90;ENSMUST00000159186_90_90;ENSMUST00000159840_90_90;ENSMUST00000160884_90_90;ENSMUST00000161236_90_90;ENSMUST00000162017_90_90
ENSCAFT00000031036_90_90;1.0;0.748;0.74;0.74;0.764;0.822;0.764;0.74;0.137;0.487;0.537;0.027;0.745;0.04;0.141;0.603;0.771;0.747;0.723;0.771;0.747;0.216;0.0
ENSCAFT00000043222_90_90;0.748;1.0;0.989;0.989;0.951;0.714;0.951;0.989;0.252;0.688;0.69;0.141;0.808;0.043;0.213;0.797;0.958;0.996;0.959;0.958;0.996;0.364;0.104
ENST00000164247_90_90;0.74;0.989;1.0;1.0;0.962;0.72;0.962;1.0;0.252;0.691;0.691;0.141;0.817;0.042;0.212;0.797;0.951;0.989;0.951;0.951;0.989;0.363;0.104
ENST00000341524_90_90;0.74;0.989;1.0;1.0;0.962;0.72;0.962;1.0;0.252;0.691;0.691;0.141;0.817;0.042;0.212;0.797;0.951;0.989;0.951;0.951;0.989;0.363;0.104
ENST00000352527_90_90;0.764;0.951;0.962;0.962;1.0;0.743;1.0;0.962;0.219;0.653;0.719;0.103;0.85;0.043;0.18;0.764;0.989;0.951;0.914;0.989;0.951;0.325;0.07
ENST00000378083_90_90;0.822;0.714;0.72;0.72;0.743;1.0;0.743;0.72;0.133;0.471;0.518;0.026;0.723;0.038;0.136;0.583;0.735;0.712;0.745;0.735;0.712;0.206;0.0
ENST00000378092_90_90;0.764;0.951;0.962;0.962;1.0;0.743;1.0;0.962;0.219;0.653;0.719;0.103;0.85;0.043;0.18;0.764;0.989;0.951;0.914;0.989;0.951;0.325;0.07
ENST00000378097_90_90;0.74;0.989;1.0;1.0;0.962;0.72;0.962;1.0;0.252;0.691;0.691;0.141;0.817;0.042;0.212;0.797;0.951;0.989;0.951;0.951;0.989;0.363;0.104
ENST00000378111_90_90;0.137;0.252;0.252;0.252;0.219;0.133;0.219;0.252;1.0;0.342;0.285;0.299;0.097;0.071;0.381;0.237;0.219;0.251;0.243;0.219;0.251;0.545;0.22
ENST00000389632_90_90;0.487;0.688;0.691;0.691;0.653;0.471;0.653;0.691;0.342;1.0;0.893;0.204;0.509;0.055;0.286;0.642;0.65;0.688;0.661;0.65;0.688;0.524;0.15
ENST00000428161_90_90;0.537;0.69;0.691;0.691;0.719;0.518;0.719;0.691;0.285;0.893;1.0;0.14;0.569;0.055;0.232;0.642;0.717;0.69;0.663;0.717;0.69;0.444;0.096
ENST00000445501_90_90;0.027;0.141;0.141;0.141;0.103;0.026;0.103;0.141;0.299;0.204;0.14;1.0;0.0;0.0;0.199;0.131;0.102;0.14;0.134;0.102;0.14;0.382;0.735
ENST00000458166_90_90;0.745;0.808;0.817;0.817;0.85;0.723;0.85;0.817;0.097;0.509;0.569;0.0;1.0;0.049;0.099;0.639;0.841;0.809;0.778;0.841;0.809;0.181;0.0
ENST00000462676_90_90;0.04;0.043;0.042;0.042;0.043;0.038;0.043;0.042;0.071;0.055;0.055;0.0;0.049;1.0;0.153;0.04;0.044;0.043;0.041;0.044;0.043;0.085;0.0
ENST00000472700_90_90;0.141;0.213;0.212;0.212;0.18;0.136;0.18;0.212;0.381;0.286;0.232;0.199;0.099;0.153;1.0;0.199;0.18;0.212;0.205;0.18;0.212;0.454;0.122
ENST00000602612_90_90;0.603;0.797;0.797;0.797;0.764;0.583;0.764;0.797;0.237;0.642;0.642;0.131;0.639;0.04;0.199;1.0;0.764;0.797;0.77;0.764;0.797;0.337;0.096
ENSMUST00000030768_90_90;0.771;0.958;0.951;0.951;0.989;0.735;0.989;0.951;0.219;0.65;0.717;0.102;0.841;0.044;0.18;0.764;1.0;0.962;0.924;1.0;0.962;0.327;0.07
ENSMUST00000105648_90_90;0.747;0.996;0.989;0.989;0.951;0.712;0.951;0.989;0.251;0.688;0.69;0.14;0.809;0.043;0.212;0.797;0.962;1.0;0.961;0.962;1.0;0.365;0.104
ENSMUST00000159186_90_90;0.723;0.959;0.951;0.951;0.914;0.745;0.914;0.951;0.243;0.661;0.663;0.134;0.778;0.041;0.205;0.77;0.924;0.961;1.0;0.924;0.961;0.351;0.099
ENSMUST00000159840_90_90;0.771;0.958;0.951;0.951;0.989;0.735;0.989;0.951;0.219;0.65;0.717;0.102;0.841;0.044;0.18;0.764;1.0;0.962;0.924;1.0;0.962;0.327;0.07
ENSMUST00000160884_90_90;0.747;0.996;0.989;0.989;0.951;0.712;0.951;0.989;0.251;0.688;0.69;0.14;0.809;0.043;0.212;0.797;0.962;1.0;0.961;0.962;1.0;0.365;0.104
ENSMUST00000161236_90_90;0.216;0.364;0.363;0.363;0.325;0.206;0.325;0.363;0.545;0.524;0.444;0.382;0.181;0.085;0.454;0.337;0.327;0.365;0.351;0.327;0.365;1.0;0.284
ENSMUST00000162017_90_90;0.0;0.104;0.104;0.104;0.07;0.0;0.07;0.104;0.22;0.15;0.096;0.735;0.0;0.0;0.122;0.096;0.07;0.104;0.099;0.07;0.104;0.284;1.0
