;ENSCAFT00000013561_90_90;ENSCAFT00000013564_90_90;ENST00000233330_90_90;ENST00000272430_90_90;ENST00000305557_90_90;ENST00000640304_90_90;ENSMUST00000065512_90_90;ENSMUST00000087938_90_90;ENSMUST00000121093_90_90;ENSMUST00000129316_90_90;ENSMUST00000130622_90_90;ENSMUST00000135490_90_90;ENSMUST00000213056_90_90
ENSCAFT00000013561_90_90;1.0;0.567;0.819;0.952;0.923;0.048;0.956;0.883;0.883;0.114;0.31;0.332;0.044
ENSCAFT00000013564_90_90;0.567;1.0;0.633;0.641;0.662;0.218;0.619;0.662;0.662;0.146;0.327;0.423;0.218
ENST00000233330_90_90;0.819;0.633;1.0;0.819;0.83;0.051;0.819;0.867;0.867;0.143;0.241;0.415;0.055
ENST00000272430_90_90;0.952;0.641;0.819;1.0;0.794;0.043;1.0;0.824;0.824;0.118;0.267;0.344;0.044
ENST00000305557_90_90;0.923;0.662;0.83;0.794;1.0;0.043;0.794;0.953;0.953;0.12;0.33;0.349;0.044
ENST00000640304_90_90;0.048;0.218;0.051;0.043;0.043;1.0;0.044;0.048;0.048;0.0;0.0;0.0;0.996
ENSMUST00000065512_90_90;0.956;0.619;0.819;1.0;0.794;0.044;1.0;0.805;0.805;0.114;0.23;0.332;0.04
ENSMUST00000087938_90_90;0.883;0.662;0.867;0.824;0.953;0.048;0.805;1.0;1.0;0.116;0.233;0.337;0.04
ENSMUST00000121093_90_90;0.883;0.662;0.867;0.824;0.953;0.048;0.805;1.0;1.0;0.116;0.233;0.337;0.04
ENSMUST00000129316_90_90;0.114;0.146;0.143;0.118;0.12;0.0;0.114;0.116;0.116;1.0;0.273;0.343;0.0
ENSMUST00000130622_90_90;0.31;0.327;0.241;0.267;0.33;0.0;0.23;0.233;0.233;0.273;1.0;0.388;0.0
ENSMUST00000135490_90_90;0.332;0.423;0.415;0.344;0.349;0.0;0.332;0.337;0.337;0.343;0.388;1.0;0.0
ENSMUST00000213056_90_90;0.044;0.218;0.055;0.044;0.044;0.996;0.04;0.04;0.04;0.0;0.0;0.0;1.0
