;ENSCAFT00000001289_90_90;ENST00000166534_90_90;ENST00000360568_90_90;ENST00000379086_90_90;ENST00000379100_90_90;ENST00000379104_90_90;ENST00000395164_90_90;ENST00000401867_90_90;ENST00000416053_90_90;ENST00000417528_90_90;ENST00000418055_90_90;ENST00000428369_90_90;ENST00000428841_90_90;ENST00000431054_90_90;ENST00000439698_90_90;ENST00000453286_90_90;ENSMUST00000019050_90_90;ENSMUST00000093107_90_90;ENSMUST00000125132_90_90;ENSMUST00000126840_90_90;ENSMUST00000129499_90_90;ENSMUST00000135653_90_90;ENSMUST00000138477_90_90;ENSMUST00000141258_90_90;ENSMUST00000151218_90_90;ENSMUST00000174616_90_90
ENSCAFT00000001289_90_90;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.533;0.533;0.667;0.533;0.867;0.533;0.533;0.0;0.533;0.533
ENST00000166534_90_90;0.0;1.0;0.905;0.905;0.905;1.0;0.7;1.0;0.3;0.85;0.45;0.55;0.2;0.696;0.75;0.6;0.85;0.762;0.0;0.2;0.0;0.25;0.5;0.158;0.35;0.762
ENST00000360568_90_90;0.0;0.905;1.0;1.0;1.0;0.905;0.7;0.905;0.3;0.85;0.45;0.55;0.2;0.696;0.75;0.6;0.762;0.85;0.0;0.2;0.0;0.25;0.5;0.158;0.35;0.85
ENST00000379086_90_90;0.0;0.905;1.0;1.0;1.0;0.905;0.7;0.905;0.3;0.85;0.45;0.55;0.2;0.696;0.75;0.6;0.762;0.85;0.0;0.2;0.0;0.25;0.5;0.158;0.35;0.85
ENST00000379100_90_90;0.0;0.905;1.0;1.0;1.0;0.905;0.7;0.905;0.3;0.85;0.45;0.55;0.2;0.696;0.75;0.6;0.762;0.85;0.0;0.2;0.0;0.25;0.5;0.158;0.35;0.85
ENST00000379104_90_90;0.0;1.0;0.905;0.905;0.905;1.0;0.7;1.0;0.3;0.85;0.45;0.55;0.2;0.696;0.75;0.6;0.85;0.762;0.0;0.2;0.0;0.25;0.5;0.158;0.35;0.762
ENST00000395164_90_90;0.0;0.7;0.7;0.7;0.7;0.7;1.0;0.7;0.429;0.824;0.643;0.786;0.286;0.737;0.933;0.857;0.55;0.55;0.0;0.286;0.0;0.357;0.714;0.231;0.5;0.55
ENST00000401867_90_90;0.0;1.0;0.905;0.905;0.905;1.0;0.7;1.0;0.3;0.85;0.45;0.55;0.2;0.696;0.75;0.6;0.85;0.762;0.0;0.2;0.0;0.25;0.5;0.158;0.35;0.762
ENST00000416053_90_90;0.0;0.3;0.3;0.3;0.3;0.3;0.429;0.3;1.0;0.353;0.667;0.545;0.667;0.316;0.4;0.5;0.15;0.15;0.0;0.429;0.0;0.375;0.231;0.6;0.3;0.15
ENST00000417528_90_90;0.0;0.85;0.85;0.85;0.85;0.85;0.824;0.85;0.353;1.0;0.529;0.647;0.235;0.8;0.882;0.706;0.7;0.7;0.0;0.235;0.0;0.294;0.588;0.188;0.412;0.7
ENST00000418055_90_90;0.0;0.45;0.45;0.45;0.45;0.45;0.643;0.45;0.667;0.529;1.0;0.818;0.444;0.474;0.6;0.75;0.3;0.3;0.0;0.444;0.0;0.556;0.462;0.375;0.6;0.3
ENST00000428369_90_90;0.0;0.55;0.55;0.55;0.55;0.55;0.786;0.55;0.545;0.647;0.818;1.0;0.364;0.579;0.733;0.917;0.4;0.4;0.0;0.364;0.0;0.455;0.615;0.3;0.636;0.4
ENST00000428841_90_90;0.0;0.2;0.2;0.2;0.2;0.2;0.286;0.2;0.667;0.235;0.444;0.364;1.0;0.211;0.267;0.333;0.1;0.1;0.0;0.286;0.0;0.25;0.154;0.75;0.2;0.1
ENST00000431054_90_90;0.0;0.696;0.696;0.696;0.696;0.696;0.737;0.696;0.316;0.8;0.474;0.579;0.211;1.0;0.789;0.632;0.75;0.75;0.0;0.375;0.0;0.438;0.75;0.25;0.562;0.75
ENST00000439698_90_90;0.0;0.75;0.75;0.75;0.75;0.75;0.933;0.75;0.4;0.882;0.6;0.733;0.267;0.789;1.0;0.8;0.6;0.6;0.0;0.267;0.0;0.333;0.667;0.214;0.467;0.6
ENST00000453286_90_90;0.0;0.6;0.6;0.6;0.6;0.6;0.857;0.6;0.5;0.706;0.75;0.917;0.333;0.632;0.8;1.0;0.45;0.45;0.0;0.333;0.0;0.417;0.692;0.273;0.583;0.45
ENSMUST00000019050_90_90;0.533;0.85;0.762;0.762;0.762;0.85;0.55;0.85;0.15;0.7;0.3;0.4;0.1;0.75;0.6;0.45;1.0;0.933;0.25;0.552;0.235;0.586;0.759;0.133;0.655;0.933
ENSMUST00000093107_90_90;0.533;0.762;0.85;0.85;0.85;0.762;0.55;0.762;0.15;0.7;0.3;0.4;0.1;0.75;0.6;0.45;0.933;1.0;0.25;0.552;0.235;0.586;0.759;0.133;0.655;1.0
ENSMUST00000125132_90_90;0.667;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.25;1.0;0.421;0.5;0.4;0.32;0.0;0.364;0.25
ENSMUST00000126840_90_90;0.533;0.2;0.2;0.2;0.2;0.2;0.286;0.2;0.429;0.235;0.444;0.364;0.286;0.375;0.267;0.333;0.552;0.552;0.421;1.0;0.381;0.941;0.727;0.235;0.842;0.552
ENSMUST00000129499_90_90;0.867;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.235;0.235;0.5;0.381;1.0;0.364;0.296;0.0;0.333;0.235
ENSMUST00000135653_90_90;0.533;0.25;0.25;0.25;0.25;0.25;0.357;0.25;0.375;0.294;0.556;0.455;0.25;0.438;0.333;0.417;0.586;0.586;0.4;0.941;0.364;1.0;0.773;0.222;0.895;0.586
ENSMUST00000138477_90_90;0.533;0.5;0.5;0.5;0.5;0.5;0.714;0.5;0.231;0.588;0.462;0.615;0.154;0.75;0.667;0.692;0.759;0.759;0.32;0.727;0.296;0.773;1.0;0.174;0.864;0.759
ENSMUST00000141258_90_90;0.0;0.158;0.158;0.158;0.158;0.158;0.231;0.158;0.6;0.188;0.375;0.3;0.75;0.25;0.214;0.273;0.133;0.133;0.0;0.235;0.0;0.222;0.174;1.0;0.2;0.133
ENSMUST00000151218_90_90;0.533;0.35;0.35;0.35;0.35;0.35;0.5;0.35;0.3;0.412;0.6;0.636;0.2;0.562;0.467;0.583;0.655;0.655;0.364;0.842;0.333;0.895;0.864;0.2;1.0;0.655
ENSMUST00000174616_90_90;0.533;0.762;0.85;0.85;0.85;0.762;0.55;0.762;0.15;0.7;0.3;0.4;0.1;0.75;0.6;0.45;0.933;1.0;0.25;0.552;0.235;0.586;0.759;0.133;0.655;1.0
