;ENSCAFT00000025386_90_90;ENST00000389900_90_90;ENST00000389902_90_90;ENST00000411812_90_90;ENST00000416985_90_90;ENST00000425013_90_90;ENSMUST00000053498_90_90;ENSMUST00000197296_90_90;ENSMUST00000200430_90_90;ENSMUST00000200607_90_90
ENSCAFT00000025386_90_90;1.0;0.3;0.991;0.024;0.021;0.93;0.92;0.073;0.065;0.982
ENST00000389900_90_90;0.3;1.0;0.304;0.063;0.06;0.323;0.309;0.199;0.061;0.29
ENST00000389902_90_90;0.991;0.304;1.0;0.024;0.021;0.938;0.922;0.073;0.065;0.984
ENST00000411812_90_90;0.024;0.063;0.024;1.0;0.401;0.025;0.026;0.245;0.258;0.025
ENST00000416985_90_90;0.021;0.06;0.021;0.401;1.0;0.023;0.023;0.289;0.328;0.022
ENST00000425013_90_90;0.93;0.323;0.938;0.025;0.023;1.0;0.983;0.075;0.069;0.922
ENSMUST00000053498_90_90;0.92;0.309;0.922;0.026;0.023;0.983;1.0;0.077;0.07;0.937
ENSMUST00000197296_90_90;0.073;0.199;0.073;0.245;0.289;0.075;0.077;1.0;0.211;0.075
ENSMUST00000200430_90_90;0.065;0.061;0.065;0.258;0.328;0.069;0.07;0.211;1.0;0.066
ENSMUST00000200607_90_90;0.982;0.29;0.984;0.025;0.022;0.922;0.937;0.075;0.066;1.0
