;ENSCAFT00000031843_90_90;ENST00000372554_90_90;ENST00000372559_90_90;ENST00000372564_90_90;ENST00000416230_90_90;ENST00000416629_90_90;ENST00000417224_90_90;ENST00000425236_90_90;ENST00000455407_90_90;ENSMUST00000028214_90_90;ENSMUST00000100215_90_90;ENSMUST00000113620_90_90;ENSMUST00000113621_90_90;ENSMUST00000163668_90_90
ENSCAFT00000031843_90_90;1.0;1.0;0.9;0.9;0.3;0.8;1.0;0.1;0.2;0.909;1.0;0.818;1.0;0.909
ENST00000372554_90_90;1.0;1.0;0.8;0.8;0.235;0.733;0.933;0.118;0.133;0.786;0.929;0.714;1.0;0.857
ENST00000372559_90_90;0.9;0.8;1.0;1.0;0.286;0.917;0.857;0.143;0.167;1.0;0.846;0.909;0.786;0.769
ENST00000372564_90_90;0.9;0.8;1.0;1.0;0.286;0.917;0.857;0.143;0.167;1.0;0.846;0.909;0.786;0.769
ENST00000416230_90_90;0.3;0.235;0.286;0.286;1.0;0.308;0.25;0.429;0.143;0.273;0.231;0.3;0.214;0.25
ENST00000416629_90_90;0.8;0.733;0.917;0.917;0.308;1.0;0.786;0.154;0.182;0.909;0.769;1.0;0.714;0.833
ENST00000417224_90_90;1.0;0.933;0.857;0.857;0.25;0.786;1.0;0.125;0.143;0.846;1.0;0.769;0.929;0.923
ENST00000425236_90_90;0.1;0.118;0.143;0.143;0.429;0.154;0.125;1.0;0.0;0.091;0.077;0.1;0.071;0.083
ENST00000455407_90_90;0.2;0.133;0.167;0.167;0.143;0.182;0.143;0.0;1.0;0.182;0.154;0.2;0.143;0.167
ENSMUST00000028214_90_90;0.909;0.786;1.0;1.0;0.273;0.909;0.846;0.091;0.182;1.0;0.857;0.917;0.8;0.786
ENSMUST00000100215_90_90;1.0;0.929;0.846;0.846;0.231;0.769;1.0;0.077;0.154;0.857;1.0;0.786;0.933;0.929
ENSMUST00000113620_90_90;0.818;0.714;0.909;0.909;0.3;1.0;0.769;0.1;0.2;0.917;0.786;1.0;0.733;0.846
ENSMUST00000113621_90_90;1.0;1.0;0.786;0.786;0.214;0.714;0.929;0.071;0.143;0.8;0.933;0.733;1.0;0.867
ENSMUST00000163668_90_90;0.909;0.857;0.769;0.769;0.25;0.833;0.923;0.083;0.167;0.786;0.929;0.846;0.867;1.0
