;ENSCAFT00000025578_90_90;ENSCAFT00000025580_90_90;ENST00000263846_90_90;ENST00000535826_90_90;ENST00000539008_90_90;ENST00000539246_90_90;ENST00000539468_90_90;ENST00000540677_90_90;ENST00000542670_90_90;ENST00000542836_90_90;ENST00000545053_90_90;ENSMUST00000073899_90_90;ENSMUST00000076968_90_90;ENSMUST00000169121_90_90;ENSMUST00000223586_90_90;ENSMUST00000224135_90_90;ENSMUST00000225452_90_90
ENSCAFT00000025578_90_90;1.0;0.646;0.288;0.428;0.622;0.152;0.152;0.376;0.534;0.34;0.24;0.288;0.534;0.482;0.34;0.424;0.308
ENSCAFT00000025580_90_90;0.646;1.0;0.371;0.544;0.783;0.208;0.208;0.48;0.674;0.435;0.321;0.371;0.674;0.61;0.435;0.538;0.408
ENST00000263846_90_90;0.288;0.371;1.0;0.772;0.587;0.158;0.158;0.843;0.66;0.902;0.435;1.0;0.66;0.711;0.902;0.778;0.129
ENST00000535826_90_90;0.428;0.544;0.772;1.0;0.761;0.219;0.219;0.916;0.652;0.856;0.336;0.772;0.652;0.587;0.856;0.633;0.343
ENST00000539008_90_90;0.622;0.783;0.587;0.761;1.0;0.167;0.167;0.697;0.891;0.652;0.256;0.587;0.891;0.827;0.652;0.755;0.325
ENST00000539246_90_90;0.152;0.208;0.158;0.219;0.167;1.0;1.0;0.136;0.187;0.255;0.318;0.158;0.187;0.116;0.255;0.126;0.502
ENST00000539468_90_90;0.152;0.208;0.158;0.219;0.167;1.0;1.0;0.136;0.187;0.255;0.318;0.158;0.187;0.116;0.255;0.126;0.502
ENST00000540677_90_90;0.376;0.48;0.843;0.916;0.697;0.136;0.136;1.0;0.587;0.772;0.367;0.843;0.587;0.628;0.772;0.68;0.264
ENST00000542670_90_90;0.534;0.674;0.66;0.652;0.891;0.187;0.187;0.587;1.0;0.732;0.287;0.66;1.0;0.928;0.732;0.848;0.215
ENST00000542836_90_90;0.34;0.435;0.902;0.856;0.652;0.255;0.255;0.772;0.732;1.0;0.392;0.902;0.732;0.66;1.0;0.717;0.208
ENST00000545053_90_90;0.24;0.321;0.435;0.336;0.256;0.318;0.318;0.367;0.287;0.392;1.0;0.435;0.287;0.309;0.392;0.338;0.219
ENSMUST00000073899_90_90;0.288;0.371;1.0;0.772;0.587;0.158;0.158;0.843;0.66;0.902;0.435;1.0;0.66;0.711;0.902;0.778;0.129
ENSMUST00000076968_90_90;0.534;0.674;0.66;0.652;0.891;0.187;0.187;0.587;1.0;0.732;0.287;0.66;1.0;0.928;0.732;0.848;0.215
ENSMUST00000169121_90_90;0.482;0.61;0.711;0.587;0.827;0.116;0.116;0.628;0.928;0.66;0.309;0.711;0.928;1.0;0.66;0.914;0.151
ENSMUST00000223586_90_90;0.34;0.435;0.902;0.856;0.652;0.255;0.255;0.772;0.732;1.0;0.392;0.902;0.732;0.66;1.0;0.717;0.208
ENSMUST00000224135_90_90;0.424;0.538;0.778;0.633;0.755;0.126;0.126;0.68;0.848;0.717;0.338;0.778;0.848;0.914;0.717;1.0;0.163
ENSMUST00000225452_90_90;0.308;0.408;0.129;0.343;0.325;0.502;0.502;0.264;0.215;0.208;0.219;0.129;0.215;0.151;0.208;0.163;1.0
