;transcript52_ENSMUGG00000013592;transcript55_ENSCGRG00015005362;transcript52_ENSCGRG00015005362;transcript7_MGP-CAROLIEiJ-G0020234;transcript58_MGP-CAROLIEiJ-G0020234;transcript57_MGP-CAROLIEiJ-G0020234;transcript59_MGP-CAROLIEiJ-G0020234;transcript7_ENSMUGG00000013649;transcript28_ENSMUGG00000013649;transcript42_ENSMUGG00000013649;transcript7_ENSMUGG00000013592;transcript42_ENSMUGG00000013592;transcript7_ENSPEMG00000024651;transcript7_ENSCGRG00015005362;transcript7_ENSCGRG00000018457;transcript54_ENSCGRG00015005362;transcript53_ENSCGRG00015005362
transcript52_ENSMUGG00000013592;1.0;0.847;0.96;0.374;0.4;0.311;0.311;0.237;0.834;0.845;0.209;0.835;0.659;0.194;0.659;0.869;0.806
transcript55_ENSCGRG00015005362;0.847;1.0;0.85;0.634;0.678;0.597;0.597;0.344;0.974;0.959;0.344;0.957;1.0;0.274;1.0;0.981;0.909
transcript52_ENSCGRG00015005362;0.96;0.85;1.0;0.364;0.412;0.325;0.325;0.2;0.862;0.885;0.2;0.867;0.661;0.155;0.661;0.869;0.796
transcript7_MGP-CAROLIEiJ-G0020234;0.374;0.634;0.364;1.0;0.91;0.889;0.889;0.998;0.573;0.579;0.994;0.584;0.998;0.998;0.998;0.623;0.642
transcript58_MGP-CAROLIEiJ-G0020234;0.4;0.678;0.412;0.91;1.0;0.947;0.947;0.861;0.681;0.688;0.869;0.685;0.998;0.905;0.998;0.666;0.685
transcript57_MGP-CAROLIEiJ-G0020234;0.311;0.597;0.325;0.889;0.947;1.0;1.0;0.83;0.609;0.615;0.839;0.604;0.954;0.876;0.954;0.586;0.604
transcript59_MGP-CAROLIEiJ-G0020234;0.311;0.597;0.325;0.889;0.947;1.0;1.0;0.83;0.609;0.615;0.839;0.604;0.954;0.876;0.954;0.586;0.604
transcript7_ENSMUGG00000013649;0.237;0.344;0.2;0.998;0.861;0.83;0.83;1.0;0.321;0.326;0.996;0.362;1.0;1.0;1.0;0.342;0.38
transcript28_ENSMUGG00000013649;0.834;0.974;0.862;0.573;0.681;0.609;0.609;0.321;1.0;0.987;0.318;0.986;1.0;0.267;1.0;0.992;0.921
transcript42_ENSMUGG00000013649;0.845;0.959;0.885;0.579;0.688;0.615;0.615;0.326;0.987;1.0;0.322;0.996;1.0;0.275;1.0;0.978;0.906
transcript7_ENSMUGG00000013592;0.209;0.344;0.2;0.994;0.869;0.839;0.839;0.996;0.318;0.322;1.0;0.316;0.996;0.996;0.996;0.337;0.364
transcript42_ENSMUGG00000013592;0.835;0.957;0.867;0.584;0.685;0.604;0.604;0.362;0.986;0.996;0.316;1.0;0.996;0.317;0.996;0.978;0.917
transcript7_ENSPEMG00000024651;0.659;1.0;0.661;0.998;0.998;0.954;0.954;1.0;1.0;1.0;0.996;0.996;1.0;1.0;1.0;1.0;1.0
transcript7_ENSCGRG00015005362;0.194;0.274;0.155;0.998;0.905;0.876;0.876;1.0;0.267;0.275;0.996;0.317;1.0;1.0;1.0;0.269;0.293
transcript7_ENSCGRG00000018457;0.659;1.0;0.661;0.998;0.998;0.954;0.954;1.0;1.0;1.0;0.996;0.996;1.0;1.0;1.0;1.0;1.0
transcript54_ENSCGRG00015005362;0.869;0.981;0.869;0.623;0.666;0.586;0.586;0.342;0.992;0.978;0.337;0.978;1.0;0.269;1.0;1.0;0.928
transcript53_ENSCGRG00015005362;0.806;0.909;0.796;0.642;0.685;0.604;0.604;0.38;0.921;0.906;0.364;0.917;1.0;0.293;1.0;0.928;1.0
