;ENSCAFT00000014468_90_90;ENST00000312055_90_90;ENST00000354558_90_90;ENST00000525896_90_90;ENST00000526496_90_90;ENST00000526876_90_90;ENST00000527333_90_90;ENST00000529230_90_90;ENSMUST00000046769_90_90;ENSMUST00000099716_90_90;ENSMUST00000111337_90_90;ENSMUST00000111338_90_90
ENSCAFT00000014468_90_90;1.0;0.722;0.722;0.167;0.059;0.368;0.316;0.833;0.882;0.941;0.824;0.941
ENST00000312055_90_90;0.722;1.0;1.0;0.2;0.071;0.278;0.294;0.875;0.706;0.765;0.867;0.765
ENST00000354558_90_90;0.722;1.0;1.0;0.2;0.071;0.278;0.294;0.875;0.706;0.765;0.867;0.765
ENST00000525896_90_90;0.167;0.2;0.2;1.0;0.0;0.0;0.0;0.176;0.118;0.176;0.2;0.176
ENST00000526496_90_90;0.059;0.071;0.071;0.0;1.0;0.0;0.0;0.062;0.067;0.062;0.071;0.062
ENST00000526876_90_90;0.368;0.278;0.278;0.0;0.0;1.0;0.7;0.389;0.412;0.389;0.278;0.389
ENST00000527333_90_90;0.316;0.294;0.294;0.0;0.0;0.7;1.0;0.333;0.353;0.333;0.294;0.333
ENST00000529230_90_90;0.833;0.875;0.875;0.176;0.062;0.389;0.333;1.0;0.824;0.882;0.765;0.882
ENSMUST00000046769_90_90;0.882;0.706;0.706;0.118;0.067;0.412;0.353;0.824;1.0;0.938;0.812;0.938
ENSMUST00000099716_90_90;0.941;0.765;0.765;0.176;0.062;0.389;0.333;0.882;0.938;1.0;0.875;1.0
ENSMUST00000111337_90_90;0.824;0.867;0.867;0.2;0.071;0.278;0.294;0.765;0.812;0.875;1.0;0.875
ENSMUST00000111338_90_90;0.941;0.765;0.765;0.176;0.062;0.389;0.333;0.882;0.938;1.0;0.875;1.0
