;transcript7_ENSMPUG00000020072;transcript7_ENSSTOG00000019743;transcript7_ENSCCNG00000000226;transcript7_ENSCPOG00000024843;transcript10_ENSMPUG00000020072;transcript10_ENSECAG00000007947;transcript17_ENSMPUG00000020072;transcript17_ENSECAG00000007947;transcript17_ENSSTOG00000019743;transcript17_ENSCPOG00000024843;transcript20_ENSMPUG00000020072;transcript22_ENSMPUG00000020072;transcript22_ENSMLUG00000027828;transcript23_ENSMPUG00000020072;transcript24_ENSMPUG00000020072;transcript24_ENSCCNG00000000226;transcript24_ENSCPOG00000024843;transcript25_ENSMPUG00000020072;transcript12_ENSECAG00000007947;transcript9_ENSMLUG00000027828;transcript9_ENSSTOG00000019743;transcript9_ENSCCNG00000000226;transcript9_ENSCPOG00000024843;transcript13_ENSMLUG00000027828;transcript14_ENSMLUG00000027828;transcript26_ENSSTOG00000019743;transcript26_ENSCCNG00000000226;transcript18_ENSCCNG00000000226;transcript18_ENSCPOG00000024843;transcript32_ENSCPOG00000024843;transcript33_ENSCPOG00000024843
transcript7_ENSMPUG00000020072;1.0;0.512;0.523;0.56;0.544;0.508;0.547;0.51;0.495;0.5;0.547;0.703;0.549;0.583;0.618;0.544;0.526;0.548;0.51;0.181;0.177;0.182;0.144;0.503;0.526;0.485;0.482;0.466;0.553;0.554;0.5
transcript7_ENSSTOG00000019743;0.512;1.0;0.936;0.719;0.654;0.675;0.657;0.678;0.735;0.68;0.657;0.5;0.666;0.678;0.612;0.722;0.611;0.657;0.678;0.193;0.245;0.24;0.154;0.71;0.745;0.793;0.733;0.777;0.585;0.583;0.68
transcript7_ENSCCNG00000000226;0.523;0.936;1.0;0.718;0.665;0.69;0.668;0.693;0.674;0.683;0.668;0.512;0.617;0.691;0.626;0.743;0.623;0.668;0.693;0.183;0.22;0.241;0.153;0.679;0.713;0.726;0.766;0.845;0.599;0.596;0.683
transcript7_ENSCPOG00000024843;0.56;0.719;0.718;1.0;0.648;0.668;0.648;0.669;0.665;0.68;0.648;0.647;0.654;0.665;0.684;0.714;0.705;0.625;0.669;0.181;0.193;0.199;0.135;0.659;0.672;0.719;0.641;0.607;0.798;0.792;0.68
transcript10_ENSMPUG00000020072;0.544;0.654;0.665;0.648;1.0;0.891;0.995;0.889;0.895;0.92;0.995;0.773;0.793;0.933;0.88;0.866;0.884;0.976;0.889;0.102;0.118;0.116;0.085;0.9;0.877;0.85;0.867;0.796;0.815;0.819;0.92
transcript10_ENSECAG00000007947;0.508;0.675;0.69;0.668;0.891;1.0;0.886;0.996;0.897;0.924;0.886;0.696;0.801;0.83;0.79;0.878;0.903;0.868;0.996;0.105;0.119;0.119;0.085;0.914;0.888;0.857;0.892;0.827;0.821;0.827;0.924
transcript17_ENSMPUG00000020072;0.547;0.657;0.668;0.648;0.995;0.886;1.0;0.89;0.896;0.915;1.0;0.777;0.795;0.938;0.884;0.869;0.879;0.981;0.89;0.102;0.119;0.117;0.085;0.901;0.877;0.851;0.861;0.79;0.815;0.819;0.915
transcript17_ENSECAG00000007947;0.51;0.678;0.693;0.669;0.889;0.996;0.89;1.0;0.9;0.92;0.89;0.699;0.803;0.834;0.794;0.881;0.899;0.872;1.0;0.105;0.12;0.12;0.086;0.916;0.89;0.86;0.888;0.823;0.822;0.828;0.92
transcript17_ENSSTOG00000019743;0.495;0.735;0.674;0.665;0.895;0.897;0.896;0.9;1.0;0.944;0.896;0.698;0.847;0.84;0.795;0.88;0.917;0.876;0.9;0.108;0.13;0.119;0.082;0.964;0.939;0.945;0.882;0.809;0.839;0.839;0.944
transcript17_ENSCPOG00000024843;0.5;0.68;0.683;0.68;0.92;0.924;0.915;0.92;0.944;1.0;0.915;0.712;0.826;0.859;0.81;0.911;0.971;0.898;0.92;0.1;0.114;0.114;0.084;0.956;0.932;0.891;0.912;0.835;0.87;0.876;1.0
transcript20_ENSMPUG00000020072;0.547;0.657;0.668;0.648;0.995;0.886;1.0;0.89;0.896;0.915;1.0;0.777;0.795;0.938;0.884;0.869;0.879;0.981;0.89;0.102;0.119;0.117;0.085;0.901;0.877;0.851;0.861;0.79;0.815;0.819;0.915
transcript22_ENSMPUG00000020072;0.703;0.5;0.512;0.647;0.773;0.696;0.777;0.699;0.698;0.712;0.777;1.0;0.737;0.829;0.877;0.76;0.76;0.758;0.699;0.129;0.139;0.144;0.105;0.702;0.735;0.647;0.659;0.57;0.81;0.814;0.712
transcript22_ENSMLUG00000027828;0.549;0.666;0.617;0.654;0.793;0.801;0.795;0.803;0.847;0.826;0.795;0.737;1.0;0.808;0.754;0.836;0.785;0.775;0.803;0.141;0.152;0.136;0.105;0.87;0.894;0.78;0.754;0.662;0.811;0.815;0.826
transcript23_ENSMPUG00000020072;0.583;0.678;0.691;0.665;0.933;0.83;0.938;0.834;0.84;0.859;0.938;0.829;0.808;1.0;0.942;0.897;0.832;0.919;0.834;0.108;0.132;0.128;0.091;0.85;0.886;0.794;0.807;0.731;0.832;0.836;0.859
transcript24_ENSMPUG00000020072;0.618;0.612;0.626;0.684;0.88;0.79;0.884;0.794;0.795;0.81;0.884;0.877;0.754;0.942;1.0;0.86;0.85;0.865;0.794;0.114;0.127;0.139;0.095;0.805;0.838;0.747;0.76;0.679;0.852;0.856;0.81
transcript24_ENSCCNG00000000226;0.544;0.722;0.743;0.714;0.866;0.878;0.869;0.881;0.88;0.911;0.869;0.76;0.836;0.897;0.86;1.0;0.897;0.85;0.881;0.113;0.135;0.139;0.092;0.897;0.932;0.83;0.881;0.794;0.887;0.887;0.911
transcript24_ENSCPOG00000024843;0.526;0.611;0.623;0.705;0.884;0.903;0.879;0.899;0.917;0.971;0.879;0.76;0.785;0.832;0.85;0.897;1.0;0.86;0.899;0.111;0.114;0.128;0.087;0.931;0.904;0.859;0.886;0.799;0.897;0.903;0.971
transcript25_ENSMPUG00000020072;0.548;0.657;0.668;0.625;0.976;0.868;0.981;0.872;0.876;0.898;0.981;0.758;0.775;0.919;0.865;0.85;0.86;1.0;0.872;0.104;0.119;0.117;0.087;0.884;0.86;0.831;0.843;0.79;0.795;0.799;0.898
