;ENSCAFT00000004512_90_90;ENST00000344157_90_90;ENST00000355665_90_90;ENST00000505251_90_90;ENST00000507529_90_90;ENST00000510746_90_90;ENST00000579690_90_90;ENSMUST00000038384_90_90;ENSMUST00000119339_90_90;ENSMUST00000120498_90_90;ENSMUST00000156363_90_90
ENSCAFT00000004512_90_90;1.0;0.6;0.567;0.077;0.036;0.038;0.613;0.323;0.3;0.333;0.5
ENST00000344157_90_90;0.6;1.0;0.955;0.091;0.087;0.045;0.917;0.423;0.4;0.44;0.467
ENST00000355665_90_90;0.567;0.955;1.0;0.095;0.091;0.048;0.875;0.385;0.417;0.4;0.483
ENST00000505251_90_90;0.077;0.091;0.095;1.0;0.0;0.5;0.083;0.133;0.154;0.143;0.091
ENST00000507529_90_90;0.036;0.087;0.091;0.0;1.0;0.0;0.08;0.0;0.0;0.0;0.0
ENST00000510746_90_90;0.038;0.045;0.048;0.5;0.0;1.0;0.042;0.067;0.077;0.071;0.045
ENST00000579690_90_90;0.613;0.917;0.875;0.083;0.08;0.042;1.0;0.393;0.37;0.407;0.438
ENSMUST00000038384_90_90;0.323;0.423;0.385;0.133;0.0;0.067;0.393;1.0;0.867;0.933;0.423
ENSMUST00000119339_90_90;0.3;0.4;0.417;0.154;0.0;0.077;0.37;0.867;1.0;0.929;0.458
ENSMUST00000120498_90_90;0.333;0.44;0.4;0.143;0.0;0.071;0.407;0.933;0.929;1.0;0.44
ENSMUST00000156363_90_90;0.5;0.467;0.483;0.091;0.0;0.045;0.438;0.423;0.458;0.44;1.0
