;ENSCAFT00000007541_90_90;ENST00000260643_90_90;ENST00000406567_90_90;ENST00000430533_90_90;ENST00000441451_90_90;ENST00000444452_90_90;ENST00000456259_90_90;ENSMUST00000074840_90_90;ENSMUST00000201002_90_90;ENSMUST00000201821_90_90;ENSMUST00000202567_90_90
ENSCAFT00000007541_90_90;1.0;0.998;0.86;0.251;0.032;0.119;0.381;0.999;0.397;0.227;0.839
ENST00000260643_90_90;0.998;1.0;0.861;0.253;0.031;0.12;0.369;0.998;0.394;0.227;0.838
ENST00000406567_90_90;0.86;0.861;1.0;0.114;0.015;0.139;0.252;0.861;0.257;0.264;0.7
ENST00000430533_90_90;0.251;0.253;0.114;1.0;0.117;0.0;0.498;0.251;0.416;0.093;0.299
ENST00000441451_90_90;0.032;0.031;0.015;0.117;1.0;0.0;0.072;0.032;0.044;0.0;0.038
ENST00000444452_90_90;0.119;0.12;0.139;0.0;0.0;1.0;0.0;0.12;0.0;0.0;0.143
ENST00000456259_90_90;0.381;0.369;0.252;0.498;0.072;0.0;1.0;0.367;0.327;0.067;0.215
ENSMUST00000074840_90_90;0.999;0.998;0.861;0.251;0.032;0.12;0.367;1.0;0.38;0.227;0.839
ENSMUST00000201002_90_90;0.397;0.394;0.257;0.416;0.044;0.0;0.327;0.38;1.0;0.101;0.397
ENSMUST00000201821_90_90;0.227;0.227;0.264;0.093;0.0;0.0;0.067;0.227;0.101;1.0;0.27
ENSMUST00000202567_90_90;0.839;0.838;0.7;0.299;0.038;0.143;0.215;0.839;0.397;0.27;1.0
