;ENSCAFT00000049128_90_90;ENST00000315660_90_90;ENST00000372382_90_90;ENST00000372383_90_90;ENST00000372384_90_90;ENST00000372390_90_90;ENST00000372397_90_90;ENST00000480691_90_90;ENST00000486554_90_90;ENST00000502650_90_90;ENST00000502961_90_90;ENST00000503515_90_90;ENST00000505965_90_90;ENST00000506081_90_90;ENST00000506724_90_90;ENST00000510887_90_90;ENST00000514426_90_90;ENST00000514897_90_90;ENSMUST00000055738_90_90;ENSMUST00000112996_90_90;ENSMUST00000123898_90_90
ENSCAFT00000049128_90_90;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000315660_90_90;0.0;;;;;;;;;;;;;;;;;;0.342;0.841;0.362
ENST00000372382_90_90;0.0;;;;;;;;;;;;;;;;;;0.55;0.387;0.744
ENST00000372383_90_90;0.0;;;;;;;;;;;;;;;;;;0.342;0.841;0.362
ENST00000372384_90_90;0.0;;;;;;;;;;;;;;;;;;0.342;0.841;0.362
ENST00000372390_90_90;0.0;;;;;;;;;;;;;;;;;;0.401;0.272;0.459
ENST00000372397_90_90;0.0;;;;;;;;;;;;;;;;;;0.776;0.366;0.55
ENST00000480691_90_90;0.0;;;;;;;;;;;;;;;;;;0.101;0.572;0.105
ENST00000486554_90_90;0.0;;;;;;;;;;;;;;;;;;0.13;0.088;0.148
ENST00000502650_90_90;0.0;;;;;;;;;;;;;;;;;;0.041;0.506;0.043
ENST00000502961_90_90;0.0;;;;;;;;;;;;;;;;;;0.0;0.238;0.0
ENST00000503515_90_90;0.0;;;;;;;;;;;;;;;;;;0.354;0.144;0.201
ENST00000505965_90_90;0.0;;;;;;;;;;;;;;;;;;0.0;0.353;0.0
ENST00000506081_90_90;0.0;;;;;;;;;;;;;;;;;;0.342;0.841;0.362
ENST00000506724_90_90;0.0;;;;;;;;;;;;;;;;;;0.0;0.418;0.0
ENST00000510887_90_90;0.0;;;;;;;;;;;;;;;;;;0.072;0.54;0.075
ENST00000514426_90_90;0.0;;;;;;;;;;;;;;;;;;0.497;0.604;0.537
ENST00000514897_90_90;0.0;;;;;;;;;;;;;;;;;;0.118;0.57;0.121
ENSMUST00000055738_90_90;0.0;0.342;0.55;0.342;0.342;0.401;0.776;0.101;0.13;0.041;0.0;0.354;0.0;0.342;0.0;0.072;0.497;0.118;;;
ENSMUST00000112996_90_90;0.0;0.841;0.387;0.841;0.841;0.272;0.366;0.572;0.088;0.506;0.238;0.144;0.353;0.841;0.418;0.54;0.604;0.57;;;
ENSMUST00000123898_90_90;0.0;0.362;0.744;0.362;0.362;0.459;0.55;0.105;0.148;0.043;0.0;0.201;0.0;0.362;0.0;0.075;0.537;0.121;;;
