;transcript8_MGP-PahariEiJ-G0020237;transcript8_ENSRNOG00000031503;transcript36_MGP-PahariEiJ-G0020237;transcript37_MGP-PahariEiJ-G0020237;transcript37_ENSCGRG00001010245;transcript38_MGP-PahariEiJ-G0020237;transcript38_ENSCGRG00001010245;transcript32_ENSCGRG00015005362;transcript33_ENSCGRG00015005362;transcript22_ENSCGRG00000018457;transcript22_ENSPEMG00000024651;transcript26_ENSCGRG00000018457;transcript26_ENSCGRG00001010245;transcript42_ENSCGRG00000018457;transcript43_ENSCGRG00000018457;transcript7_ENSCGRG00001010245;transcript29_ENSCGRG00001010245;transcript15_ENSPEMG00000024651;transcript24_ENSPEMG00000024651;transcript31_ENSPEMG00000024651;transcript5_ENSNGAG00000018584;transcript5_ENSSTOG00000019743;transcript17_ENSNGAG00000018584;transcript20_ENSNGAG00000018584;transcript12_ENSSTOG00000019743;transcript13_ENSSTOG00000019743;transcript14_ENSSTOG00000019743
transcript8_MGP-PahariEiJ-G0020237;1.0;0.993;1.0;1.0;0.993;1.0;0.984;0.431;0.431;0.431;0.415;0.431;0.431;0.431;0.431;0.431;0.431;0.431;0.431;0.415;0.373;0.431;0.316;0.316;0.431;0.309;0.431
transcript8_ENSRNOG00000031503;0.993;1.0;0.993;0.993;1.0;0.984;1.0;1.0;1.0;1.0;0.942;1.0;1.0;1.0;1.0;1.0;1.0;0.942;0.942;0.942;0.814;1.0;0.683;0.683;1.0;0.714;1.0
transcript36_MGP-PahariEiJ-G0020237;1.0;0.993;1.0;1.0;0.993;1.0;0.984;0.431;0.431;0.431;0.415;0.431;0.431;0.431;0.431;0.431;0.431;0.431;0.431;0.415;0.373;0.431;0.316;0.316;0.431;0.309;0.431
transcript37_MGP-PahariEiJ-G0020237;1.0;0.993;1.0;1.0;0.993;1.0;0.984;0.431;0.431;0.431;0.415;0.431;0.431;0.431;0.431;0.431;0.431;0.431;0.431;0.415;0.373;0.431;0.316;0.316;0.431;0.309;0.431
transcript37_ENSCGRG00001010245;0.993;1.0;0.993;0.993;1.0;0.984;1.0;0.38;0.38;0.38;0.368;0.38;0.38;0.392;0.385;0.37;0.37;0.365;0.365;0.368;0.32;0.365;0.272;0.273;0.365;0.26;0.365
transcript38_MGP-PahariEiJ-G0020237;1.0;0.984;1.0;1.0;0.984;1.0;0.984;0.249;0.249;0.249;0.244;0.249;0.249;0.249;0.249;0.249;0.249;0.256;0.256;0.244;0.219;0.249;0.143;0.143;0.249;0.086;0.249
transcript38_ENSCGRG00001010245;0.984;1.0;0.984;0.984;1.0;0.984;1.0;0.21;0.21;0.21;0.207;0.21;0.21;0.219;0.214;0.203;0.203;0.205;0.205;0.207;0.179;0.2;0.118;0.118;0.2;0.068;0.2
transcript32_ENSCGRG00015005362;0.431;1.0;0.431;0.431;0.38;0.249;0.21;1.0;0.89;1.0;0.948;1.0;1.0;0.983;0.964;0.967;0.971;0.913;0.913;0.947;0.876;0.979;0.851;0.853;0.979;0.921;0.979
transcript33_ENSCGRG00015005362;0.431;1.0;0.431;0.431;0.38;0.249;0.21;0.89;1.0;0.89;0.853;0.89;0.89;0.874;0.854;0.967;0.861;0.819;0.819;0.851;0.767;0.871;0.743;0.744;0.871;0.814;0.871
transcript22_ENSCGRG00000018457;0.431;1.0;0.431;0.431;0.38;0.249;0.21;1.0;0.89;1.0;0.948;1.0;1.0;0.983;0.964;0.967;0.971;0.913;0.913;0.947;0.876;0.979;0.851;0.853;0.979;0.921;0.979
transcript22_ENSPEMG00000024651;0.415;0.942;0.415;0.415;0.368;0.244;0.207;0.948;0.853;0.948;1.0;0.948;0.948;0.934;0.917;0.921;0.922;0.963;0.963;0.998;0.833;0.929;0.808;0.809;0.929;0.88;0.929
transcript26_ENSCGRG00000018457;0.431;1.0;0.431;0.431;0.38;0.249;0.21;1.0;0.89;1.0;0.948;1.0;1.0;0.983;0.964;0.967;0.971;0.913;0.913;0.947;0.876;0.979;0.851;0.853;0.979;0.921;0.979
transcript26_ENSCGRG00001010245;0.431;1.0;0.431;0.431;0.38;0.249;0.21;1.0;0.89;1.0;0.948;1.0;1.0;0.983;0.964;0.967;0.971;0.913;0.913;0.947;0.876;0.979;0.851;0.853;0.979;0.921;0.979
transcript42_ENSCGRG00000018457;0.431;1.0;0.431;0.431;0.392;0.249;0.219;0.983;0.874;0.983;0.934;0.983;0.983;1.0;0.947;0.948;0.954;0.899;0.899;0.932;0.864;0.962;0.839;0.841;0.962;0.905;0.962
