;ENSCAFT00000016185_90_90;ENST00000617070_90_90;ENST00000617991_90_90;ENST00000622969_90_90;ENST00000623597_90_90;ENST00000623893_90_90;ENSMUST00000064664_90_90;ENSMUST00000064679_90_90;ENSMUST00000129905_90_90;ENSMUST00000136247_90_90
ENSCAFT00000016185_90_90;1.0;0.857;0.857;0.2;0.857;0.714;0.375;0.5;0.125;0.25
ENST00000617070_90_90;0.857;1.0;1.0;0.222;1.0;0.833;0.429;0.571;0.143;0.286
ENST00000617991_90_90;0.857;1.0;1.0;0.222;1.0;0.833;0.429;0.571;0.143;0.286
ENST00000622969_90_90;0.2;0.222;0.222;1.0;0.222;0.111;0.125;0.25;0.0;0.333
ENST00000623597_90_90;0.857;1.0;1.0;0.222;1.0;0.833;0.429;0.571;0.143;0.286
ENST00000623893_90_90;0.714;0.833;0.833;0.111;0.833;1.0;0.5;0.429;0.167;0.143
ENSMUST00000064664_90_90;0.375;0.429;0.429;0.125;0.429;0.5;1.0;0.8;0.5;0.167
ENSMUST00000064679_90_90;0.5;0.571;0.571;0.25;0.571;0.429;0.8;1.0;0.4;0.333
ENSMUST00000129905_90_90;0.125;0.143;0.143;0.0;0.143;0.167;0.5;0.4;1.0;0.25
ENSMUST00000136247_90_90;0.25;0.286;0.286;0.333;0.286;0.143;0.167;0.333;0.25;1.0
