;ENSCAFT00000003155_90_90;ENST00000264312_90_90;ENST00000381473_90_90;ENST00000396448_90_90;ENST00000425583_90_90;ENST00000444354_90_90;ENST00000503016_90_90;ENST00000504654_90_90;ENST00000505922_90_90;ENST00000506801_90_90;ENST00000507210_90_90;ENST00000508293_90_90;ENST00000508996_90_90;ENST00000509122_90_90;ENST00000509164_90_90;ENST00000509246_90_90;ENST00000509664_90_90;ENST00000509963_90_90;ENST00000510824_90_90;ENST00000511102_90_90;ENST00000511662_90_90;ENST00000512236_90_90;ENST00000513391_90_90;ENST00000513641_90_90;ENST00000514981_90_90;ENSMUST00000031038_90_90;ENSMUST00000071081_90_90;ENSMUST00000166823_90_90;ENSMUST00000200935_90_90;ENSMUST00000201505_90_90;ENSMUST00000201556_90_90;ENSMUST00000201739_90_90;ENSMUST00000202237_90_90;ENSMUST00000202250_90_90
ENSCAFT00000003155_90_90;1.0;0.955;0.955;0.693;0.752;0.752;0.705;0.437;0.663;0.548;0.383;0.955;0.316;0.86;0.316;0.482;0.287;0.383;0.415;0.684;0.117;0.679;0.955;0.18;0.444;0.041;0.055;0.055;0.046;0.0;0.021;0.0;0.048;0.055
ENST00000264312_90_90;0.955;1.0;1.0;0.73;0.792;0.792;0.732;0.45;0.688;0.571;0.396;1.0;0.328;0.89;0.328;0.488;0.298;0.396;0.42;0.703;0.118;0.698;1.0;0.188;0.457;0.041;0.055;0.055;0.046;0.0;0.021;0.0;0.048;0.055
ENST00000381473_90_90;0.955;1.0;1.0;0.73;0.792;0.792;0.732;0.45;0.688;0.571;0.396;1.0;0.328;0.89;0.328;0.488;0.298;0.396;0.42;0.703;0.118;0.698;1.0;0.188;0.457;0.041;0.055;0.055;0.046;0.0;0.021;0.0;0.048;0.055
ENST00000396448_90_90;0.693;0.73;0.73;1.0;0.918;0.918;0.539;0.59;0.775;0.646;0.519;0.73;0.43;0.622;0.43;0.64;0.39;0.519;0.551;0.922;0.155;0.914;0.73;0.246;0.599;0.047;0.064;0.064;0.053;0.0;0.025;0.0;0.056;0.064
ENST00000425583_90_90;0.752;0.792;0.792;0.918;1.0;1.0;0.524;0.569;0.749;0.722;0.5;0.792;0.414;0.682;0.414;0.617;0.376;0.5;0.531;0.888;0.149;0.881;0.792;0.237;0.577;0.046;0.063;0.063;0.052;0.0;0.025;0.0;0.055;0.063
ENST00000444354_90_90;0.752;0.792;0.792;0.918;1.0;1.0;0.524;0.569;0.749;0.722;0.5;0.792;0.414;0.682;0.414;0.617;0.376;0.5;0.531;0.888;0.149;0.881;0.792;0.237;0.577;0.046;0.063;0.063;0.052;0.0;0.025;0.0;0.055;0.063
ENST00000503016_90_90;0.705;0.732;0.732;0.539;0.524;0.524;1.0;0.241;0.687;0.672;0.184;0.732;0.113;0.823;0.113;0.667;0.081;0.184;0.574;0.507;0.0;0.501;0.732;0.0;0.249;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000504654_90_90;0.437;0.45;0.45;0.59;0.569;0.569;0.241;1.0;0.426;0.29;0.879;0.45;0.728;0.34;0.728;0.324;0.662;0.879;0.359;0.64;0.263;0.645;0.45;0.417;0.985;0.057;0.082;0.082;0.067;0.0;0.034;0.0;0.072;0.082
ENST00000505922_90_90;0.663;0.688;0.688;0.775;0.749;0.749;0.687;0.426;1.0;0.712;0.358;0.688;0.273;0.774;0.273;0.709;0.235;0.358;0.611;0.743;0.108;0.736;0.688;0.099;0.434;0.049;0.057;0.057;0.056;0.0;0.027;0.0;0.059;0.057
ENST00000506801_90_90;0.548;0.571;0.571;0.646;0.722;0.722;0.672;0.29;0.712;1.0;0.222;0.571;0.136;0.642;0.136;0.855;0.098;0.222;0.736;0.61;0.0;0.603;0.571;0.0;0.299;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000507210_90_90;0.383;0.396;0.396;0.519;0.5;0.5;0.184;0.879;0.358;0.222;1.0;0.396;0.828;0.286;0.828;0.248;0.753;1.0;0.274;0.563;0.299;0.567;0.396;0.474;0.866;0.06;0.086;0.086;0.071;0.0;0.036;0.0;0.076;0.086
ENST00000508293_90_90;0.955;1.0;1.0;0.73;0.792;0.792;0.732;0.45;0.688;0.571;0.396;1.0;0.328;0.89;0.328;0.488;0.298;0.396;0.42;0.703;0.118;0.698;1.0;0.188;0.457;0.041;0.055;0.055;0.046;0.0;0.021;0.0;0.048;0.055
ENST00000508996_90_90;0.316;0.328;0.328;0.43;0.414;0.414;0.113;0.728;0.273;0.136;0.828;0.328;1.0;0.218;1.0;0.152;0.909;0.828;0.168;0.466;0.361;0.47;0.328;0.573;0.717;0.063;0.092;0.092;0.075;0.0;0.038;0.0;0.081;0.092
ENST00000509122_90_90;0.86;0.89;0.89;0.622;0.682;0.682;0.823;0.34;0.774;0.642;0.286;0.89;0.218;1.0;0.218;0.549;0.188;0.286;0.472;0.593;0.085;0.588;0.89;0.079;0.347;0.043;0.05;0.05;0.049;0.0;0.023;0.0;0.051;0.05
ENST00000509164_90_90;0.316;0.328;0.328;0.43;0.414;0.414;0.113;0.728;0.273;0.136;0.828;0.328;1.0;0.218;1.0;0.152;0.909;0.828;0.168;0.466;0.361;0.47;0.328;0.573;0.717;0.063;0.092;0.092;0.075;0.0;0.038;0.0;0.081;0.092
ENST00000509246_90_90;0.482;0.488;0.488;0.64;0.617;0.617;0.667;0.324;0.709;0.855;0.248;0.488;0.152;0.549;0.152;1.0;0.109;0.248;0.861;0.681;0.0;0.674;0.488;0.0;0.334;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000509664_90_90;0.287;0.298;0.298;0.39;0.376;0.376;0.081;0.662;0.235;0.098;0.753;0.298;0.909;0.188;0.909;0.109;1.0;0.753;0.121;0.424;0.397;0.427;0.298;0.63;0.652;0.064;0.095;0.095;0.077;0.0;0.04;0.0;0.083;0.095
ENST00000509963_90_90;0.383;0.396;0.396;0.519;0.5;0.5;0.184;0.879;0.358;0.222;1.0;0.396;0.828;0.286;0.828;0.248;0.753;1.0;0.274;0.563;0.299;0.567;0.396;0.474;0.866;0.06;0.086;0.086;0.071;0.0;0.036;0.0;0.076;0.086
