;ENSBTAT00000008169_98;ENSBTAT00000008170_98;ENSBTAT00000076561_98;ENSBTAT00000086058_98;ENSCAFT00000012380_98;ENSCAFT00000069579_98;ENSCAFT00000076101_98;ENSCAFT00000078910_98;ENSCAFT00000080651_98;ENSCAFT00020012376_98;ENSCAFT00020012381_98;ENSCAFT00020012390_98;ENST00000467072_98;ENST00000467634_98;ENST00000467667_98;ENST00000474279_98;ENST00000475734_98;ENST00000477292_98;ENST00000478006_98;ENST00000479040_98;ENST00000486111_98;ENST00000487734_98;ENST00000488107_98;ENST00000489671_98;ENST00000494358_98;ENST00000494656_98;ENST00000495310_98;ENST00000497579_98;ENST00000499676_98;ENSGALT00000045629_98;ENSGALT00000048439_98;ENSGALT00000076898_98;ENSGALT00000104323_98;ENSGALT00000105033_98;ENSMUST00000034982_98;ENSMUST00000165120_98;ENSMUST00000165768_98;ENSMUST00000179065_98;ENSMUST00000179416_98;ENSMUST00000185644_98;ENSMUST00000186609_98;ENSMUST00000188008_98;ENSMUST00000188750_98;ENSMUST00000188829_98;ENSMUST00000189606_98;ENSMUST00000190104_98;ENSMUST00000191133_98
ENSBTAT00000008169_98;1.0;0.849;0.805;0.932;0.629;0.633;0.669;0.603;0.765;0.813;0.785;0.968;0.843;0.0;0.358;0.273;0.0;0.848;0.338;0.827;0.843;0.0;0.07;0.735;0.0;0.0;0.883;0.263;0.827;0.839;0.818;0.808;0.851;0.968;0.75;0.551;0.767;0.68;0.75;0.75;0.41;0.73;0.595;0.286;0.73;0.113;0.408
ENSBTAT00000008170_98;0.849;1.0;0.858;0.815;0.694;0.589;0.796;0.669;0.826;0.893;0.865;0.885;0.825;0.032;0.381;0.236;0.052;0.731;0.296;0.81;0.825;0.0;0.116;0.726;0.052;0.054;0.762;0.293;0.81;0.887;0.888;0.931;0.898;0.826;0.647;0.492;0.661;0.607;0.647;0.647;0.395;0.629;0.691;0.237;0.629;0.085;0.363
ENSBTAT00000076561_98;0.805;0.858;1.0;0.774;0.81;0.548;0.689;0.784;0.946;0.97;0.942;0.81;0.691;0.103;0.299;0.221;0.0;0.685;0.279;0.678;0.691;0.107;0.058;0.779;0.0;0.05;0.714;0.222;0.678;0.899;0.924;0.867;0.911;0.808;0.592;0.449;0.603;0.552;0.592;0.592;0.361;0.574;0.798;0.216;0.574;0.078;0.323
ENSBTAT00000086058_98;0.932;0.815;0.774;1.0;0.629;0.635;0.669;0.603;0.765;0.812;0.784;0.968;0.845;0.0;0.359;0.274;0.0;0.85;0.339;0.83;0.845;0.0;0.071;0.737;0.0;0.0;0.885;0.264;0.83;0.838;0.817;0.807;0.85;0.968;0.732;0.561;0.748;0.693;0.732;0.732;0.417;0.712;0.599;0.267;0.712;0.095;0.417
ENSCAFT00000012380_98;0.629;0.694;0.81;0.629;1.0;0.678;0.837;0.867;0.709;0.754;0.727;0.59;0.498;0.137;0.387;0.292;0.0;0.454;0.361;0.473;0.498;0.142;0.084;0.573;0.0;0.064;0.488;0.276;0.473;0.666;0.708;0.667;0.69;0.593;0.68;0.501;0.709;0.612;0.68;0.68;0.393;0.677;0.889;0.263;0.677;0.099;0.183
ENSCAFT00000069579_98;0.633;0.589;0.548;0.635;0.678;1.0;0.701;0.554;0.483;0.484;0.457;0.552;0.571;0.0;0.438;0.45;0.0;0.603;0.404;0.587;0.571;0.0;0.091;0.524;0.0;0.0;0.612;0.346;0.587;0.53;0.499;0.489;0.518;0.545;0.722;0.757;0.695;0.796;0.722;0.722;0.515;0.655;0.603;0.19;0.655;0.0;0.266
ENSCAFT00000076101_98;0.669;0.796;0.689;0.669;0.837;0.701;1.0;0.715;0.595;0.684;0.657;0.633;0.618;0.023;0.532;0.311;0.09;0.475;0.466;0.589;0.618;0.0;0.188;0.529;0.028;0.113;0.552;0.4;0.589;0.643;0.663;0.73;0.666;0.596;0.758;0.556;0.793;0.68;0.758;0.758;0.435;0.758;0.766;0.295;0.758;0.112;0.204
ENSCAFT00000078910_98;0.603;0.669;0.784;0.603;0.867;0.554;0.715;1.0;0.737;0.79;0.762;0.621;0.522;0.14;0.408;0.303;0.0;0.478;0.381;0.497;0.522;0.145;0.087;0.6;0.0;0.065;0.512;0.294;0.497;0.701;0.743;0.701;0.724;0.623;0.718;0.53;0.746;0.647;0.718;0.718;0.416;0.713;0.934;0.276;0.713;0.103;0.191
ENSCAFT00000080651_98;0.765;0.826;0.946;0.765;0.709;0.483;0.595;0.737;1.0;0.932;0.905;0.766;0.655;0.113;0.311;0.246;0.0;0.67;0.286;0.672;0.655;0.115;0.073;0.778;0.0;0.052;0.697;0.25;0.672;0.896;0.889;0.841;0.875;0.774;0.63;0.465;0.616;0.567;0.63;0.63;0.335;0.588;0.82;0.242;0.588;0.091;0.317
ENSCAFT00020012376_98;0.813;0.893;0.97;0.812;0.754;0.484;0.684;0.79;0.932;1.0;0.973;0.826;0.785;0.085;0.348;0.207;0.011;0.709;0.318;0.762;0.785;0.085;0.08;0.848;0.0;0.057;0.762;0.261;0.762;0.92;0.954;0.96;0.941;0.849;0.61;0.445;0.635;0.547;0.61;0.61;0.373;0.606;0.787;0.244;0.606;0.091;0.32
