;ENSCAFT00000002814_90_90;ENST00000280758_90_90;ENST00000357167_90_90;ENST00000415943_90_90;ENST00000420571_90_90;ENST00000490090_90_90;ENST00000494235_90_90;ENST00000550706_90_90;ENSMUST00000020231_90_90;ENSMUST00000105306_90_90;ENSMUST00000105307_90_90
ENSCAFT00000002814_90_90;1.0;0.972;0.525;0.241;0.89;0.895;0.139;0.212;0.752;0.538;1.0
ENST00000280758_90_90;0.972;1.0;0.506;0.237;0.921;0.9;0.133;0.226;0.718;0.518;0.972
ENST00000357167_90_90;0.525;0.506;1.0;0.148;0.432;0.426;0.214;0.12;0.278;0.961;0.517
ENST00000415943_90_90;0.241;0.237;0.148;1.0;0.256;0.246;0.0;0.424;0.357;0.204;0.268
ENST00000420571_90_90;0.89;0.921;0.432;0.256;1.0;0.823;0.145;0.244;0.782;0.44;0.89
ENST00000490090_90_90;0.895;0.9;0.426;0.246;0.823;1.0;0.058;0.235;0.778;0.446;0.895
ENST00000494235_90_90;0.139;0.133;0.214;0.0;0.145;0.058;1.0;0.0;0.0;0.22;0.139
ENST00000550706_90_90;0.212;0.226;0.12;0.424;0.244;0.235;0.0;1.0;0.32;0.124;0.24
ENSMUST00000020231_90_90;0.752;0.718;0.278;0.357;0.782;0.778;0.0;0.32;1.0;0.274;0.767
ENSMUST00000105306_90_90;0.538;0.518;0.961;0.204;0.44;0.446;0.22;0.124;0.274;1.0;0.495
ENSMUST00000105307_90_90;1.0;0.972;0.517;0.268;0.89;0.895;0.139;0.24;0.767;0.495;1.0
