;transcript7_ENSAPOG00000016134;transcript27_ENSAPOG00000016134;transcript32_ENSAPOG00000016134;transcript33_ENSAPOG00000016134;transcript35_ENSAPOG00000016134;transcript36_ENSAPOG00000016134;transcript37_ENSAPOG00000016134;transcript38_ENSAPOG00000016134;transcript7_ENSAPOG00000023408;transcript8_ENSAPOG00000023408;transcript27_ENSAPOG00000023408;transcript30_ENSAPOG00000023408;transcript32_ENSAPOG00000023408;transcript40_ENSAPOG00000023408;transcript41_ENSAPOG00000023408;transcript42_ENSAPOG00000023408;transcript43_ENSAPOG00000023408;transcript1_ENSAOCG00000015695;transcript8_ENSAOCG00000015695;transcript25_ENSAOCG00000015695;transcript26_ENSAOCG00000015695;transcript36_ENSAOCG00000015695;transcript37_ENSAOCG00000015695;transcript38_ENSAOCG00000015695;transcript22_ENSPNYG00000024266
transcript7_ENSAPOG00000016134;1.0;0.974;0.827;0.921;0.917;0.897;0.928;0.871;1.0;0.701;0.974;0.887;0.827;0.834;0.776;0.677;0.805;0.915;0.712;0.974;0.878;0.91;0.928;0.871;0.915
transcript27_ENSAPOG00000016134;0.974;1.0;0.851;0.945;0.943;0.923;0.954;0.896;0.974;0.725;1.0;0.867;0.851;0.815;0.799;0.702;0.829;0.939;0.736;1.0;0.903;0.937;0.954;0.896;0.939
transcript32_ENSAPOG00000016134;0.827;0.851;1.0;0.906;0.799;0.78;0.808;0.754;0.827;0.686;0.851;0.827;1.0;0.775;0.943;0.835;0.977;0.901;0.662;0.851;0.863;0.793;0.808;0.754;0.901
transcript33_ENSAPOG00000016134;0.921;0.945;0.906;1.0;0.892;0.873;0.903;0.849;0.921;0.779;0.945;0.921;0.906;0.869;0.855;0.756;0.884;0.994;0.755;0.945;0.957;0.886;0.903;0.849;0.994
transcript35_ENSAPOG00000016134;0.917;0.943;0.799;0.892;1.0;0.867;0.897;0.84;0.917;0.762;0.943;0.814;0.799;0.762;0.747;0.649;0.776;0.886;0.735;0.943;0.85;0.88;0.897;0.84;0.886
transcript36_ENSAPOG00000016134;0.897;0.923;0.78;0.873;0.867;1.0;0.968;0.97;0.897;0.728;0.923;0.794;0.78;0.743;0.728;0.677;0.758;0.867;0.739;0.923;0.913;0.861;0.968;0.97;0.867
transcript37_ENSAPOG00000016134;0.928;0.954;0.808;0.903;0.897;0.968;1.0;0.939;0.928;0.757;0.954;0.824;0.808;0.771;0.756;0.658;0.786;0.897;0.77;0.954;0.943;0.891;1.0;0.939;0.897
transcript38_ENSAPOG00000016134;0.871;0.896;0.754;0.849;0.84;0.97;0.939;1.0;0.871;0.701;0.896;0.769;0.754;0.717;0.703;0.651;0.732;0.843;0.712;0.896;0.886;0.833;0.939;1.0;0.843
transcript7_ENSAPOG00000023408;1.0;0.974;0.827;0.921;0.917;0.897;0.928;0.871;1.0;0.69;0.974;0.887;0.827;0.834;0.776;0.677;0.805;0.896;0.698;0.974;0.878;0.91;0.928;0.871;0.896
transcript8_ENSAPOG00000023408;0.701;0.725;0.686;0.779;0.762;0.728;0.757;0.701;0.69;1.0;0.712;0.688;0.673;0.637;0.623;0.527;0.686;0.792;0.912;0.712;0.798;0.752;0.744;0.69;0.792
transcript27_ENSAPOG00000023408;0.974;1.0;0.851;0.945;0.943;0.923;0.954;0.896;0.974;0.712;1.0;0.867;0.851;0.815;0.799;0.702;0.829;0.92;0.722;1.0;0.903;0.937;0.954;0.896;0.92
transcript30_ENSAPOG00000023408;0.887;0.867;0.827;0.921;0.814;0.794;0.824;0.769;0.887;0.688;0.867;1.0;0.827;0.944;0.775;0.676;0.805;0.897;0.665;0.867;0.879;0.807;0.824;0.769;0.897
transcript32_ENSAPOG00000023408;0.827;0.851;1.0;0.906;0.799;0.78;0.808;0.754;0.827;0.673;0.851;0.827;1.0;0.775;0.943;0.835;0.977;0.881;0.649;0.851;0.863;0.793;0.808;0.754;0.881
