;transcript28_ENSMPUG00000020072;transcript27_ENSMLUG00000027828;transcript16_ENSMLUG00000027828;transcript15_ENSMLUG00000027828;transcript12_ENSMLUG00000027828;transcript25_ENSMPUG00000020072;transcript7_ENSMPUG00000020072;transcript7_ENSCCNG00000000226;transcript12_ENSECAG00000007947;transcript23_ENSECAG00000007947;transcript31_ENSECAG00000007947;transcript33_ENSECAG00000007947;transcript32_ENSECAG00000007947;transcript7_ENSMLUG00000027828;transcript26_ENSMLUG00000027828;transcript25_ENSMLUG00000027828;transcript7_ENSSTOG00000019743
transcript28_ENSMPUG00000020072;1.0;0.543;0.613;0.773;0.783;0.751;0.057;0.056;0.805;0.805;0.805;0.814;0.842;0.047;0.642;0.654;0.051
transcript27_ENSMLUG00000027828;0.543;1.0;0.899;0.719;0.703;0.705;0.065;0.072;0.624;0.624;0.624;0.615;0.586;0.07;0.838;0.814;0.065
transcript16_ENSMLUG00000027828;0.613;0.899;1.0;0.8;0.782;0.79;0.058;0.065;0.692;0.692;0.692;0.684;0.655;0.063;0.939;0.912;0.058
transcript15_ENSMLUG00000027828;0.773;0.719;0.8;1.0;0.977;0.647;0.047;0.052;0.86;0.86;0.86;0.852;0.824;0.05;0.751;0.734;0.047
transcript12_ENSMLUG00000027828;0.783;0.703;0.782;0.977;1.0;0.666;0.046;0.051;0.879;0.879;0.879;0.871;0.843;0.049;0.734;0.757;0.046
transcript25_ENSMPUG00000020072;0.751;0.705;0.79;0.647;0.666;1.0;0.068;0.068;0.664;0.664;0.664;0.671;0.694;0.057;0.836;0.86;0.061
transcript7_ENSMPUG00000020072;0.057;0.065;0.058;0.047;0.046;0.068;1.0;0.914;0.051;0.051;0.051;0.051;0.054;0.771;0.062;0.06;0.829
transcript7_ENSCCNG00000000226;0.056;0.072;0.065;0.052;0.051;0.068;0.914;1.0;0.056;0.056;0.056;0.056;0.059;0.857;0.069;0.067;0.914
transcript12_ENSECAG00000007947;0.805;0.624;0.692;0.86;0.879;0.664;0.051;0.056;1.0;1.0;1.0;0.989;0.951;0.048;0.655;0.674;0.051
transcript23_ENSECAG00000007947;0.805;0.624;0.692;0.86;0.879;0.664;0.051;0.056;1.0;1.0;1.0;0.989;0.951;0.048;0.655;0.674;0.051
transcript31_ENSECAG00000007947;0.805;0.624;0.692;0.86;0.879;0.664;0.051;0.056;1.0;1.0;1.0;0.989;0.951;0.048;0.655;0.674;0.051
transcript33_ENSECAG00000007947;0.814;0.615;0.684;0.852;0.871;0.671;0.051;0.056;0.989;0.989;0.989;1.0;0.961;0.048;0.663;0.682;0.051
transcript32_ENSECAG00000007947;0.842;0.586;0.655;0.824;0.843;0.694;0.054;0.059;0.951;0.951;0.951;0.961;1.0;0.05;0.685;0.705;0.054
transcript7_ENSMLUG00000027828;0.047;0.07;0.063;0.05;0.049;0.057;0.771;0.857;0.048;0.048;0.048;0.048;0.05;1.0;0.067;0.065;0.771
transcript26_ENSMLUG00000027828;0.642;0.838;0.939;0.751;0.734;0.836;0.062;0.069;0.655;0.655;0.655;0.663;0.685;0.067;1.0;0.97;0.062
transcript25_ENSMLUG00000027828;0.654;0.814;0.912;0.734;0.757;0.86;0.06;0.067;0.674;0.674;0.674;0.682;0.705;0.065;0.97;1.0;0.06
transcript7_ENSSTOG00000019743;0.051;0.065;0.058;0.047;0.046;0.061;0.829;0.914;0.051;0.051;0.051;0.051;0.054;0.771;0.062;0.06;1.0
