;ENSCAFT00000007452_90_90;ENSCAFT00000018571_90_90;ENSCAFT00000021391_90_90;ENSCAFT00000021394_90_90;ENSCAFT00000021397_90_90;ENST00000227348_90_90;ENST00000533709_90_90;ENST00000252483_90_90;ENST00000252485_90_90;ENST00000585601_90_90;ENST00000591581_90_90;ENST00000592018_90_90;ENST00000331581_90_90;ENST00000452722_90_90;ENST00000536727_90_90;ENST00000537058_90_90;ENST00000540951_90_90;ENST00000542447_90_90;ENST00000542450_90_90;ENST00000543249_90_90;ENST00000543540_90_90;ENST00000545094_90_90;ENST00000545380_90_90;ENST00000612235_90_90;ENST00000616271_90_90;ENSMUST00000034519_90_90;ENSMUST00000180384_90_90;ENSMUST00000180872_90_90;ENSMUST00000188848_90_90;ENSMUST00000034581_90_90;ENSMUST00000085909_90_90;ENSMUST00000114547_90_90;ENSMUST00000114548_90_90;ENSMUST00000143026_90_90;ENSMUST00000152459_90_90;ENSMUST00000214542_90_90;ENSMUST00000075447_90_90;ENSMUST00000108450_90_90
ENSCAFT00000007452_90_90;1.0;0.559;0.41;0.44;0.429;0.427;0.29;0.986;0.517;0.049;0.334;0.099;0.437;0.405;0.41;0.414;0.0;0.378;0.162;0.143;0.112;0.16;0.379;0.344;0.44;0.173;0.172;0.228;0.171;0.376;0.412;0.403;0.386;0.322;0.435;0.0;0.968;0.506
ENSCAFT00000018571_90_90;0.559;1.0;0.632;0.696;0.675;0.659;0.494;0.552;0.612;0.056;0.419;0.0;0.676;0.627;0.63;0.642;0.0;0.58;0.265;0.201;0.188;0.23;0.582;0.536;0.697;0.237;0.234;0.339;0.232;0.577;0.638;0.623;0.592;0.491;0.672;0.0;0.536;0.599
ENSCAFT00000021391_90_90;0.41;0.632;1.0;0.807;0.861;0.639;0.255;0.403;0.44;0.0;0.234;0.0;0.931;0.944;0.882;0.968;0.087;0.893;0.243;0.329;0.173;0.363;0.889;0.7;0.877;0.365;0.374;0.406;0.372;0.899;0.974;0.95;0.923;0.795;0.938;0.095;0.39;0.428
ENSCAFT00000021394_90_90;0.44;0.696;0.807;1.0;0.882;0.689;0.302;0.433;0.475;0.0;0.259;0.0;0.868;0.806;0.808;0.83;0.0;0.747;0.268;0.373;0.191;0.412;0.75;0.711;0.91;0.296;0.305;0.448;0.303;0.742;0.824;0.801;0.766;0.645;0.862;0.0;0.419;0.463
ENSCAFT00000021397_90_90;0.429;0.675;0.861;0.882;1.0;0.609;0.261;0.421;0.463;0.0;0.242;0.0;0.843;0.898;0.792;0.876;0.0;0.844;0.277;0.384;0.198;0.425;0.848;0.812;0.965;0.303;0.311;0.462;0.31;0.839;0.87;0.892;0.818;0.732;0.837;0.0;0.407;0.45
ENST00000227348_90_90;0.427;0.659;0.639;0.689;0.609;1.0;0.427;0.421;0.462;0.056;0.326;0.0;0.683;0.634;0.638;0.649;0.05;0.589;0.222;0.335;0.162;0.373;0.591;0.477;0.63;0.299;0.308;0.406;0.306;0.585;0.645;0.63;0.6;0.499;0.679;0.051;0.411;0.454
ENST00000533709_90_90;0.29;0.494;0.255;0.302;0.261;0.427;1.0;0.292;0.326;0.105;0.694;0.0;0.295;0.245;0.247;0.261;0.0;0.196;0.0;0.0;0.0;0.0;0.197;0.128;0.284;0.0;0.0;0.0;0.0;0.195;0.26;0.243;0.212;0.117;0.294;0.0;0.296;0.334
ENST00000252483_90_90;0.986;0.552;0.403;0.433;0.421;0.421;0.292;1.0;0.519;0.049;0.336;0.099;0.43;0.398;0.403;0.407;0.0;0.371;0.159;0.139;0.112;0.156;0.372;0.337;0.432;0.169;0.167;0.222;0.166;0.37;0.405;0.396;0.379;0.316;0.428;0.0;0.981;0.507
ENST00000252485_90_90;0.517;0.612;0.44;0.475;0.463;0.462;0.326;0.519;1.0;0.117;0.438;0.0;0.469;0.435;0.441;0.444;0.0;0.406;0.178;0.153;0.126;0.173;0.407;0.37;0.474;0.182;0.181;0.246;0.179;0.404;0.442;0.433;0.414;0.345;0.467;0.0;0.504;0.971
ENST00000585601_90_90;0.049;0.056;0.0;0.0;0.0;0.056;0.105;0.049;0.117;1.0;0.118;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.05;0.12
ENST00000591581_90_90;0.334;0.419;0.234;0.259;0.242;0.326;0.694;0.336;0.438;0.118;1.0;0.0;0.268;0.225;0.231;0.238;0.0;0.187;0.0;0.0;0.0;0.0;0.188;0.129;0.258;0.0;0.0;0.0;0.0;0.186;0.237;0.224;0.199;0.118;0.267;0.0;0.341;0.449
ENST00000592018_90_90;0.099;0.0;0.0;0.0;0.0;0.0;0.0;0.099;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.101;0.0
ENST00000331581_90_90;0.437;0.676;0.931;0.868;0.843;0.683;0.295;0.43;0.469;0.0;0.268;0.0;1.0;0.938;0.941;0.962;0.083;0.879;0.235;0.329;0.168;0.362;0.875;0.692;0.873;0.353;0.361;0.393;0.36;0.873;0.956;0.932;0.897;0.773;0.994;0.084;0.417;0.457
ENST00000452722_90_90;0.405;0.627;0.944;0.806;0.898;0.634;0.245;0.398;0.435;0.0;0.225;0.0;0.938;1.0;0.879;0.976;0.088;0.937;0.25;0.35;0.179;0.386;0.933;0.736;0.884;0.37;0.379;0.419;0.377;0.93;0.969;0.993;0.908;0.822;0.932;0.089;0.385;0.423
ENST00000536727_90_90;0.41;0.63;0.882;0.808;0.792;0.638;0.247;0.403;0.441;0.0;0.231;0.0;0.941;0.879;1.0;0.902;0.088;0.935;0.25;0.349;0.178;0.385;0.931;0.734;0.814;0.369;0.378;0.418;0.376;0.928;0.897;0.873;0.953;0.82;0.935;0.089;0.39;0.429
ENST00000537058_90_90;0.414;0.642;0.968;0.83;0.876;0.649;0.261;0.407;0.444;0.0;0.238;0.0;0.962;0.976;0.902;1.0;0.086;0.914;0.244;0.342;0.174;0.376;0.91;0.718;0.908;0.363;0.372;0.409;0.37;0.908;0.993;0.969;0.932;0.803;0.956;0.087;0.394;0.432
ENST00000540951_90_90;0.0;0.0;0.087;0.0;0.0;0.05;0.0;0.0;0.0;0.0;0.0;0.0;0.083;0.088;0.088;0.086;1.0;0.094;0.0;0.0;0.0;0.0;0.09;0.0;0.0;0.166;0.163;0.0;0.163;0.093;0.086;0.088;0.091;0.1;0.083;0.628;0.0;0.0
ENST00000542447_90_90;0.378;0.58;0.893;0.747;0.844;0.589;0.196;0.371;0.406;0.0;0.187;0.0;0.879;0.937;0.935;0.914;0.094;1.0;0.267;0.372;0.191;0.411;0.996;0.784;0.822;0.388;0.397;0.447;0.395;0.993;0.908;0.93;0.967;0.876;0.873;0.095;0.358;0.393
ENST00000542450_90_90;0.162;0.265;0.243;0.268;0.277;0.222;0.0;0.159;0.178;0.0;0.0;0.0;0.235;0.25;0.25;0.244;0.0;0.267;1.0;0.239;0.714;0.303;0.268;0.32;0.269;0.283;0.278;0.557;0.279;0.265;0.243;0.249;0.259;0.284;0.233;0.0;0.143;0.161
ENST00000543249_90_90;0.143;0.201;0.329;0.373;0.384;0.335;0.0;0.139;0.153;0.0;0.0;0.0;0.329;0.35;0.349;0.342;0.0;0.372;0.239;1.0;0.275;0.789;0.373;0.44;0.374;0.283;0.295;0.527;0.293;0.37;0.34;0.348;0.361;0.394;0.327;0.0;0.132;0.146
