;transcript42_ENSMUGG00000013649;transcript37_ENSCGRG00000018457;transcript31_ENSCGRG00001010245;transcript37_ENSCGRG00001010245;transcript49_ENSCGRG00001010245;transcript50_ENSCGRG00001010245;transcript51_ENSCGRG00001010245;transcript7_ENSPEMG00000024651;transcript31_ENSPEMG00000024651;transcript42_ENSPEMG00000024651;transcript43_ENSPEMG00000024651
transcript42_ENSMUGG00000013649;1.0;1.0;1.0;0.857;0.786;0.929;0.929;0.857;1.0;0.929;1.0
transcript37_ENSCGRG00000018457;1.0;1.0;1.0;1.0;0.923;0.923;0.923;0.923;1.0;0.923;1.0
transcript31_ENSCGRG00001010245;1.0;1.0;1.0;0.867;0.8;0.933;0.933;0.867;1.0;0.933;1.0
transcript37_ENSCGRG00001010245;0.857;1.0;0.867;1.0;0.923;0.8;0.8;0.857;0.867;0.8;0.867
transcript49_ENSCGRG00001010245;0.786;0.923;0.8;0.923;1.0;0.733;0.733;0.786;0.8;0.733;0.8
transcript50_ENSCGRG00001010245;0.929;0.923;0.933;0.8;0.733;1.0;0.867;0.8;0.933;0.867;0.933
transcript51_ENSCGRG00001010245;0.929;0.923;0.933;0.8;0.733;0.867;1.0;0.8;0.933;0.867;0.933
transcript7_ENSPEMG00000024651;0.857;0.923;0.867;0.857;0.786;0.8;0.8;1.0;0.867;0.8;0.867
transcript31_ENSPEMG00000024651;1.0;1.0;1.0;0.867;0.8;0.933;0.933;0.867;1.0;0.933;1.0
transcript42_ENSPEMG00000024651;0.929;0.923;0.933;0.8;0.733;0.867;0.867;0.8;0.933;1.0;0.933
transcript43_ENSPEMG00000024651;1.0;1.0;1.0;0.867;0.8;0.933;0.933;0.867;1.0;0.933;1.0
