;ENSCAFT00000009009_90_90;ENST00000227214_90_90;ENST00000354190_90_90;ENST00000398492_90_90;ENST00000398494_90_90;ENST00000535129_90_90;ENST00000535582_90_90;ENST00000536527_90_90;ENST00000538227_90_90;ENST00000539157_90_90;ENST00000540431_90_90;ENST00000541597_90_90;ENST00000542389_90_90;ENST00000543085_90_90;ENST00000543524_90_90;ENST00000545798_90_90;ENST00000546251_90_90;ENSMUST00000079176_90_90;ENSMUST00000107043_90_90;ENSMUST00000107044_90_90;ENSMUST00000107045_90_90;ENSMUST00000107046_90_90;ENSMUST00000107047_90_90;ENSMUST00000116287_90_90;ENSMUST00000138830_90_90;ENSMUST00000139708_90_90;ENSMUST00000151123_90_90;ENSMUST00000208812_90_90
ENSCAFT00000009009_90_90;1.0;0.0;0.039;0.042;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.99;0.547;0.774;0.918;0.774;0.847;0.918;0.506;0.609;0.977;0.37
ENST00000227214_90_90;0.0;1.0;0.778;0.909;0.844;1.0;0.619;0.326;0.736;0.486;0.883;0.864;0.56;0.73;0.818;0.448;0.527;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000354190_90_90;0.039;0.778;1.0;0.856;0.922;0.778;0.481;0.255;0.577;0.589;0.692;0.672;0.66;0.568;0.636;0.348;0.423;0.04;0.0;0.03;0.028;0.03;0.043;0.028;0.0;0.0;0.033;0.018
ENST00000398492_90_90;0.042;0.909;0.856;1.0;0.778;0.909;0.562;0.297;0.671;0.449;0.805;0.785;0.516;0.663;0.744;0.407;0.485;0.043;0.0;0.033;0.03;0.033;0.047;0.03;0.0;0.0;0.035;0.021
ENST00000398494_90_90;0.0;0.844;0.922;0.778;1.0;0.844;0.522;0.277;0.625;0.638;0.749;0.729;0.716;0.616;0.69;0.378;0.454;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000535129_90_90;0.0;1.0;0.778;0.909;0.844;1.0;0.619;0.326;0.736;0.486;0.883;0.864;0.56;0.73;0.818;0.448;0.527;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000535582_90_90;0.0;0.619;0.481;0.562;0.522;0.619;1.0;0.519;0.773;0.706;0.65;0.716;0.73;0.349;0.756;0.724;0.783;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000536527_90_90;0.0;0.326;0.255;0.297;0.277;0.326;0.519;1.0;0.405;0.397;0.342;0.376;0.383;0.064;0.397;0.706;0.419;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000538227_90_90;0.0;0.736;0.577;0.671;0.625;0.736;0.773;0.405;1.0;0.581;0.772;0.847;0.673;0.476;0.893;0.559;0.636;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000539157_90_90;0.0;0.486;0.589;0.449;0.638;0.486;0.706;0.397;0.581;1.0;0.555;0.547;0.88;0.266;0.571;0.549;0.596;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000540431_90_90;0.0;0.883;0.692;0.805;0.749;0.883;0.65;0.342;0.772;0.555;1.0;0.907;0.583;0.622;0.859;0.47;0.549;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000541597_90_90;0.0;0.864;0.672;0.785;0.729;0.864;0.716;0.376;0.847;0.547;0.907;1.0;0.632;0.594;0.947;0.518;0.596;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000542389_90_90;0.0;0.56;0.66;0.516;0.716;0.56;0.73;0.383;0.673;0.88;0.583;0.632;1.0;0.332;0.661;0.528;0.606;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000543085_90_90;0.0;0.73;0.568;0.663;0.616;0.73;0.349;0.064;0.476;0.266;0.622;0.594;0.332;1.0;0.549;0.178;0.294;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000543524_90_90;0.0;0.818;0.636;0.744;0.69;0.818;0.756;0.397;0.893;0.571;0.859;0.947;0.661;0.549;1.0;0.547;0.624;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000545798_90_90;0.0;0.448;0.348;0.407;0.378;0.448;0.724;0.706;0.559;0.549;0.47;0.518;0.528;0.178;0.547;1.0;0.579;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000546251_90_90;0.0;0.527;0.423;0.485;0.454;0.527;0.783;0.419;0.636;0.596;0.549;0.596;0.606;0.294;0.624;0.579;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENSMUST00000079176_90_90;0.99;0.0;0.04;0.043;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.551;0.778;0.922;0.778;0.856;0.922;0.503;0.613;0.986;0.372
ENSMUST00000107043_90_90;0.547;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.551;1.0;0.709;0.598;0.709;0.644;0.598;0.74;0.899;0.559;0.466
ENSMUST00000107044_90_90;0.774;0.0;0.03;0.033;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.778;0.709;1.0;0.844;1.0;0.909;0.844;0.647;0.788;0.764;0.343
ENSMUST00000107045_90_90;0.918;0.0;0.028;0.03;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.922;0.598;0.844;1.0;0.844;0.778;1.0;0.546;0.665;0.908;0.294
ENSMUST00000107046_90_90;0.774;0.0;0.03;0.033;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.778;0.709;1.0;0.844;1.0;0.909;0.844;0.647;0.788;0.764;0.343
ENSMUST00000107047_90_90;0.847;0.0;0.043;0.047;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.856;0.644;0.909;0.778;0.909;1.0;0.778;0.588;0.716;0.842;0.434
ENSMUST00000116287_90_90;0.918;0.0;0.028;0.03;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.922;0.598;0.844;1.0;0.844;0.778;1.0;0.546;0.665;0.908;0.294
ENSMUST00000138830_90_90;0.506;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.503;0.74;0.647;0.546;0.647;0.588;0.546;1.0;0.821;0.51;0.505
ENSMUST00000139708_90_90;0.609;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.613;0.899;0.788;0.665;0.788;0.716;0.665;0.821;1.0;0.622;0.425
ENSMUST00000151123_90_90;0.977;0.0;0.033;0.035;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.986;0.559;0.764;0.908;0.764;0.842;0.908;0.51;0.622;1.0;0.377
ENSMUST00000208812_90_90;0.37;0.0;0.018;0.021;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.372;0.466;0.343;0.294;0.343;0.434;0.294;0.505;0.425;0.377;1.0
