;ENSCAFT00000021220_90_90;ENSCAFT00000044299_90_90;ENST00000356634_90_90;ENST00000400181_90_90;ENST00000465864_90_90;ENST00000494920_90_90;ENSMUST00000046846_90_90;ENSMUST00000105847_90_90;ENSMUST00000116273_90_90;ENSMUST00000155354_90_90;ENSMUST00000170979_90_90
ENSCAFT00000021220_90_90;1.0;0.974;0.973;0.999;0.209;0.336;0.778;0.995;0.973;0.252;0.366
ENSCAFT00000044299_90_90;0.974;1.0;0.999;0.973;0.215;0.345;0.799;0.976;0.999;0.258;0.371
ENST00000356634_90_90;0.973;0.999;1.0;0.973;0.214;0.341;0.799;0.975;0.998;0.258;0.371
ENST00000400181_90_90;0.999;0.973;0.973;1.0;0.208;0.332;0.777;0.994;0.971;0.251;0.367
ENST00000465864_90_90;0.209;0.215;0.214;0.208;1.0;0.321;0.267;0.209;0.214;0.27;0.027
ENST00000494920_90_90;0.336;0.345;0.341;0.332;0.321;1.0;0.431;0.337;0.345;0.044;0.0
ENSMUST00000046846_90_90;0.778;0.799;0.799;0.777;0.267;0.431;1.0;0.782;0.8;0.18;0.313
ENSMUST00000105847_90_90;0.995;0.976;0.975;0.994;0.209;0.337;0.782;1.0;0.977;0.244;0.362
ENSMUST00000116273_90_90;0.973;0.999;0.998;0.971;0.214;0.345;0.8;0.977;1.0;0.25;0.371
ENSMUST00000155354_90_90;0.252;0.258;0.258;0.251;0.27;0.044;0.18;0.244;0.25;1.0;0.349
ENSMUST00000170979_90_90;0.366;0.371;0.371;0.367;0.027;0.0;0.313;0.362;0.371;0.349;1.0
