;ENSCAFT00000028827_90_90;ENST00000269137_90_90;ENST00000269138_90_90;ENST00000415083_90_90;ENST00000539244_90_90;ENST00000542420_90_90;ENST00000577572_90_90;ENST00000577636_90_90;ENST00000578700_90_90;ENST00000578954_90_90;ENST00000579061_90_90;ENST00000579640_90_90;ENST00000580642_90_90;ENST00000580751_90_90;ENST00000581021_90_90;ENST00000581570_90_90;ENST00000582448_90_90;ENST00000582792_90_90;ENST00000584083_90_90;ENST00000585121_90_90;ENSMUST00000040924_90_90;ENSMUST00000040964_90_90;ENSMUST00000092041_90_90
ENSCAFT00000028827_90_90;1.0;0.862;0.172;0.932;0.115;0.901;0.117;0.165;0.063;0.118;0.467;0.119;0.119;0.118;0.262;0.118;0.064;0.114;0.406;0.116;0.932;0.744;0.862
ENST00000269137_90_90;0.862;1.0;0.233;0.927;0.169;0.829;0.167;0.176;0.067;0.168;0.504;0.168;0.168;0.168;0.283;0.168;0.068;0.164;0.438;0.165;0.927;0.732;1.0
ENST00000269138_90_90;0.172;0.233;1.0;0.216;0.346;0.117;0.603;0.213;0.26;0.637;0.209;0.646;0.646;0.637;0.347;0.637;0.282;0.529;0.235;0.552;0.216;0.27;0.233
ENST00000415083_90_90;0.932;0.927;0.216;1.0;0.156;0.901;0.155;0.165;0.063;0.157;0.467;0.157;0.157;0.157;0.262;0.157;0.064;0.152;0.406;0.153;1.0;0.804;0.927
ENST00000539244_90_90;0.115;0.169;0.346;0.156;1.0;0.057;0.334;0.199;0.0;0.348;0.102;0.352;0.352;0.348;0.168;0.348;0.0;0.302;0.114;0.312;0.156;0.196;0.169
ENST00000542420_90_90;0.901;0.829;0.117;0.901;0.057;1.0;0.063;0.183;0.07;0.064;0.526;0.064;0.064;0.064;0.297;0.064;0.07;0.061;0.457;0.062;0.901;0.706;0.829
ENST00000577572_90_90;0.117;0.167;0.603;0.155;0.334;0.063;1.0;0.204;0.581;0.607;0.112;0.615;0.615;0.607;0.176;0.607;0.266;0.514;0.124;0.535;0.155;0.192;0.167
ENST00000577636_90_90;0.165;0.176;0.213;0.165;0.199;0.183;0.204;1.0;0.272;0.215;0.343;0.218;0.218;0.215;0.631;0.215;0.299;0.175;0.393;0.184;0.165;0.204;0.176
ENST00000578700_90_90;0.063;0.067;0.26;0.063;0.0;0.07;0.581;0.272;1.0;0.262;0.131;0.266;0.266;0.262;0.227;0.262;0.402;0.213;0.148;0.224;0.063;0.077;0.067
ENST00000578954_90_90;0.118;0.168;0.637;0.157;0.348;0.064;0.607;0.215;0.262;1.0;0.115;0.651;0.651;1.0;0.185;1.0;0.285;0.531;0.128;0.555;0.157;0.194;0.168
ENST00000579061_90_90;0.467;0.504;0.209;0.467;0.102;0.526;0.112;0.343;0.131;0.115;1.0;0.115;0.115;0.115;0.542;0.115;0.135;0.104;0.865;0.106;0.467;0.366;0.504
ENST00000579640_90_90;0.119;0.168;0.646;0.157;0.352;0.064;0.615;0.218;0.266;0.651;0.115;1.0;1.0;0.651;0.188;0.651;0.551;0.535;0.129;0.56;0.157;0.194;0.168
ENST00000580642_90_90;0.119;0.168;0.646;0.157;0.352;0.064;0.615;0.218;0.266;0.651;0.115;1.0;1.0;0.651;0.188;0.651;0.551;0.535;0.129;0.56;0.157;0.194;0.168
ENST00000580751_90_90;0.118;0.168;0.637;0.157;0.348;0.064;0.607;0.215;0.262;1.0;0.115;0.651;0.651;1.0;0.185;1.0;0.285;0.531;0.128;0.555;0.157;0.194;0.168
ENST00000581021_90_90;0.262;0.283;0.347;0.262;0.168;0.297;0.176;0.631;0.227;0.185;0.542;0.188;0.188;0.185;1.0;0.185;0.245;0.155;0.625;0.163;0.262;0.329;0.283
ENST00000581570_90_90;0.118;0.168;0.637;0.157;0.348;0.064;0.607;0.215;0.262;1.0;0.115;0.651;0.651;1.0;0.185;1.0;0.285;0.531;0.128;0.555;0.157;0.194;0.168
ENST00000582448_90_90;0.064;0.068;0.282;0.064;0.0;0.07;0.266;0.299;0.402;0.285;0.135;0.551;0.551;0.285;0.245;0.285;1.0;0.224;0.154;0.238;0.064;0.078;0.068
ENST00000582792_90_90;0.114;0.164;0.529;0.152;0.302;0.061;0.514;0.175;0.213;0.531;0.104;0.535;0.535;0.531;0.155;0.531;0.224;1.0;0.115;0.488;0.152;0.188;0.164
ENST00000584083_90_90;0.406;0.438;0.235;0.406;0.114;0.457;0.124;0.393;0.148;0.128;0.865;0.129;0.129;0.128;0.625;0.128;0.154;0.115;1.0;0.118;0.406;0.392;0.438
ENST00000585121_90_90;0.116;0.165;0.552;0.153;0.312;0.062;0.535;0.184;0.224;0.555;0.106;0.56;0.56;0.555;0.163;0.555;0.238;0.488;0.118;1.0;0.153;0.189;0.165
ENSMUST00000040924_90_90;0.932;0.927;0.216;1.0;0.156;0.901;0.155;0.165;0.063;0.157;0.467;0.157;0.157;0.157;0.262;0.157;0.064;0.152;0.406;0.153;1.0;0.804;0.927
ENSMUST00000040964_90_90;0.744;0.732;0.27;0.804;0.196;0.706;0.192;0.204;0.077;0.194;0.366;0.194;0.194;0.194;0.329;0.194;0.078;0.188;0.392;0.189;0.804;1.0;0.732
ENSMUST00000092041_90_90;0.862;1.0;0.233;0.927;0.169;0.829;0.167;0.176;0.067;0.168;0.504;0.168;0.168;0.168;0.283;0.168;0.068;0.164;0.438;0.165;0.927;0.732;1.0
