;ENSCAFT00000027787_90_90;ENSCAFT00000048830_90_90;ENST00000368686_90_90;ENST00000368687_90_90;ENST00000368690_90_90;ENST00000368694_90_90;ENST00000403433_90_90;ENST00000614256_90_90;ENSMUST00000001043_90_90;ENSMUST00000049937_90_90;ENSMUST00000076639_90_90;ENSMUST00000107342_90_90;ENSMUST00000107343_90_90;ENSMUST00000107344_90_90;ENSMUST00000107346_90_90;ENSMUST00000131868_90_90;ENSMUST00000146740_90_90
ENSCAFT00000027787_90_90;1.0;0.815;0.105;0.114;0.17;0.17;0.19;0.28;0.0;0.047;0.053;0.0;0.0;0.0;0.053;0.065;0.054
ENSCAFT00000048830_90_90;0.815;1.0;0.123;0.129;0.191;0.191;0.217;0.342;0.0;0.053;0.06;0.0;0.0;0.0;0.059;0.076;0.061
ENST00000368686_90_90;0.105;0.123;1.0;0.411;0.374;0.37;0.452;0.229;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000368687_90_90;0.114;0.129;0.411;1.0;0.896;0.899;0.714;0.206;0.193;0.214;0.245;0.223;0.222;0.193;0.244;0.034;0.027
ENST00000368690_90_90;0.17;0.191;0.374;0.896;1.0;0.996;0.811;0.305;0.18;0.209;0.238;0.205;0.205;0.18;0.237;0.04;0.033
ENST00000368694_90_90;0.17;0.191;0.37;0.899;0.996;1.0;0.815;0.306;0.18;0.209;0.238;0.206;0.205;0.18;0.238;0.04;0.033
ENST00000403433_90_90;0.19;0.217;0.452;0.714;0.811;0.815;1.0;0.376;0.201;0.232;0.269;0.233;0.233;0.201;0.268;0.046;0.037
ENST00000614256_90_90;0.28;0.342;0.229;0.206;0.305;0.306;0.376;1.0;0.01;0.054;0.065;0.012;0.012;0.01;0.064;0.075;0.053
ENSMUST00000001043_90_90;0.0;0.0;0.0;0.193;0.18;0.18;0.201;0.01;1.0;0.9;0.711;0.79;0.795;1.0;0.715;0.396;0.514
ENSMUST00000049937_90_90;0.047;0.053;0.0;0.214;0.209;0.209;0.232;0.054;0.9;1.0;0.811;0.711;0.715;0.9;0.815;0.497;0.604
ENSMUST00000076639_90_90;0.053;0.06;0.0;0.245;0.238;0.238;0.269;0.065;0.711;0.811;1.0;0.876;0.872;0.711;0.995;0.604;0.511
ENSMUST00000107342_90_90;0.0;0.0;0.0;0.223;0.205;0.206;0.233;0.012;0.79;0.711;0.876;1.0;0.994;0.79;0.872;0.481;0.416
ENSMUST00000107343_90_90;0.0;0.0;0.0;0.222;0.205;0.205;0.233;0.012;0.795;0.715;0.872;0.994;1.0;0.795;0.877;0.486;0.42
ENSMUST00000107344_90_90;0.0;0.0;0.0;0.193;0.18;0.18;0.201;0.01;1.0;0.9;0.711;0.79;0.795;1.0;0.715;0.396;0.514
ENSMUST00000107346_90_90;0.053;0.059;0.0;0.244;0.237;0.238;0.268;0.064;0.715;0.815;0.995;0.872;0.877;0.715;1.0;0.609;0.515
ENSMUST00000131868_90_90;0.065;0.076;0.0;0.034;0.04;0.04;0.046;0.075;0.396;0.497;0.604;0.481;0.486;0.396;0.609;1.0;0.633
ENSMUST00000146740_90_90;0.054;0.061;0.0;0.027;0.033;0.033;0.037;0.053;0.514;0.604;0.511;0.416;0.42;0.514;0.515;0.633;1.0
