;ENSCAFT00000027249_90_90;ENSCAFT00000027252_90_90;ENST00000327028_90_90;ENST00000343765_90_90;ENST00000448935_90_90;ENST00000553888_90_90;ENST00000556412_90_90;ENST00000557466_90_90;ENST00000557658_90_90;ENSMUST00000021426_90_90;ENSMUST00000072744_90_90;ENSMUST00000179379_90_90
ENSCAFT00000027249_90_90;;;0.722;0.908;0.722;0.908;0.849;0.091;0.908;0.796;0.861;0.796
ENSCAFT00000027252_90_90;;;0.645;0.832;0.645;0.832;0.778;0.099;0.832;0.719;0.784;0.719
ENST00000327028_90_90;0.722;0.645;;;;;;;;0.766;0.841;0.766
ENST00000343765_90_90;0.908;0.832;;;;;;;;0.879;0.948;0.879
ENST00000448935_90_90;0.722;0.645;;;;;;;;0.766;0.841;0.766
ENST00000553888_90_90;0.908;0.832;;;;;;;;0.879;0.948;0.879
ENST00000556412_90_90;0.849;0.778;;;;;;;;0.818;0.882;0.818
ENST00000557466_90_90;0.091;0.099;;;;;;;;0.173;0.157;0.173
ENST00000557658_90_90;0.908;0.832;;;;;;;;0.879;0.948;0.879
ENSMUST00000021426_90_90;0.796;0.719;0.766;0.879;0.766;0.879;0.818;0.173;0.879;;;
ENSMUST00000072744_90_90;0.861;0.784;0.841;0.948;0.841;0.948;0.882;0.157;0.948;;;
ENSMUST00000179379_90_90;0.796;0.719;0.766;0.879;0.766;0.879;0.818;0.173;0.879;;;
