;ENSCAFT00000013523_90_90;ENST00000339266_90_90;ENST00000340491_90_90;ENST00000373907_90_90;ENST00000373913_90_90;ENST00000401952_90_90;ENST00000475894_90_90;ENST00000482872_90_90;ENST00000489701_90_90;ENST00000495241_90_90;ENSMUST00000000094_90_90;ENSMUST00000070782_90_90;ENSMUST00000099145_90_90;ENSMUST00000109566_90_90;ENSMUST00000109567_90_90;ENSMUST00000109568_90_90;ENSMUST00000131157_90_90;ENSMUST00000137356_90_90;ENSMUST00000146412_90_90;ENSMUST00000169464_90_90;ENSMUST00000171030_90_90;ENSMUST00000177013_90_90
ENSCAFT00000013523_90_90;1.0;1.0;0.548;1.0;0.96;0.96;0.394;0.074;0.311;0.213;0.322;0.958;0.565;0.407;0.958;0.964;0.161;0.048;0.194;1.0;0.371;0.114
ENST00000339266_90_90;1.0;1.0;0.525;1.0;0.877;0.877;0.371;0.069;0.263;0.2;0.282;0.885;0.53;0.394;0.885;0.966;0.155;0.046;0.187;1.0;0.36;0.11
ENST00000340491_90_90;0.548;0.525;1.0;0.525;0.441;0.441;0.648;0.118;0.442;0.339;0.467;0.451;1.0;0.672;0.451;0.549;0.264;0.082;0.314;0.53;0.616;0.182
ENST00000373907_90_90;1.0;1.0;0.525;1.0;0.877;0.877;0.371;0.069;0.263;0.2;0.282;0.885;0.53;0.394;0.885;0.966;0.155;0.046;0.187;1.0;0.36;0.11
ENST00000373913_90_90;0.96;0.877;0.441;0.877;1.0;1.0;0.344;0.064;0.324;0.183;0.33;1.0;0.451;0.372;1.0;0.855;0.146;0.044;0.175;0.885;0.34;0.103
ENST00000401952_90_90;0.96;0.877;0.441;0.877;1.0;1.0;0.344;0.064;0.324;0.183;0.33;1.0;0.451;0.372;1.0;0.855;0.146;0.044;0.175;0.885;0.34;0.103
ENST00000475894_90_90;0.394;0.371;0.648;0.371;0.344;0.344;1.0;0.182;0.571;0.52;0.588;0.372;0.671;1.0;0.372;0.409;0.393;0.123;0.465;0.394;0.917;0.269
ENST00000482872_90_90;0.074;0.069;0.118;0.069;0.064;0.064;0.182;1.0;0.179;0.352;0.187;0.069;0.123;0.182;0.069;0.076;0.0;0.7;0.391;0.074;0.199;0.677
ENST00000489701_90_90;0.311;0.263;0.442;0.263;0.324;0.324;0.571;0.179;1.0;0.508;1.0;0.33;0.467;0.587;0.33;0.292;0.311;0.132;0.478;0.282;0.627;0.276
ENST00000495241_90_90;0.213;0.2;0.339;0.2;0.183;0.183;0.52;0.352;0.508;1.0;0.53;0.2;0.353;0.52;0.2;0.223;0.144;0.251;0.903;0.213;0.57;0.52
ENSMUST00000000094_90_90;0.322;0.282;0.467;0.282;0.33;0.33;0.588;0.187;1.0;0.53;1.0;0.324;0.442;0.571;0.324;0.271;0.302;0.128;0.459;0.263;0.608;0.265
ENSMUST00000070782_90_90;0.958;0.885;0.451;0.885;1.0;1.0;0.372;0.069;0.33;0.2;0.324;1.0;0.441;0.344;1.0;0.849;0.136;0.041;0.162;0.877;0.315;0.095
ENSMUST00000099145_90_90;0.565;0.53;1.0;0.53;0.451;0.451;0.671;0.123;0.467;0.353;0.442;0.441;1.0;0.648;0.441;0.542;0.255;0.08;0.301;0.525;0.594;0.175
ENSMUST00000109566_90_90;0.407;0.394;0.672;0.394;0.372;0.372;1.0;0.182;0.587;0.52;0.571;0.344;0.648;1.0;0.344;0.384;0.393;0.123;0.465;0.371;0.917;0.269
ENSMUST00000109567_90_90;0.958;0.885;0.451;0.885;1.0;1.0;0.372;0.069;0.33;0.2;0.324;1.0;0.441;0.344;1.0;0.849;0.136;0.041;0.162;0.877;0.315;0.095
ENSMUST00000109568_90_90;0.964;0.966;0.549;0.966;0.855;0.855;0.409;0.076;0.292;0.223;0.271;0.849;0.542;0.384;0.849;1.0;0.151;0.045;0.181;0.969;0.351;0.106
ENSMUST00000131157_90_90;0.161;0.155;0.264;0.155;0.146;0.146;0.393;0.0;0.311;0.144;0.302;0.136;0.255;0.393;0.136;0.151;1.0;0.0;0.074;0.146;0.428;0.0
ENSMUST00000137356_90_90;0.048;0.046;0.082;0.046;0.044;0.044;0.123;0.7;0.132;0.251;0.128;0.041;0.08;0.123;0.041;0.045;0.0;1.0;0.272;0.043;0.135;0.476
ENSMUST00000146412_90_90;0.194;0.187;0.314;0.187;0.175;0.175;0.465;0.391;0.478;0.903;0.459;0.162;0.301;0.465;0.162;0.181;0.074;0.272;1.0;0.175;0.508;0.578
ENSMUST00000169464_90_90;1.0;1.0;0.53;1.0;0.885;0.885;0.394;0.074;0.282;0.213;0.263;0.877;0.525;0.371;0.877;0.969;0.146;0.043;0.175;1.0;0.339;0.103
ENSMUST00000171030_90_90;0.371;0.36;0.616;0.36;0.34;0.34;0.917;0.199;0.627;0.57;0.608;0.315;0.594;0.917;0.315;0.351;0.428;0.135;0.508;0.339;1.0;0.294
ENSMUST00000177013_90_90;0.114;0.11;0.182;0.11;0.103;0.103;0.269;0.677;0.276;0.52;0.265;0.095;0.175;0.269;0.095;0.106;0.0;0.476;0.578;0.103;0.294;1.0
