;ENSCAFT00000017676_90_90;ENST00000249647_90_90;ENST00000349777_90_90;ENST00000397138_90_90;ENST00000561526_90_90;ENST00000563765_90_90;ENST00000563830_90_90;ENST00000563873_90_90;ENST00000564153_90_90;ENST00000566035_90_90;ENST00000566327_90_90;ENST00000567094_90_90;ENST00000568331_90_90;ENST00000568451_90_90;ENST00000568841_90_90;ENST00000568859_90_90;ENST00000626061_90_90;ENST00000627440_90_90;ENSMUST00000028743_90_90;ENSMUST00000110711_90_90;ENSMUST00000116437_90_90;ENSMUST00000142278_90_90;ENSMUST00000150611_90_90;ENSMUST00000153580_90_90
ENSCAFT00000017676_90_90;1.0;0.998;0.749;0.749;0.591;0.156;0.665;0.246;0.516;0.156;0.671;0.422;0.422;0.422;0.665;0.517;0.156;0.156;0.998;0.998;1.0;0.768;0.422;0.408
ENST00000249647_90_90;0.998;1.0;0.749;0.749;0.592;0.143;0.628;0.209;0.48;0.149;0.673;0.404;0.404;0.404;0.642;0.518;0.143;0.149;0.998;0.998;0.992;0.768;0.407;0.409
ENST00000349777_90_90;0.749;0.749;1.0;1.0;0.456;0.185;0.391;0.266;0.625;0.195;0.422;0.533;0.533;0.533;0.4;0.496;0.185;0.195;0.752;0.752;0.748;0.522;0.534;0.542
ENST00000397138_90_90;0.749;0.749;1.0;1.0;0.456;0.185;0.391;0.266;0.625;0.195;0.422;0.533;0.533;0.533;0.4;0.496;0.185;0.195;0.752;0.752;0.748;0.522;0.534;0.542
ENST00000561526_90_90;0.591;0.592;0.456;0.456;1.0;0.228;0.373;0.32;0.543;0.243;0.443;0.665;0.665;0.665;0.382;0.875;0.228;0.243;0.594;0.594;0.59;0.771;0.668;0.687
ENST00000563765_90_90;0.156;0.143;0.185;0.185;0.228;1.0;0.0;0.0;0.224;0.516;0.0;0.282;0.282;0.282;0.0;0.255;1.0;0.516;0.157;0.157;0.156;0.204;0.341;0.385
ENST00000563830_90_90;0.665;0.628;0.391;0.391;0.373;0.0;1.0;0.274;0.163;0.0;0.848;0.186;0.186;0.186;0.87;0.296;0.0;0.0;0.63;0.63;0.627;0.56;0.189;0.182
ENST00000563873_90_90;0.246;0.209;0.266;0.266;0.32;0.0;0.274;1.0;0.316;0.0;0.246;0.387;0.387;0.387;0.248;0.355;0.0;0.0;0.214;0.214;0.213;0.267;0.4;0.402
ENST00000564153_90_90;0.516;0.48;0.625;0.625;0.543;0.224;0.163;0.316;1.0;0.239;0.204;0.655;0.655;0.655;0.166;0.6;0.224;0.239;0.485;0.485;0.482;0.446;0.662;0.68
ENST00000566035_90_90;0.156;0.149;0.195;0.195;0.243;0.516;0.0;0.0;0.239;1.0;0.0;0.306;0.306;0.306;0.0;0.274;0.516;1.0;0.157;0.157;0.156;0.204;0.341;0.385
