;ENSCAFT00000003155_90_90;ENST00000264312_90_90;ENST00000381473_90_90;ENST00000396448_90_90;ENST00000425583_90_90;ENST00000444354_90_90;ENST00000503016_90_90;ENST00000504654_90_90;ENST00000505922_90_90;ENST00000506801_90_90;ENST00000507210_90_90;ENST00000508293_90_90;ENST00000508996_90_90;ENST00000509122_90_90;ENST00000509164_90_90;ENST00000509246_90_90;ENST00000509664_90_90;ENST00000509963_90_90;ENST00000510824_90_90;ENST00000511102_90_90;ENST00000511662_90_90;ENST00000512236_90_90;ENST00000513391_90_90;ENST00000513641_90_90;ENST00000514981_90_90;ENSMUST00000031038_90_90;ENSMUST00000071081_90_90;ENSMUST00000166823_90_90;ENSMUST00000200935_90_90;ENSMUST00000201505_90_90;ENSMUST00000201556_90_90;ENSMUST00000201739_90_90;ENSMUST00000202237_90_90;ENSMUST00000202250_90_90
ENSCAFT00000003155_90_90;1.0;0.975;0.975;0.808;0.831;0.831;0.698;0.452;0.694;0.597;0.404;0.975;0.35;0.837;0.35;0.514;0.314;0.404;0.397;0.724;0.1;0.7;0.975;0.176;0.477;0.84;0.875;0.875;0.852;0.149;0.549;0.177;0.573;0.875
ENST00000264312_90_90;0.975;1.0;1.0;0.762;0.841;0.841;0.7;0.466;0.733;0.582;0.42;1.0;0.367;0.871;0.367;0.504;0.334;0.42;0.395;0.74;0.114;0.72;1.0;0.186;0.488;0.832;0.817;0.817;0.859;0.151;0.575;0.17;0.593;0.817
ENST00000381473_90_90;0.975;1.0;1.0;0.762;0.841;0.841;0.7;0.466;0.733;0.582;0.42;1.0;0.367;0.871;0.367;0.504;0.334;0.42;0.395;0.74;0.114;0.72;1.0;0.186;0.488;0.832;0.817;0.817;0.859;0.151;0.575;0.17;0.593;0.817
ENST00000396448_90_90;0.808;0.762;0.762;1.0;0.901;0.901;0.538;0.555;0.74;0.611;0.499;0.762;0.435;0.639;0.435;0.6;0.395;0.499;0.476;0.881;0.138;0.857;0.762;0.223;0.58;0.876;0.996;0.996;0.922;0.168;0.62;0.173;0.631;0.996
ENST00000425583_90_90;0.831;0.841;0.841;0.901;1.0;1.0;0.54;0.555;0.74;0.695;0.5;0.841;0.436;0.712;0.436;0.6;0.396;0.5;0.474;0.881;0.137;0.857;0.841;0.222;0.58;0.908;0.91;0.91;0.951;0.171;0.638;0.182;0.652;0.91
ENST00000444354_90_90;0.831;0.841;0.841;0.901;1.0;1.0;0.54;0.555;0.74;0.695;0.5;0.841;0.436;0.712;0.436;0.6;0.396;0.5;0.474;0.881;0.137;0.857;0.841;0.222;0.58;0.908;0.91;0.91;0.951;0.171;0.638;0.182;0.652;0.91
ENST00000503016_90_90;0.698;0.7;0.7;0.538;0.54;0.54;1.0;0.216;0.73;0.731;0.169;0.7;0.114;0.803;0.114;0.723;0.079;0.169;0.565;0.504;0.0;0.482;0.7;0.0;0.24;0.595;0.587;0.587;0.617;0.0;0.326;0.134;0.823;0.587
ENST00000504654_90_90;0.452;0.466;0.466;0.555;0.555;0.555;0.216;1.0;0.393;0.249;0.901;0.466;0.787;0.337;0.787;0.276;0.716;0.901;0.319;0.629;0.247;0.647;0.466;0.401;0.957;0.536;0.542;0.542;0.564;0.305;0.841;0.192;0.266;0.542
ENST00000505922_90_90;0.694;0.733;0.733;0.74;0.74;0.74;0.73;0.393;1.0;0.697;0.339;0.733;0.277;0.844;0.277;0.688;0.237;0.339;0.543;0.712;0.1;0.688;0.733;0.091;0.417;0.745;0.748;0.748;0.78;0.079;0.469;0.182;0.781;0.748
ENST00000506801_90_90;0.597;0.582;0.582;0.611;0.695;0.695;0.731;0.249;0.697;1.0;0.195;0.582;0.131;0.669;0.131;0.865;0.09;0.195;0.68;0.576;0.0;0.551;0.582;0.0;0.274;0.638;0.64;0.64;0.669;0.0;0.355;0.145;0.903;0.64
