;ENSCAFT00000003726_90_90;ENSCAFT00000003727_90_90;ENST00000502815_90_90;ENST00000504896_90_90;ENST00000506700_90_90;ENST00000506720_90_90;ENST00000506746_90_90;ENST00000507164_90_90;ENST00000507625_90_90;ENST00000508693_90_90;ENST00000508946_90_90;ENST00000509896_90_90;ENST00000511324_90_90;ENST00000512091_90_90;ENST00000514157_90_90;ENST00000514591_90_90;ENST00000514996_90_90;ENSMUST00000036068_90_90;ENSMUST00000072521_90_90;ENSMUST00000117253_90_90;ENSMUST00000117407_90_90;ENSMUST00000117985_90_90;ENSMUST00000118034_90_90;ENSMUST00000118078_90_90;ENSMUST00000118442_90_90;ENSMUST00000119385_90_90;ENSMUST00000119788_90_90;ENSMUST00000120128_90_90;ENSMUST00000120144_90_90;ENSMUST00000120292_90_90;ENSMUST00000120445_90_90;ENSMUST00000120673_90_90;ENSMUST00000121641_90_90;ENSMUST00000121707_90_90;ENSMUST00000122037_90_90;ENSMUST00000122356_90_90;ENSMUST00000124117_90_90;ENSMUST00000132375_90_90
ENSCAFT00000003726_90_90;1.0;0.668;0.505;0.487;0.504;0.409;0.411;0.47;0.421;0.467;0.425;0.48;0.482;0.501;0.49;0.435;0.427;0.66;0.66;0.492;0.487;0.674;0.678;0.523;0.497;0.5;0.657;0.52;0.509;0.506;0.484;0.645;0.649;0.664;0.698;0.667;0.851;0.0
ENSCAFT00000003727_90_90;0.668;1.0;0.363;0.738;0.763;0.683;0.687;0.784;0.703;0.78;0.647;0.801;0.806;0.758;0.742;0.662;0.65;0.982;0.988;0.745;0.805;0.922;0.927;0.783;0.823;0.827;0.984;0.779;0.762;0.758;0.801;0.965;0.971;0.994;0.953;0.998;0.57;0.044
ENST00000502815_90_90;0.505;0.363;1.0;0.439;0.454;0.581;0.584;0.422;0.6;0.42;0.607;0.432;0.434;0.451;0.441;0.624;0.61;0.36;0.36;0.425;0.405;0.367;0.368;0.435;0.414;0.416;0.359;0.433;0.423;0.421;0.403;0.353;0.355;0.362;0.378;0.363;0.513;0.0
ENST00000504896_90_90;0.487;0.738;0.439;1.0;0.959;0.792;0.787;0.943;0.76;0.95;0.828;0.918;0.911;0.966;0.993;0.799;0.822;0.743;0.748;0.967;0.914;0.804;0.798;0.93;0.89;0.884;0.739;0.937;0.962;0.969;0.921;0.77;0.764;0.742;0.771;0.738;0.392;0.052
ENST00000506700_90_90;0.504;0.763;0.454;0.959;1.0;0.76;0.764;0.917;0.785;0.911;0.794;0.941;0.948;0.993;0.966;0.817;0.798;0.757;0.762;0.941;0.89;0.771;0.775;0.969;0.912;0.919;0.752;0.962;0.936;0.93;0.884;0.738;0.743;0.767;0.798;0.763;0.405;0.054
ENST00000506720_90_90;0.409;0.683;0.581;0.792;0.76;1.0;0.994;0.829;0.967;0.835;0.957;0.808;0.802;0.765;0.787;0.93;0.951;0.682;0.686;0.768;0.806;0.674;0.669;0.738;0.786;0.78;0.684;0.744;0.764;0.77;0.812;0.711;0.706;0.681;0.647;0.684;0.329;0.042
ENST00000506746_90_90;0.411;0.687;0.584;0.787;0.764;0.994;1.0;0.834;0.973;0.829;0.951;0.802;0.807;0.76;0.791;0.924;0.957;0.677;0.681;0.773;0.811;0.669;0.673;0.743;0.78;0.785;0.679;0.738;0.769;0.764;0.806;0.706;0.71;0.685;0.65;0.687;0.33;0.042
ENST00000507164_90_90;0.47;0.784;0.422;0.943;0.917;0.829;0.834;1.0;0.807;0.993;0.787;0.962;0.968;0.911;0.949;0.76;0.791;0.779;0.784;0.925;0.97;0.764;0.769;0.89;0.933;0.94;0.775;0.884;0.92;0.914;0.964;0.806;0.811;0.789;0.743;0.785;0.377;0.05
ENST00000507625_90_90;0.421;0.703;0.6;0.76;0.785;0.967;0.973;0.807;1.0;0.802;0.924;0.825;0.829;0.781;0.764;0.95;0.929;0.693;0.698;0.746;0.785;0.647;0.65;0.763;0.802;0.806;0.695;0.759;0.743;0.738;0.78;0.684;0.687;0.701;0.666;0.703;0.338;0.044
ENST00000508693_90_90;0.467;0.78;0.42;0.95;0.911;0.835;0.829;0.993;0.802;1.0;0.792;0.968;0.962;0.918;0.943;0.765;0.787;0.785;0.79;0.919;0.964;0.77;0.764;0.884;0.94;0.933;0.78;0.89;0.914;0.921;0.97;0.812;0.806;0.784;0.738;0.78;0.375;0.049
ENST00000508946_90_90;0.425;0.647;0.607;0.828;0.794;0.957;0.951;0.787;0.924;0.792;1.0;0.765;0.76;0.799;0.822;0.972;0.994;0.645;0.65;0.802;0.764;0.7;0.695;0.771;0.744;0.738;0.648;0.777;0.798;0.804;0.77;0.674;0.669;0.645;0.672;0.647;0.341;0.044
