;ENSCAFT00000008902_90_90;ENSCAFT00000008903_90_90;ENST00000343600_90_90;ENST00000345429_90_90;ENST00000376673_90_90;ENST00000397601_90_90;ENST00000449284_90_90;ENST00000469707_90_90;ENSMUST00000088419_90_90;ENSMUST00000167459_90_90
ENSCAFT00000008902_90_90;1.0;0.572;0.626;0.911;0.718;0.626;0.263;0.442;0.764;0.812
ENSCAFT00000008903_90_90;0.572;1.0;0.887;0.629;0.8;0.887;0.15;0.478;0.642;0.682
ENST00000343600_90_90;0.626;0.887;1.0;0.691;0.884;1.0;0.204;0.478;0.712;0.761
ENST00000345429_90_90;0.911;0.629;0.691;1.0;0.789;0.691;0.322;0.439;0.836;0.892
ENST00000376673_90_90;0.718;0.8;0.884;0.789;1.0;0.884;0.181;0.442;0.717;0.764
ENST00000397601_90_90;0.626;0.887;1.0;0.691;0.884;1.0;0.204;0.478;0.712;0.761
ENST00000449284_90_90;0.263;0.15;0.204;0.322;0.181;0.204;1.0;0.0;0.368;0.298
ENST00000469707_90_90;0.442;0.478;0.478;0.439;0.442;0.478;0.0;1.0;0.442;0.47
ENSMUST00000088419_90_90;0.764;0.642;0.712;0.836;0.717;0.712;0.368;0.442;1.0;0.926
ENSMUST00000167459_90_90;0.812;0.682;0.761;0.892;0.764;0.761;0.298;0.47;0.926;1.0
