;ENSCAFT00000044457_90_90;ENST00000295894_90_90;ENST00000450542_90_90;ENST00000460711_90_90;ENST00000465156_90_90;ENST00000468110_90_90;ENST00000472899_90_90;ENST00000478300_90_90;ENST00000479198_90_90;ENST00000498449_90_90;ENSMUST00000070323_90_90;ENSMUST00000112656_90_90;ENSMUST00000153954_90_90;ENSMUST00000223583_90_90
ENSCAFT00000044457_90_90;1.0;0.897;0.019;0.932;0.676;0.151;0.155;0.828;0.604;0.172;0.897;0.979;0.328;0.922
ENST00000295894_90_90;0.897;1.0;0.02;0.96;0.758;0.16;0.131;0.877;0.627;0.208;0.876;0.999;0.348;0.97
ENST00000450542_90_90;0.019;0.02;1.0;0.02;0.026;0.346;0.0;0.119;0.026;0.0;0.118;0.019;0.05;0.021
ENST00000460711_90_90;0.932;0.96;0.02;1.0;0.728;0.155;0.126;0.845;0.604;0.199;0.876;0.999;0.348;0.97
ENST00000465156_90_90;0.676;0.758;0.026;0.728;1.0;0.178;0.17;0.659;0.404;0.241;0.658;0.757;0.459;0.728
ENST00000468110_90_90;0.151;0.16;0.346;0.155;0.178;1.0;0.295;0.263;0.204;0.566;0.263;0.161;0.332;0.165
ENST00000472899_90_90;0.155;0.131;0.0;0.126;0.17;0.295;1.0;0.093;0.169;0.529;0.098;0.139;0.397;0.108
ENST00000478300_90_90;0.828;0.877;0.119;0.845;0.659;0.263;0.093;1.0;0.546;0.16;0.999;0.876;0.288;0.902
ENST00000479198_90_90;0.604;0.627;0.026;0.604;0.404;0.204;0.169;0.546;1.0;0.272;0.586;0.678;0.513;0.649
ENST00000498449_90_90;0.172;0.208;0.0;0.199;0.241;0.566;0.529;0.16;0.272;1.0;0.161;0.208;0.509;0.177
ENSMUST00000070323_90_90;0.897;0.876;0.118;0.876;0.658;0.263;0.098;0.999;0.586;0.161;1.0;0.877;0.259;0.728
ENSMUST00000112656_90_90;0.979;0.999;0.019;0.999;0.757;0.161;0.139;0.876;0.678;0.208;0.877;1.0;0.31;0.772
ENSMUST00000153954_90_90;0.328;0.348;0.05;0.348;0.459;0.332;0.397;0.288;0.513;0.509;0.259;0.31;1.0;0.352
ENSMUST00000223583_90_90;0.922;0.97;0.021;0.97;0.728;0.165;0.108;0.902;0.649;0.177;0.728;0.772;0.352;1.0
