;transcript2_ENSHGLG00100003156;transcript2_ENSPCIG00000036398;transcript8_ENSHGLG00100003156;transcript8_ENSHGLG00000019563;transcript16_ENSHGLG00100003156;transcript16_ENSHGLG00000019563;transcript18_ENSHGLG00100003156;transcript21_ENSHGLG00100003156;transcript22_ENSHGLG00100003156;transcript23_ENSHGLG00100003156;transcript13_ENSHGLG00000019563;transcript19_ENSHGLG00000019563;transcript19_ENSPCIG00000036398;transcript26_ENSHGLG00000019563;transcript27_ENSHGLG00000019563;transcript28_ENSHGLG00000019563;transcript7_ENSHGLG00100006079;transcript14_ENSHGLG00100006079
transcript2_ENSHGLG00100003156;1.0;1.0;0.853;0.853;0.988;0.988;0.866;0.924;0.778;0.988;0.866;0.866;0.866;0.762;0.698;0.588;0.902;0.902
transcript2_ENSPCIG00000036398;1.0;1.0;0.853;0.853;0.988;0.988;0.866;0.924;0.778;0.988;0.866;0.866;0.866;0.762;0.698;0.588;0.902;0.902
transcript8_ENSHGLG00100003156;0.853;0.853;1.0;1.0;0.841;0.841;0.985;0.899;0.901;0.841;0.985;0.985;0.875;0.886;0.811;0.683;0.876;0.876
transcript8_ENSHGLG00000019563;0.853;0.853;1.0;1.0;0.841;0.841;0.985;0.899;0.901;0.841;0.985;0.985;0.875;0.886;0.811;0.683;0.876;0.876
transcript16_ENSHGLG00100003156;0.988;0.988;0.841;0.841;1.0;1.0;0.855;0.935;0.767;1.0;0.855;0.855;0.855;0.75;0.686;0.577;0.891;0.891
transcript16_ENSHGLG00000019563;0.988;0.988;0.841;0.841;1.0;1.0;0.855;0.935;0.767;1.0;0.855;0.855;0.855;0.75;0.686;0.577;0.891;0.891
transcript18_ENSHGLG00100003156;0.866;0.866;0.985;0.985;0.855;0.855;1.0;0.913;0.895;0.855;1.0;1.0;0.889;0.88;0.805;0.679;0.89;0.89
transcript21_ENSHGLG00100003156;0.924;0.924;0.899;0.899;0.935;0.935;0.913;1.0;0.819;0.935;0.913;0.913;0.815;0.802;0.733;0.617;0.952;0.952
transcript22_ENSHGLG00100003156;0.778;0.778;0.901;0.901;0.767;0.767;0.895;0.819;1.0;0.767;0.895;0.895;0.889;0.917;0.839;0.712;0.797;0.797
transcript23_ENSHGLG00100003156;0.988;0.988;0.841;0.841;1.0;1.0;0.855;0.935;0.767;1.0;0.855;0.855;0.855;0.75;0.686;0.577;0.891;0.891
transcript13_ENSHGLG00000019563;0.866;0.866;0.985;0.985;0.855;0.855;1.0;0.913;0.895;0.855;1.0;1.0;0.889;0.88;0.805;0.679;0.89;0.89
transcript19_ENSHGLG00000019563;0.866;0.866;0.985;0.985;0.855;0.855;1.0;0.913;0.895;0.855;1.0;1.0;0.889;0.88;0.805;0.679;0.89;0.89
transcript19_ENSPCIG00000036398;0.866;0.866;0.875;0.875;0.855;0.855;0.889;0.815;0.889;0.855;0.889;0.889;1.0;0.874;0.804;0.678;0.793;0.793
transcript26_ENSHGLG00000019563;0.762;0.762;0.886;0.886;0.75;0.75;0.88;0.802;0.917;0.75;0.88;0.88;0.874;1.0;0.915;0.772;0.792;0.792
transcript27_ENSHGLG00000019563;0.698;0.698;0.811;0.811;0.686;0.686;0.805;0.733;0.839;0.686;0.805;0.805;0.804;0.915;1.0;0.844;0.737;0.737
transcript28_ENSHGLG00000019563;0.588;0.588;0.683;0.683;0.577;0.577;0.679;0.617;0.712;0.577;0.679;0.679;0.678;0.772;0.844;1.0;0.649;0.649
transcript7_ENSHGLG00100006079;0.902;0.902;0.876;0.876;0.891;0.891;0.89;0.952;0.797;0.891;0.89;0.89;0.793;0.792;0.737;0.649;1.0;1.0
transcript14_ENSHGLG00100006079;0.902;0.902;0.876;0.876;0.891;0.891;0.89;0.952;0.797;0.891;0.89;0.89;0.793;0.792;0.737;0.649;1.0;1.0
