;ENSCAFT00000021165_90_90;ENSCAFT00000021175_90_90;ENSCAFT00000022869_90_90;ENSCAFT00000049479_90_90;ENST00000346964_90_90;ENST00000357674_90_90;ENST00000392380_90_90;ENST00000392381_90_90;ENST00000392382_90_90;ENST00000412364_90_90;ENST00000419227_90_90;ENST00000419354_90_90;ENST00000419553_90_90;ENST00000422288_90_90;ENST00000434148_90_90;ENST00000436682_90_90;ENST00000443183_90_90;ENST00000447466_90_90;ENST00000448528_90_90;ENST00000450955_90_90;ENST00000452595_90_90;ENST00000453607_90_90;ENST00000456699_90_90;ENST00000378154_90_90;ENST00000378158_90_90;ENST00000378163_90_90;ENST00000378166_90_90;ENST00000378168_90_90;ENST00000378179_90_90;ENST00000421587_90_90;ENST00000442742_90_90;ENSMUST00000023454_90_90;ENSMUST00000064477_90_90;ENSMUST00000100001_90_90;ENSMUST00000115196_90_90;ENSMUST00000115201_90_90;ENSMUST00000115205_90_90;ENSMUST00000130920_90_90;ENSMUST00000131136_90_90;ENSMUST00000132176_90_90;ENSMUST00000033321_90_90;ENSMUST00000115435_90_90;ENSMUST00000115436_90_90;ENSMUST00000115438_90_90;ENSMUST00000124710_90_90;ENSMUST00000128012_90_90;ENSMUST00000128095_90_90;ENSMUST00000139735_90_90;ENSMUST00000156096_90_90
ENSCAFT00000021165_90_90;1.0;0.827;0.907;0.887;0.977;0.924;0.254;0.748;0.881;0.115;0.446;0.933;0.169;0.858;0.008;0.131;0.691;0.344;0.933;0.924;0.701;0.123;0.208;0.598;0.866;0.918;0.907;0.34;0.546;0.887;0.887;0.861;0.97;0.912;0.727;0.906;0.912;0.045;0.383;0.624;0.832;0.053;0.851;0.871;0.172;0.226;0.116;0.271;0.812
ENSCAFT00000021175_90_90;0.827;1.0;0.938;0.897;0.89;0.838;0.262;0.786;0.824;0.119;0.46;0.875;0.175;0.801;0.008;0.135;0.662;0.365;0.875;0.838;0.647;0.127;0.214;0.644;0.896;0.928;0.938;0.309;0.557;0.897;0.917;0.826;0.892;0.877;0.717;0.884;0.877;0.047;0.403;0.651;0.842;0.052;0.861;0.881;0.17;0.223;0.115;0.242;0.822
ENSCAFT00000022869_90_90;0.907;0.938;1.0;0.954;0.925;0.882;0.217;0.728;0.871;0.087;0.402;0.914;0.141;0.839;0.0;0.109;0.774;0.337;0.914;0.882;0.763;0.13;0.185;0.638;0.954;0.992;1.0;0.336;0.55;0.954;0.977;0.845;0.918;0.887;0.794;0.887;0.887;0.062;0.375;0.625;0.916;0.062;0.939;0.962;0.169;0.269;0.115;0.252;0.901
ENSCAFT00000049479_90_90;0.887;0.897;0.954;1.0;0.903;0.86;0.222;0.688;0.849;0.089;0.396;0.892;0.144;0.817;0.0;0.111;0.753;0.33;0.892;0.86;0.742;0.121;0.189;0.633;0.908;0.962;0.954;0.326;0.579;1.0;0.977;0.825;0.897;0.866;0.773;0.866;0.866;0.064;0.354;0.588;0.915;0.063;0.984;0.961;0.175;0.258;0.119;0.27;0.944
ENST00000346964_90_90;0.977;0.89;0.925;0.903;1.0;0.934;0.25;0.717;0.878;0.11;0.426;0.935;0.162;0.856;0.007;0.125;0.645;0.336;0.935;0.941;0.662;0.117;0.199;0.604;0.882;0.935;0.925;0.337;0.584;0.903;0.903;0.874;0.985;0.933;0.689;0.92;0.933;0.046;0.386;0.641;0.845;0.066;0.866;0.887;0.176;0.211;0.132;0.247;0.825
ENST00000357674_90_90;0.924;0.838;0.882;0.86;0.934;1.0;0.193;0.664;0.938;0.118;0.457;0.884;0.173;0.915;0.008;0.134;0.685;0.359;0.884;0.992;0.705;0.125;0.213;0.56;0.839;0.892;0.882;0.353;0.612;0.86;0.86;0.929;0.924;0.874;0.635;0.861;0.874;0.049;0.411;0.683;0.804;0.069;0.825;0.845;0.184;0.168;0.138;0.258;0.784
ENST00000392380_90_90;0.254;0.262;0.217;0.222;0.25;0.193;1.0;0.337;0.195;0.441;0.353;0.256;0.647;0.182;0.029;0.5;0.014;0.025;0.256;0.191;0.014;0.214;0.743;0.339;0.227;0.215;0.217;0.0;0.0;0.222;0.222;0.2;0.26;0.262;0.07;0.258;0.262;0.0;0.0;0.283;0.222;0.0;0.217;0.213;0.727;0.15;0.0;0.0;0.174
ENST00000392381_90_90;0.748;0.786;0.728;0.688;0.717;0.664;0.337;1.0;0.674;0.149;0.574;0.733;0.218;0.652;0.01;0.168;0.453;0.451;0.733;0.659;0.465;0.157;0.267;0.775;0.685;0.72;0.728;0.112;0.36;0.688;0.707;0.695;0.75;0.756;0.521;0.744;0.756;0.06;0.462;0.84;0.653;0.0;0.674;0.695;0.232;0.274;0.0;0.106;0.632
ENST00000392382_90_90;0.881;0.824;0.871;0.849;0.878;0.938;0.195;0.674;1.0;0.12;0.464;0.94;0.176;0.976;0.008;0.136;0.732;0.365;0.94;0.931;0.754;0.127;0.216;0.567;0.828;0.882;0.871;0.341;0.6;0.849;0.849;0.984;0.874;0.924;0.674;0.91;0.924;0.049;0.415;0.689;0.794;0.07;0.814;0.835;0.186;0.17;0.14;0.247;0.773
ENST00000412364_90_90;0.115;0.119;0.087;0.089;0.11;0.118;0.441;0.149;0.12;1.0;0.259;0.113;0.682;0.123;0.067;0.882;0.0;0.0;0.113;0.117;0.0;0.0;0.556;0.136;0.091;0.086;0.087;0.0;0.0;0.089;0.089;0.123;0.115;0.115;0.0;0.114;0.115;0.0;0.0;0.179;0.089;0.0;0.087;0.085;0.625;0.0;0.0;0.0;0.043
ENST00000419227_90_90;0.446;0.46;0.402;0.396;0.426;0.457;0.353;0.574;0.464;0.259;1.0;0.436;0.379;0.475;0.017;0.293;0.246;0.458;0.436;0.453;0.254;0.271;0.393;0.627;0.42;0.398;0.402;0.0;0.138;0.396;0.411;0.475;0.443;0.446;0.238;0.439;0.446;0.0;0.209;0.651;0.396;0.0;0.387;0.379;0.41;0.26;0.0;0.0;0.344
ENST00000419354_90_90;0.933;0.875;0.914;0.892;0.935;0.884;0.256;0.733;0.94;0.113;0.436;1.0;0.165;0.917;0.008;0.128;0.692;0.343;1.0;0.878;0.711;0.119;0.203;0.611;0.871;0.925;0.914;0.326;0.573;0.892;0.892;0.924;0.933;0.985;0.729;0.97;0.985;0.046;0.389;0.646;0.835;0.067;0.856;0.876;0.178;0.213;0.133;0.237;0.814
ENST00000419553_90_90;0.169;0.175;0.141;0.144;0.162;0.173;0.647;0.218;0.176;0.682;0.379;0.165;1.0;0.18;0.045;0.773;0.0;0.0;0.165;0.172;0.0;0.219;0.815;0.22;0.148;0.14;0.141;0.0;0.0;0.144;0.144;0.18;0.168;0.169;0.0;0.167;0.169;0.0;0.0;0.262;0.144;0.0;0.141;0.138;0.938;0.0;0.0;0.0;0.098
ENST00000422288_90_90;0.858;0.801;0.839;0.817;0.856;0.915;0.182;0.652;0.976;0.123;0.475;0.917;0.18;1.0;0.008;0.139;0.71;0.341;0.917;0.908;0.731;0.13;0.192;0.533;0.796;0.849;0.839;0.354;0.622;0.817;0.817;0.959;0.852;0.901;0.653;0.887;0.901;0.05;0.425;0.664;0.763;0.072;0.784;0.804;0.193;0.138;0.145;0.256;0.742
ENST00000434148_90_90;0.008;0.008;0.0;0.0;0.007;0.008;0.029;0.01;0.008;0.067;0.017;0.008;0.045;0.008;1.0;0.059;0.0;0.0;0.008;0.008;0.0;0.0;0.037;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.008;0.008;0.008;0.0;0.008;0.008;0.0;0.0;0.012;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ENST00000436682_90_90;0.131;0.135;0.109;0.111;0.125;0.134;0.5;0.168;0.136;0.882;0.293;0.128;0.773;0.139;0.059;1.0;0.0;0.0;0.128;0.133;0.0;0.062;0.63;0.169;0.114;0.108;0.109;0.0;0.0;0.111;0.111;0.139;0.13;0.131;0.0;0.129;0.131;0.0;0.0;0.202;0.111;0.0;0.109;0.106;0.75;0.0;0.0;0.0;0.065
ENST00000443183_90_90;0.691;0.662;0.774;0.753;0.645;0.685;0.014;0.453;0.732;0.0;0.246;0.692;0.0;0.71;0.0;0.0;1.0;0.412;0.692;0.681;0.965;0.056;0.022;0.451;0.731;0.785;0.774;0.4;0.693;0.753;0.753;0.713;0.635;0.674;0.917;0.688;0.674;0.054;0.455;0.444;0.716;0.08;0.737;0.758;0.0;0.253;0.16;0.299;0.769
ENST00000447466_90_90;0.344;0.365;0.337;0.33;0.336;0.359;0.025;0.451;0.365;0.0;0.458;0.343;0.0;0.341;0.0;0.0;0.412;1.0;0.343;0.357;0.427;0.103;0.042;0.525;0.352;0.333;0.337;0.0;0.25;0.33;0.344;0.374;0.348;0.351;0.395;0.346;0.351;0.0;0.394;0.489;0.337;0.0;0.33;0.323;0.0;0.375;0.0;0.0;0.345
ENST00000448528_90_90;0.933;0.875;0.914;0.892;0.935;0.884;0.256;0.733;0.94;0.113;0.436;1.0;0.165;0.917;0.008;0.128;0.692;0.343;1.0;0.878;0.711;0.119;0.203;0.611;0.871;0.925;0.914;0.326;0.573;0.892;0.892;0.924;0.933;0.985;0.729;0.97;0.985;0.046;0.389;0.646;0.835;0.067;0.856;0.876;0.178;0.213;0.133;0.237;0.814
ENST00000450955_90_90;0.924;0.838;0.882;0.86;0.941;0.992;0.191;0.659;0.931;0.117;0.453;0.878;0.172;0.908;0.008;0.133;0.681;0.357;0.878;1.0;0.7;0.124;0.211;0.56;0.839;0.892;0.882;0.353;0.612;0.86;0.86;0.929;0.924;0.874;0.635;0.861;0.874;0.049;0.411;0.683;0.804;0.069;0.825;0.845;0.184;0.168;0.138;0.258;0.784
