;ENSCAFT00000030441_90_90;ENSCAFT00000047641_90_90;ENST00000359786_90_90;ENST00000361007_90_90;ENST00000438665_90_90;ENST00000545534_90_90;ENST00000570490_90_90;ENST00000570984_90_90;ENST00000571715_90_90;ENST00000573853_90_90;ENST00000574790_90_90;ENST00000575011_90_90;ENST00000575158_90_90;ENST00000575335_90_90;ENSMUST00000069057_90_90;ENSMUST00000102504_90_90;ENSMUST00000102505_90_90;ENSMUST00000108431_90_90;ENSMUST00000136935_90_90
ENSCAFT00000030441_90_90;1.0;0.967;0.997;0.964;0.968;0.972;0.155;0.251;0.126;0.16;0.155;0.029;0.964;0.13;0.967;0.967;1.0;0.971;0.048
ENSCAFT00000047641_90_90;0.967;1.0;0.964;0.997;0.982;0.986;0.15;0.26;0.13;0.166;0.16;0.03;0.997;0.134;1.0;1.0;0.967;0.985;0.039
ENST00000359786_90_90;0.997;0.964;1.0;0.967;0.971;0.976;0.155;0.251;0.126;0.16;0.155;0.029;0.967;0.13;0.964;0.964;0.997;0.968;0.048
ENST00000361007_90_90;0.964;0.997;0.967;1.0;0.985;0.989;0.15;0.26;0.13;0.166;0.16;0.03;1.0;0.134;0.997;0.997;0.964;0.982;0.039
ENST00000438665_90_90;0.968;0.982;0.971;0.985;1.0;0.993;0.158;0.256;0.128;0.163;0.158;0.029;0.985;0.132;0.982;0.982;0.968;0.989;0.048
ENST00000545534_90_90;0.972;0.986;0.976;0.989;0.993;1.0;0.159;0.257;0.129;0.164;0.158;0.03;0.989;0.132;0.986;0.986;0.972;0.99;0.049
ENST00000570490_90_90;0.155;0.15;0.155;0.15;0.158;0.159;1.0;0.556;0.794;0.849;0.876;0.0;0.15;0.816;0.15;0.15;0.155;0.158;0.264
ENST00000570984_90_90;0.251;0.26;0.251;0.26;0.256;0.257;0.556;1.0;0.502;0.638;0.617;0.0;0.26;0.516;0.26;0.26;0.251;0.256;0.138
ENST00000571715_90_90;0.126;0.13;0.126;0.13;0.128;0.129;0.794;0.502;1.0;0.787;0.814;0.0;0.13;0.973;0.13;0.13;0.126;0.128;0.244
ENST00000573853_90_90;0.16;0.166;0.16;0.166;0.163;0.164;0.849;0.638;0.787;1.0;0.967;0.0;0.166;0.808;0.166;0.166;0.16;0.163;0.201
ENST00000574790_90_90;0.155;0.16;0.155;0.16;0.158;0.158;0.876;0.617;0.814;0.967;1.0;0.0;0.16;0.836;0.16;0.16;0.155;0.158;0.207
ENST00000575011_90_90;0.029;0.03;0.029;0.03;0.029;0.03;0.0;0.0;0.0;0.0;0.0;1.0;0.03;0.0;0.03;0.03;0.029;0.029;0.0
ENST00000575158_90_90;0.964;0.997;0.967;1.0;0.985;0.989;0.15;0.26;0.13;0.166;0.16;0.03;1.0;0.134;0.997;0.997;0.964;0.982;0.039
ENST00000575335_90_90;0.13;0.134;0.13;0.134;0.132;0.132;0.816;0.516;0.973;0.808;0.836;0.0;0.134;1.0;0.134;0.134;0.13;0.132;0.239
ENSMUST00000069057_90_90;0.967;1.0;0.964;0.997;0.982;0.986;0.15;0.26;0.13;0.166;0.16;0.03;0.997;0.134;1.0;1.0;0.967;0.985;0.039
ENSMUST00000102504_90_90;0.967;1.0;0.964;0.997;0.982;0.986;0.15;0.26;0.13;0.166;0.16;0.03;0.997;0.134;1.0;1.0;0.967;0.985;0.039
ENSMUST00000102505_90_90;1.0;0.967;0.997;0.964;0.968;0.972;0.155;0.251;0.126;0.16;0.155;0.029;0.964;0.13;0.967;0.967;1.0;0.971;0.048
ENSMUST00000108431_90_90;0.971;0.985;0.968;0.982;0.989;0.99;0.158;0.256;0.128;0.163;0.158;0.029;0.982;0.132;0.985;0.985;0.971;1.0;0.048
ENSMUST00000136935_90_90;0.048;0.039;0.048;0.039;0.048;0.049;0.264;0.138;0.244;0.201;0.207;0.0;0.039;0.239;0.039;0.039;0.048;0.048;1.0
