;ENSCAFT00000020949_90_90;ENST00000258909_90_90;ENST00000322019_90_90;ENST00000379384_90_90;ENST00000379390_90_90;ENST00000561551_90_90;ENST00000565774_90_90;ENST00000565982_90_90;ENSMUST00000041890_90_90;ENSMUST00000119543_90_90;ENSMUST00000126334_90_90
ENSCAFT00000020949_90_90;1.0;0.362;0.965;0.345;0.519;0.1;0.857;0.391;1.0;0.752;0.404
ENST00000258909_90_90;0.362;1.0;0.402;0.832;0.704;0.0;0.448;0.119;0.383;0.136;0.738
ENST00000322019_90_90;0.965;0.402;1.0;0.346;0.578;0.088;0.899;0.401;0.968;0.72;0.417
ENST00000379384_90_90;0.345;0.832;0.346;1.0;0.602;0.0;0.383;0.122;0.366;0.119;0.766
ENST00000379390_90_90;0.519;0.704;0.578;0.602;1.0;0.069;0.644;0.228;0.534;0.286;0.556
ENST00000561551_90_90;0.1;0.0;0.088;0.0;0.069;1.0;0.099;0.0;0.096;0.127;0.0
ENST00000565774_90_90;0.857;0.448;0.899;0.383;0.644;0.099;1.0;0.357;0.863;0.616;0.468
ENST00000565982_90_90;0.391;0.119;0.401;0.122;0.228;0.0;0.357;1.0;0.381;0.506;0.247
ENSMUST00000041890_90_90;1.0;0.383;0.968;0.366;0.534;0.096;0.863;0.381;1.0;0.73;0.423
ENSMUST00000119543_90_90;0.752;0.136;0.72;0.119;0.286;0.127;0.616;0.506;0.73;1.0;0.153
ENSMUST00000126334_90_90;0.404;0.738;0.417;0.766;0.556;0.0;0.468;0.247;0.423;0.153;1.0
