;ENSCAFT00000018772_90_90;ENST00000333957_90_90;ENST00000396028_90_90;ENST00000446597_90_90;ENST00000535555_90_90;ENST00000536386_90_90;ENST00000539615_90_90;ENST00000542676_90_90;ENST00000542683_90_90;ENST00000545552_90_90;ENSMUST00000087485_90_90;ENSMUST00000111758_90_90;ENSMUST00000171349_90_90;ENSMUST00000203187_90_90;ENSMUST00000203673_90_90;ENSMUST00000204043_90_90;ENSMUST00000204140_90_90;ENSMUST00000204655_90_90;ENSMUST00000205119_90_90
ENSCAFT00000018772_90_90;1.0;0.888;0.932;0.978;0.201;0.954;0.2;0.978;0.23;0.906;0.838;0.838;0.884;0.915;0.954;0.184;0.225;0.884;0.079
ENST00000333957_90_90;0.888;1.0;0.831;0.91;0.203;0.795;0.178;0.91;0.283;0.826;0.905;0.905;1.0;0.966;0.79;0.185;0.248;1.0;0.087
ENST00000396028_90_90;0.932;0.831;1.0;0.916;0.184;0.955;0.201;0.916;0.198;0.944;0.907;0.907;0.826;0.855;0.954;0.169;0.226;0.826;0.079
ENST00000446597_90_90;0.978;0.91;0.916;1.0;0.184;0.876;0.2;1.0;0.253;0.864;0.826;0.826;0.907;0.939;0.873;0.169;0.225;0.907;0.079
ENST00000535555_90_90;0.201;0.203;0.184;0.184;1.0;0.228;0.0;0.184;0.195;0.22;0.209;0.209;0.209;0.201;0.234;0.944;0.0;0.209;0.0
ENST00000536386_90_90;0.954;0.795;0.955;0.876;0.228;1.0;0.195;0.876;0.186;0.903;0.867;0.867;0.79;0.818;1.0;0.214;0.214;0.79;0.075
ENST00000539615_90_90;0.2;0.178;0.201;0.2;0.0;0.195;1.0;0.2;0.0;0.2;0.182;0.182;0.181;0.215;0.197;0.0;0.0;0.181;0.0
ENST00000542676_90_90;0.978;0.91;0.916;1.0;0.184;0.876;0.2;1.0;0.253;0.864;0.826;0.826;0.907;0.939;0.873;0.169;0.225;0.907;0.079
ENST00000542683_90_90;0.23;0.283;0.198;0.253;0.195;0.186;0.0;0.253;1.0;0.197;0.23;0.23;0.293;0.281;0.192;0.156;0.09;0.293;0.0
ENST00000545552_90_90;0.906;0.826;0.944;0.864;0.22;0.903;0.2;0.864;0.197;1.0;0.902;0.902;0.821;0.851;0.9;0.205;0.224;0.821;0.079
ENSMUST00000087485_90_90;0.838;0.905;0.907;0.826;0.209;0.867;0.182;0.826;0.23;0.902;1.0;1.0;0.905;0.877;0.867;0.186;0.249;0.905;0.088
ENSMUST00000111758_90_90;0.838;0.905;0.907;0.826;0.209;0.867;0.182;0.826;0.23;0.902;1.0;1.0;0.905;0.877;0.867;0.186;0.249;0.905;0.088
ENSMUST00000171349_90_90;0.884;1.0;0.826;0.907;0.209;0.79;0.181;0.907;0.293;0.821;0.905;0.905;1.0;0.966;0.79;0.185;0.248;1.0;0.087
ENSMUST00000203187_90_90;0.915;0.966;0.855;0.939;0.201;0.818;0.215;0.939;0.281;0.851;0.877;0.877;0.966;1.0;0.818;0.179;0.239;0.966;0.085
ENSMUST00000203673_90_90;0.954;0.79;0.954;0.873;0.234;1.0;0.197;0.873;0.192;0.9;0.867;0.867;0.79;0.818;1.0;0.214;0.214;0.79;0.075
ENSMUST00000204043_90_90;0.184;0.185;0.169;0.169;0.944;0.214;0.0;0.169;0.156;0.205;0.186;0.186;0.185;0.179;0.214;1.0;0.0;0.185;0.0
ENSMUST00000204140_90_90;0.225;0.248;0.226;0.225;0.0;0.214;0.0;0.225;0.09;0.224;0.249;0.249;0.248;0.239;0.214;0.0;1.0;0.248;0.351
ENSMUST00000204655_90_90;0.884;1.0;0.826;0.907;0.209;0.79;0.181;0.907;0.293;0.821;0.905;0.905;1.0;0.966;0.79;0.185;0.248;1.0;0.087
ENSMUST00000205119_90_90;0.079;0.087;0.079;0.079;0.0;0.075;0.0;0.079;0.0;0.079;0.088;0.088;0.087;0.085;0.075;0.0;0.351;0.087;1.0
