;ENSCAFT00000027249_90_90;ENSCAFT00000027252_90_90;ENST00000327028_90_90;ENST00000343765_90_90;ENST00000448935_90_90;ENST00000553888_90_90;ENST00000556412_90_90;ENST00000557466_90_90;ENST00000557658_90_90;ENSMUST00000021426_90_90;ENSMUST00000072744_90_90;ENSMUST00000179379_90_90
ENSCAFT00000027249_90_90;1.0;0.889;0.667;1.0;0.667;1.0;0.9;0.111;1.0;0.778;0.889;0.778
ENSCAFT00000027252_90_90;0.889;1.0;0.556;0.889;0.556;0.889;0.8;0.125;0.889;0.667;0.778;0.667
ENST00000327028_90_90;0.667;0.556;1.0;0.667;1.0;0.667;0.6;0.167;0.667;0.625;0.75;0.625
ENST00000343765_90_90;1.0;0.889;0.667;1.0;0.667;1.0;0.9;0.111;1.0;0.778;0.889;0.778
ENST00000448935_90_90;0.667;0.556;1.0;0.667;1.0;0.667;0.6;0.167;0.667;0.625;0.75;0.625
ENST00000553888_90_90;1.0;0.889;0.667;1.0;0.667;1.0;0.9;0.111;1.0;0.778;0.889;0.778
ENST00000556412_90_90;0.9;0.8;0.6;0.9;0.6;0.9;1.0;0.1;0.9;0.7;0.8;0.7
ENST00000557466_90_90;0.111;0.125;0.167;0.111;0.167;0.111;0.1;1.0;0.111;0.143;0.125;0.143
ENST00000557658_90_90;1.0;0.889;0.667;1.0;0.667;1.0;0.9;0.111;1.0;0.778;0.889;0.778
ENSMUST00000021426_90_90;0.778;0.667;0.625;0.778;0.625;0.778;0.7;0.143;0.778;1.0;0.875;1.0
ENSMUST00000072744_90_90;0.889;0.778;0.75;0.889;0.75;0.889;0.8;0.125;0.889;0.875;1.0;0.875
ENSMUST00000179379_90_90;0.778;0.667;0.625;0.778;0.625;0.778;0.7;0.143;0.778;1.0;0.875;1.0
