;transcript59_ENSMUGG00000013649;transcript39_ENSPEMG00000024651;transcript37_ENSPEMG00000024651;transcript65_ENSCGRG00000018457;transcript37_ENSCGRG00001010245;transcript54_ENSCGRG00015005362;transcript59_ENSPEMG00000024651;transcript57_ENSPEMG00000024651;transcript57_ENSMUGG00000013649;transcript37_ENSMUGG00000013592;transcript51_ENSMUGG00000013592;transcript26_ENSSTOG00000019743;transcript37_ENSSTOG00000019743;transcript38_ENSCGRG00015005362;transcript8_ENSCGRG00000018457;transcript38_ENSCGRG00000018457;transcript8_ENSCGRG00015005362;transcript37_ENSMUGG00000013649;transcript38_ENSSTOG00000019743;transcript8_ENSSTOG00000019743;transcript38_ENSRNOG00000031503;transcript56_ENSCGRG00000018457;transcript9_ENSCGRG00015005362;transcript52_ENSCGRG00000018457;transcript52_ENSCGRG00001010245;transcript58_ENSPEMG00000024651;transcript9_ENSPEMG00000024651;transcript33_ENSPEMG00000024651;transcript56_ENSPEMG00000024651;transcript8_ENSPEMG00000024651;transcript58_ENSMUGG00000013649;transcript40_ENSSTOG00000019743;transcript29_ENSSTOG00000019743;transcript39_ENSSTOG00000019743;transcript8_ENSNGAG00000018584;transcript33_ENSNGAG00000018584
transcript59_ENSMUGG00000013649;1.0;0.8;0.837;0.709;0.858;0.887;0.842;0.737;0.777;0.85;0.776;0.732;0.859;0.72;0.559;0.724;0.549;0.858;0.73;0.586;0.775;0.706;0.772;0.718;0.729;0.841;0.756;0.756;0.67;0.542;0.852;0.732;0.732;0.825;0.504;0.7
transcript39_ENSPEMG00000024651;0.8;1.0;0.82;0.788;0.874;0.808;0.937;0.694;0.683;0.857;0.75;0.848;0.797;0.828;0.669;0.825;0.67;0.795;0.844;0.711;0.907;0.791;0.848;0.795;0.814;0.783;0.875;0.875;0.791;0.683;0.757;0.848;0.848;0.974;0.628;0.791
transcript37_ENSPEMG00000024651;0.837;0.82;1.0;0.725;0.969;0.943;0.763;0.85;0.838;0.964;0.851;0.786;0.968;0.763;0.604;0.76;0.605;0.968;0.777;0.641;0.827;0.737;0.784;0.732;0.749;0.946;0.808;0.808;0.736;0.616;0.913;0.786;0.786;0.815;0.544;0.709
transcript65_ENSCGRG00000018457;0.709;0.788;0.725;1.0;0.819;0.785;0.81;0.629;0.663;0.801;0.729;0.819;0.746;0.884;0.732;0.889;0.726;0.745;0.897;0.765;0.93;0.877;0.936;0.99;0.99;0.776;0.908;0.908;0.824;0.703;0.808;0.819;0.819;0.821;0.661;0.852
transcript37_ENSCGRG00001010245;0.858;0.874;0.969;0.819;1.0;0.972;0.811;0.822;0.869;0.991;0.878;0.893;0.999;0.866;0.679;0.862;0.68;0.999;0.884;0.726;0.954;0.836;0.89;0.829;0.851;0.915;0.863;0.863;0.786;0.66;0.94;0.893;0.893;0.92;0.604;0.797
transcript54_ENSCGRG00015005362;0.887;0.808;0.943;0.785;0.972;1.0;0.781;0.849;0.899;0.964;0.89;0.846;0.972;0.8;0.63;0.801;0.628;0.972;0.811;0.663;0.882;0.786;0.851;0.794;0.813;0.942;0.825;0.825;0.742;0.608;0.969;0.846;0.846;0.849;0.562;0.762
transcript59_ENSPEMG00000024651;0.842;0.937;0.763;0.81;0.811;0.781;1.0;0.665;0.655;0.795;0.719;0.823;0.741;0.822;0.684;0.827;0.671;0.739;0.833;0.715;0.89;0.815;0.868;0.818;0.83;0.77;0.901;0.901;0.814;0.69;0.738;0.823;0.823;0.913;0.637;0.806
transcript57_ENSPEMG00000024651;0.737;0.694;0.85;0.629;0.822;0.849;0.665;1.0;0.961;0.821;0.872;0.7;0.822;0.642;0.475;0.643;0.473;0.822;0.651;0.499;0.712;0.624;0.691;0.637;0.652;0.845;0.713;0.713;0.623;0.479;0.813;0.7;0.7;0.69;0.443;0.642
transcript57_ENSMUGG00000013649;0.777;0.683;0.838;0.663;0.869;0.899;0.655;0.961;1.0;0.865;0.96;0.734;0.869;0.677;0.497;0.678;0.495;0.869;0.686;0.524;0.752;0.658;0.731;0.672;0.689;0.832;0.703;0.703;0.614;0.473;0.861;0.734;0.734;0.724;0.456;0.673
transcript37_ENSMUGG00000013592;0.85;0.857;0.964;0.801;0.991;0.964;0.795;0.821;0.865;1.0;0.886;0.855;0.992;0.847;0.665;0.843;0.667;0.992;0.864;0.711;0.93;0.816;0.87;0.81;0.831;0.911;0.846;0.846;0.772;0.649;0.933;0.855;0.855;0.899;0.594;0.782
transcript51_ENSMUGG00000013592;0.776;0.75;0.851;0.729;0.878;0.89;0.719;0.872;0.96;0.886;1.0;0.789;0.879;0.746;0.567;0.747;0.565;0.879;0.757;0.599;0.832;0.741;0.798;0.739;0.758;0.83;0.771;0.771;0.695;0.544;0.855;0.789;0.789;0.79;0.518;0.732
transcript26_ENSSTOG00000019743;0.732;0.848;0.786;0.819;0.893;0.846;0.823;0.7;0.734;0.855;0.789;1.0;0.808;0.834;0.68;0.834;0.678;0.805;0.847;0.715;0.989;0.822;0.881;0.827;0.863;0.779;0.862;0.862;0.786;0.664;0.797;1.0;1.0;0.882;0.647;0.834
transcript37_ENSSTOG00000019743;0.859;0.797;0.968;0.746;0.999;0.972;0.741;0.822;0.869;0.992;0.879;0.808;1.0;0.786;0.615;0.783;0.615;1.0;0.801;0.654;0.853;0.756;0.81;0.754;0.772;0.915;0.785;0.785;0.714;0.599;0.94;0.808;0.808;0.837;0.547;0.725
transcript38_ENSCGRG00015005362;0.72;0.828;0.763;0.884;0.866;0.8;0.822;0.642;0.677;0.847;0.746;0.834;0.786;1.0;0.821;1.0;0.819;0.785;1.0;0.856;1.0;0.971;0.949;0.893;0.91;0.729;0.921;0.921;0.902;0.789;0.746;0.834;0.834;0.864;0.734;0.847
transcript8_ENSCGRG00000018457;0.559;0.669;0.604;0.732;0.679;0.63;0.684;0.475;0.497;0.665;0.567;0.68;0.615;0.821;1.0;0.821;0.997;0.614;0.821;1.0;0.826;0.789;0.782;0.726;0.74;0.583;0.769;0.769;0.742;0.973;0.583;0.68;0.68;0.688;0.886;0.706
transcript38_ENSCGRG00000018457;0.724;0.825;0.76;0.889;0.862;0.801;0.827;0.643;0.678;0.843;0.747;0.834;0.783;1.0;0.821;1.0;0.819;0.782;1.0;0.856;1.0;0.977;0.954;0.898;0.915;0.729;0.926;0.926;0.907;0.789;0.747;0.834;0.834;0.861;0.734;0.851
transcript8_ENSCGRG00015005362;0.549;0.67;0.605;0.726;0.68;0.628;0.671;0.473;0.495;0.667;0.565;0.678;0.615;0.819;0.997;0.819;1.0;0.615;0.819;0.997;0.823;0.782;0.775;0.72;0.734;0.575;0.762;0.762;0.735;0.97;0.575;0.678;0.678;0.689;0.883;0.701
transcript37_ENSMUGG00000013649;0.858;0.795;0.968;0.745;0.999;0.972;0.739;0.822;0.869;0.992;0.879;0.805;1.0;0.785;0.614;0.782;0.615;1.0;0.801;0.653;0.853;0.755;0.809;0.753;0.771;0.915;0.784;0.784;0.713;0.598;0.94;0.805;0.805;0.836;0.546;0.724
