;ENSCAFT00000017221_90_90;ENSCAFT00000027149_90_90;ENST00000256062_90_90;ENST00000539277_90_90;ENST00000550354_90_90;ENST00000551659_90_90;ENST00000552618_90_90;ENST00000373701_90_90;ENST00000373719_90_90;ENST00000444774_90_90;ENSMUST00000060095_90_90;ENSMUST00000100772_90_90;ENSMUST00000140797_90_90;ENSMUST00000203991_90_90;ENSMUST00000044475_90_90;ENSMUST00000119299_90_90
ENSCAFT00000017221_90_90;1.0;0.51;0.778;0.909;0.122;0.978;0.954;0.504;0.51;0.198;0.968;0.944;0.573;0.22;0.51;0.504
ENSCAFT00000027149_90_90;0.51;1.0;0.469;0.48;0.089;0.498;0.481;0.974;1.0;0.237;0.496;0.479;0.297;0.103;1.0;0.974
ENST00000256062_90_90;0.778;0.469;1.0;0.835;0.149;0.777;0.752;0.479;0.469;0.149;0.759;0.734;0.555;0.258;0.469;0.479
ENST00000539277_90_90;0.909;0.48;0.835;1.0;0.124;0.931;0.905;0.474;0.48;0.162;0.893;0.869;0.492;0.233;0.48;0.474
ENST00000550354_90_90;0.122;0.089;0.149;0.124;1.0;0.116;0.091;0.092;0.089;0.0;0.122;0.098;0.19;0.0;0.089;0.092
ENST00000551659_90_90;0.978;0.498;0.777;0.931;0.116;1.0;0.976;0.493;0.498;0.195;0.963;0.938;0.559;0.216;0.498;0.493
ENST00000552618_90_90;0.954;0.481;0.752;0.905;0.091;0.976;1.0;0.475;0.481;0.2;0.938;0.962;0.535;0.222;0.481;0.475
ENST00000373701_90_90;0.504;0.974;0.479;0.474;0.092;0.493;0.475;1.0;0.974;0.228;0.491;0.473;0.303;0.106;0.974;1.0
ENST00000373719_90_90;0.51;1.0;0.469;0.48;0.089;0.498;0.481;0.974;1.0;0.237;0.496;0.479;0.297;0.103;1.0;0.974
ENST00000444774_90_90;0.198;0.237;0.149;0.162;0.0;0.195;0.2;0.228;0.237;1.0;0.191;0.196;0.247;0.312;0.237;0.228
ENSMUST00000060095_90_90;0.968;0.496;0.759;0.893;0.122;0.963;0.938;0.491;0.496;0.191;1.0;0.976;0.58;0.225;0.496;0.491
ENSMUST00000100772_90_90;0.944;0.479;0.734;0.869;0.098;0.938;0.962;0.473;0.479;0.196;0.976;1.0;0.555;0.23;0.479;0.473
ENSMUST00000140797_90_90;0.573;0.297;0.555;0.492;0.19;0.559;0.535;0.303;0.297;0.247;0.58;0.555;1.0;0.373;0.297;0.303
ENSMUST00000203991_90_90;0.22;0.103;0.258;0.233;0.0;0.216;0.222;0.106;0.103;0.312;0.225;0.23;0.373;1.0;0.103;0.106
ENSMUST00000044475_90_90;0.51;1.0;0.469;0.48;0.089;0.498;0.481;0.974;1.0;0.237;0.496;0.479;0.297;0.103;1.0;0.974
ENSMUST00000119299_90_90;0.504;0.974;0.479;0.474;0.092;0.493;0.475;1.0;0.974;0.228;0.491;0.473;0.303;0.106;0.974;1.0
