;ENSCAFT00000032340_90_90;ENST00000342203_90_90;ENST00000422026_90_90;ENST00000437941_90_90;ENST00000476905_90_90;ENST00000481102_90_90;ENST00000603677_90_90;ENST00000605755_90_90;ENSMUST00000039021_90_90;ENSMUST00000106149_90_90;ENSMUST00000106151_90_90;ENSMUST00000106153_90_90;ENSMUST00000129978_90_90;ENSMUST00000149262_90_90
ENSCAFT00000032340_90_90;1.0;0.737;0.438;0.579;0.526;0.684;0.118;0.579;0.833;0.833;0.833;0.889;0.312;0.25
ENST00000342203_90_90;0.737;1.0;0.333;0.824;0.667;0.833;0.053;0.824;0.7;0.7;0.7;0.75;0.294;0.235
ENST00000422026_90_90;0.438;0.333;1.0;0.167;0.333;0.353;0.0;0.167;0.412;0.412;0.412;0.389;0.714;0.571
ENST00000437941_90_90;0.579;0.824;0.167;1.0;0.588;0.667;0.062;1.0;0.55;0.55;0.55;0.6;0.118;0.059
ENST00000476905_90_90;0.526;0.667;0.333;0.588;1.0;0.706;0.0;0.588;0.5;0.5;0.5;0.55;0.286;0.214
ENST00000481102_90_90;0.684;0.833;0.353;0.667;0.706;1.0;0.056;0.667;0.65;0.65;0.65;0.7;0.312;0.25
ENST00000603677_90_90;0.118;0.053;0.0;0.062;0.0;0.056;1.0;0.062;0.111;0.111;0.111;0.105;0.0;0.0
ENST00000605755_90_90;0.579;0.824;0.167;1.0;0.588;0.667;0.062;1.0;0.55;0.55;0.55;0.6;0.118;0.059
ENSMUST00000039021_90_90;0.833;0.7;0.412;0.55;0.5;0.65;0.111;0.55;1.0;1.0;1.0;0.944;0.294;0.235
ENSMUST00000106149_90_90;0.833;0.7;0.412;0.55;0.5;0.65;0.111;0.55;1.0;1.0;1.0;0.944;0.294;0.235
ENSMUST00000106151_90_90;0.833;0.7;0.412;0.55;0.5;0.65;0.111;0.55;1.0;1.0;1.0;0.944;0.294;0.235
ENSMUST00000106153_90_90;0.889;0.75;0.389;0.6;0.55;0.7;0.105;0.6;0.944;0.944;0.944;1.0;0.278;0.222
ENSMUST00000129978_90_90;0.312;0.294;0.714;0.118;0.286;0.312;0.0;0.118;0.294;0.294;0.294;0.278;1.0;0.8
ENSMUST00000149262_90_90;0.25;0.235;0.571;0.059;0.214;0.25;0.0;0.059;0.235;0.235;0.235;0.222;0.8;1.0
