;ENSCAFT00000013391_90_90;ENST00000338183_90_90;ENST00000437989_90_90;ENST00000562489_90_90;ENST00000562877_90_90;ENST00000563167_90_90;ENST00000564586_90_90;ENST00000566621_90_90;ENST00000566807_90_90;ENST00000567389_90_90;ENST00000569302_90_90;ENSMUST00000110918_90_90;ENSMUST00000166472_90_90
ENSCAFT00000013391_90_90;1.0;0.126;0.399;0.0;0.126;0.014;0.349;0.399;0.14;0.126;0.392;0.399;0.392
ENST00000338183_90_90;0.126;1.0;0.557;0.443;1.0;0.169;0.192;0.557;0.719;1.0;0.543;0.531;0.518
ENST00000437989_90_90;0.399;0.557;1.0;0.26;0.557;0.123;0.449;1.0;0.396;0.557;0.972;0.929;0.904
ENST00000562489_90_90;0.0;0.443;0.26;1.0;0.443;0.289;0.0;0.26;0.175;0.443;0.254;0.24;0.234
ENST00000562877_90_90;0.126;1.0;0.557;0.443;1.0;0.169;0.192;0.557;0.719;1.0;0.543;0.531;0.518
ENST00000563167_90_90;0.014;0.169;0.123;0.289;0.169;1.0;0.031;0.123;0.0;0.169;0.12;0.104;0.102
ENST00000564586_90_90;0.349;0.192;0.449;0.0;0.192;0.031;1.0;0.449;0.236;0.192;0.435;0.449;0.435
ENST00000566621_90_90;0.399;0.557;1.0;0.26;0.557;0.123;0.449;1.0;0.396;0.557;0.972;0.929;0.904
ENST00000566807_90_90;0.14;0.719;0.396;0.175;0.719;0.0;0.236;0.396;1.0;0.719;0.385;0.396;0.385
ENST00000567389_90_90;0.126;1.0;0.557;0.443;1.0;0.169;0.192;0.557;0.719;1.0;0.543;0.531;0.518
ENST00000569302_90_90;0.392;0.543;0.972;0.254;0.543;0.12;0.435;0.972;0.385;0.543;1.0;0.904;0.931
ENSMUST00000110918_90_90;0.399;0.531;0.929;0.24;0.531;0.104;0.449;0.929;0.396;0.531;0.904;1.0;0.972
ENSMUST00000166472_90_90;0.392;0.518;0.904;0.234;0.518;0.102;0.435;0.904;0.385;0.518;0.931;0.972;1.0
