;ENSCAFT00000012216_90_90;ENST00000320694_90_90;ENST00000336483_90_90;ENST00000517698_90_90;ENST00000519025_90_90;ENST00000520675_90_90;ENST00000521381_90_90;ENST00000521409_90_90;ENST00000521657_90_90;ENST00000522084_90_90;ENST00000523807_90_90;ENST00000523872_90_90;ENSMUST00000035532_90_90;ENSMUST00000055518_90_90;ENSMUST00000185795_90_90;ENSMUST00000187009_90_90
ENSCAFT00000012216_90_90;1.0;0.505;0.516;0.045;0.286;0.175;0.702;0.204;0.702;0.176;0.204;0.401;0.548;0.871;0.24;0.294
ENST00000320694_90_90;0.505;1.0;0.856;0.037;0.487;0.0;0.487;0.355;0.487;0.24;0.284;0.695;0.797;0.525;0.357;0.455
ENST00000336483_90_90;0.516;0.856;1.0;0.149;0.456;0.0;0.469;0.33;0.469;0.227;0.268;0.647;0.931;0.504;0.335;0.424
ENST00000517698_90_90;0.045;0.037;0.149;1.0;0.051;0.0;0.018;0.0;0.018;0.048;0.044;0.0;0.149;0.024;0.054;0.057
ENST00000519025_90_90;0.286;0.487;0.456;0.051;1.0;0.0;0.253;0.642;0.253;0.152;0.209;0.492;0.456;0.301;0.352;0.648
ENST00000520675_90_90;0.175;0.0;0.0;0.0;0.0;1.0;0.177;0.0;0.177;0.0;0.0;0.0;0.0;0.159;0.0;0.0
ENST00000521381_90_90;0.702;0.487;0.469;0.018;0.253;0.177;1.0;0.181;1.0;0.261;0.288;0.37;0.447;0.723;0.186;0.236
ENST00000521409_90_90;0.204;0.355;0.33;0.0;0.642;0.0;0.181;1.0;0.181;0.055;0.119;0.547;0.33;0.214;0.261;0.591
ENST00000521657_90_90;0.702;0.487;0.469;0.018;0.253;0.177;1.0;0.181;1.0;0.261;0.288;0.37;0.447;0.723;0.186;0.236
ENST00000522084_90_90;0.176;0.24;0.227;0.048;0.152;0.0;0.261;0.055;0.261;1.0;0.896;0.04;0.193;0.136;0.389;0.245
ENST00000523807_90_90;0.204;0.284;0.268;0.044;0.209;0.0;0.288;0.119;0.288;0.896;1.0;0.086;0.232;0.165;0.472;0.31
ENST00000523872_90_90;0.401;0.695;0.647;0.0;0.492;0.0;0.37;0.547;0.37;0.04;0.086;1.0;0.647;0.416;0.174;0.347
ENSMUST00000035532_90_90;0.548;0.797;0.931;0.149;0.456;0.0;0.447;0.33;0.447;0.193;0.232;0.647;1.0;0.536;0.384;0.478
ENSMUST00000055518_90_90;0.871;0.525;0.504;0.024;0.301;0.159;0.723;0.214;0.723;0.136;0.165;0.416;0.536;1.0;0.256;0.311
ENSMUST00000185795_90_90;0.24;0.357;0.335;0.054;0.352;0.0;0.186;0.261;0.186;0.389;0.472;0.174;0.384;0.256;1.0;0.584
ENSMUST00000187009_90_90;0.294;0.455;0.424;0.057;0.648;0.0;0.236;0.591;0.236;0.245;0.31;0.347;0.478;0.311;0.584;1.0
