;ENSCAFT00000011926_90_90;ENST00000419482_90_90;ENST00000438570_90_90;ENST00000444564_90_90;ENSMUST00000074301_90_90;ENSMUST00000114186_90_90;ENSMUST00000114188_90_90;ENSMUST00000129630_90_90;ENSMUST00000173297_90_90;ENSMUST00000173730_90_90
ENSCAFT00000011926_90_90;1.0;1.0;0.278;0.944;0.667;0.667;0.5;0.417;0.25;0.083
ENST00000419482_90_90;1.0;1.0;0.238;0.95;0.667;0.667;0.5;0.417;0.25;0.0
ENST00000438570_90_90;0.278;0.238;1.0;0.25;0.0;0.0;0.286;0.0;1.0;0.0
ENST00000444564_90_90;0.944;0.95;0.25;1.0;0.667;0.667;0.5;0.417;0.25;0.0
ENSMUST00000074301_90_90;0.667;0.667;0.0;0.667;1.0;0.95;0.609;0.286;0.0;0.15
ENSMUST00000114186_90_90;0.667;0.667;0.0;0.667;0.95;1.0;0.565;0.3;0.0;0.158
ENSMUST00000114188_90_90;0.5;0.5;0.286;0.5;0.609;0.565;1.0;0.0;0.167;0.176
ENSMUST00000129630_90_90;0.417;0.417;0.0;0.417;0.286;0.3;0.0;1.0;0.0;0.0
ENSMUST00000173297_90_90;0.25;0.25;1.0;0.25;0.0;0.0;0.167;0.0;1.0;0.0
ENSMUST00000173730_90_90;0.083;0.0;0.0;0.0;0.15;0.158;0.176;0.0;0.0;1.0
