;ENSCAFT00000008902_90_90;ENSCAFT00000008903_90_90;ENST00000343600_90_90;ENST00000345429_90_90;ENST00000376673_90_90;ENST00000397601_90_90;ENST00000449284_90_90;ENST00000469707_90_90;ENSMUST00000088419_90_90;ENSMUST00000167459_90_90
ENSCAFT00000008902_90_90;1.0;0.357;0.462;0.833;0.615;0.462;0.308;0.182;0.615;0.667
ENSCAFT00000008903_90_90;0.357;1.0;0.778;0.462;0.636;0.778;0.167;0.25;0.5;0.545
ENST00000343600_90_90;0.462;0.778;1.0;0.583;0.8;1.0;0.273;0.25;0.636;0.7
ENST00000345429_90_90;0.833;0.462;0.583;1.0;0.75;0.583;0.417;0.182;0.75;0.818
ENST00000376673_90_90;0.615;0.636;0.8;0.75;1.0;0.8;0.231;0.2;0.667;0.727
ENST00000397601_90_90;0.462;0.778;1.0;0.583;0.8;1.0;0.273;0.25;0.636;0.7
ENST00000449284_90_90;0.308;0.167;0.273;0.417;0.231;0.273;1.0;0.0;0.455;0.364
ENST00000469707_90_90;0.182;0.25;0.25;0.182;0.2;0.25;0.0;1.0;0.2;0.222
ENSMUST00000088419_90_90;0.615;0.5;0.636;0.75;0.667;0.636;0.455;0.2;1.0;0.9
ENSMUST00000167459_90_90;0.667;0.545;0.7;0.818;0.727;0.7;0.364;0.222;0.9;1.0
