;ENSCAFT00000021220_90_90;ENSCAFT00000044299_90_90;ENST00000356634_90_90;ENST00000400181_90_90;ENST00000465864_90_90;ENST00000494920_90_90;ENSMUST00000046846_90_90;ENSMUST00000105847_90_90;ENSMUST00000116273_90_90;ENSMUST00000155354_90_90;ENSMUST00000170979_90_90
ENSCAFT00000021220_90_90;1.0;0.875;0.692;0.778;0.333;0.192;0.64;0.84;0.8;0.385;0.28
ENSCAFT00000044299_90_90;0.875;1.0;0.783;0.667;0.375;0.217;0.727;0.87;0.909;0.435;0.208
ENST00000356634_90_90;0.692;0.783;1.0;0.833;0.455;0.227;0.609;0.68;0.708;0.391;0.217
ENST00000400181_90_90;0.778;0.667;0.833;1.0;0.385;0.192;0.519;0.643;0.607;0.333;0.333
ENST00000465864_90_90;0.333;0.375;0.455;0.385;1.0;0.267;0.381;0.308;0.32;0.412;0.053
ENST00000494920_90_90;0.192;0.217;0.227;0.192;0.267;1.0;0.263;0.208;0.217;0.056;0.0
ENSMUST00000046846_90_90;0.64;0.727;0.609;0.519;0.381;0.263;1.0;0.773;0.81;0.45;0.19
ENSMUST00000105847_90_90;0.84;0.87;0.68;0.643;0.308;0.208;0.773;1.0;0.955;0.417;0.2
ENSMUST00000116273_90_90;0.8;0.909;0.708;0.607;0.32;0.217;0.81;0.955;1.0;0.435;0.208
ENSMUST00000155354_90_90;0.385;0.435;0.391;0.333;0.412;0.056;0.45;0.417;0.435;1.0;0.25
ENSMUST00000170979_90_90;0.28;0.208;0.217;0.333;0.053;0.0;0.19;0.2;0.208;0.25;1.0
