;ENSCAFT00000006410_90_90;ENSCAFT00000006413_90_90;ENSCAFT00000011282_90_90;ENST00000229471_90_90;ENST00000354650_90_90;ENST00000368667_90_90;ENST00000368678_90_90;ENST00000368682_90_90;ENST00000462598_90_90;ENST00000462856_90_90;ENST00000484067_90_90;ENST00000487824_90_90;ENST00000517419_90_90;ENST00000518295_90_90;ENST00000518630_90_90;ENST00000520518_90_90;ENST00000521062_90_90;ENST00000523238_90_90;ENST00000523570_90_90;ENST00000523574_90_90;ENST00000524310_90_90;ENST00000538466_90_90;ENST00000519728_90_90;ENST00000520050_90_90;ENST00000520220_90_90;ENSMUST00000063091_90_90;ENSMUST00000099967_90_90;ENSMUST00000126486_90_90;ENSMUST00000135242_90_90;ENSMUST00000136659_90_90;ENSMUST00000146287_90_90;ENSMUST00000148152_90_90;ENSMUST00000157009_90_90;ENSMUST00000041377_90_90;ENSMUST00000103010_90_90
ENSCAFT00000006410_90_90;1.0;0.5;0.765;0.87;0.956;0.956;0.833;0.833;0.236;0.583;0.327;0.197;0.507;0.464;0.388;0.528;0.312;0.453;0.374;0.418;0.434;0.833;0.765;0.351;0.724;0.833;0.956;0.833;0.833;0.87;0.833;0.356;0.102;0.765;0.724
ENSCAFT00000006413_90_90;0.5;1.0;0.515;0.557;0.5;0.5;0.513;0.513;0.0;0.259;0.0;0.0;0.175;0.127;0.041;0.199;0.0;0.114;0.027;0.075;0.093;0.513;0.515;0.169;0.549;0.513;0.5;0.513;0.513;0.557;0.513;0.0;0.0;0.515;0.549
ENSCAFT00000011282_90_90;0.765;0.515;1.0;0.688;0.748;0.748;0.657;0.657;0.159;0.442;0.216;0.15;0.368;0.325;0.248;0.388;0.201;0.313;0.235;0.279;0.295;0.657;1.0;0.462;0.922;0.657;0.748;0.657;0.657;0.688;0.657;0.23;0.103;1.0;0.922
ENST00000229471_90_90;0.87;0.557;0.688;1.0;0.892;0.892;0.927;0.927;0.265;0.677;0.367;0.221;0.593;0.543;0.456;0.617;0.35;0.53;0.441;0.491;0.509;0.927;0.688;0.392;0.645;0.927;0.892;0.927;0.927;1.0;0.927;0.4;0.115;0.688;0.645
ENST00000354650_90_90;0.956;0.5;0.748;0.892;1.0;1.0;0.833;0.833;0.236;0.603;0.327;0.197;0.527;0.484;0.405;0.548;0.312;0.472;0.392;0.437;0.453;0.833;0.748;0.351;0.708;0.833;1.0;0.833;0.833;0.892;0.833;0.356;0.102;0.748;0.708
ENST00000368667_90_90;0.956;0.5;0.748;0.892;1.0;1.0;0.833;0.833;0.236;0.603;0.327;0.197;0.527;0.484;0.405;0.548;0.312;0.472;0.392;0.437;0.453;0.833;0.748;0.351;0.708;0.833;1.0;0.833;0.833;0.892;0.833;0.356;0.102;0.748;0.708
ENST00000368678_90_90;0.833;0.513;0.657;0.927;0.833;0.833;1.0;1.0;0.248;0.632;0.344;0.207;0.554;0.509;0.427;0.577;0.328;0.496;0.413;0.461;0.478;1.0;0.657;0.366;0.616;1.0;0.833;1.0;1.0;0.927;1.0;0.376;0.107;0.657;0.616
ENST00000368682_90_90;0.833;0.513;0.657;0.927;0.833;0.833;1.0;1.0;0.248;0.632;0.344;0.207;0.554;0.509;0.427;0.577;0.328;0.496;0.413;0.461;0.478;1.0;0.657;0.366;0.616;1.0;0.833;1.0;1.0;0.927;1.0;0.376;0.107;0.657;0.616
ENST00000462598_90_90;0.236;0.0;0.159;0.265;0.236;0.236;0.248;0.248;1.0;0.371;0.703;0.862;0.434;0.479;0.585;0.415;0.735;0.488;0.601;0.528;0.51;0.248;0.159;0.315;0.106;0.248;0.236;0.248;0.248;0.265;0.248;0.647;0.462;0.159;0.106
ENST00000462856_90_90;0.583;0.259;0.442;0.677;0.603;0.603;0.632;0.632;0.371;1.0;0.523;0.316;0.848;0.77;0.637;0.887;0.501;0.755;0.617;0.698;0.724;0.632;0.442;0.581;0.397;0.632;0.603;0.632;0.632;0.677;0.632;0.57;0.167;0.442;0.397
