;transcript7_ENSCGRG00015005362;transcript7_ENSCGRG00000018457;transcript33_ENSCGRG00015005362;transcript33_ENSCGRG00000018457;transcript33_ENSCGRG00001010245;transcript41_ENSCGRG00015005362;transcript42_ENSCGRG00015005362;transcript43_ENSCGRG00015005362;transcript46_ENSCGRG00000018457;transcript47_ENSCGRG00000018457;transcript40_ENSCGRG00001010245
transcript7_ENSCGRG00015005362;1.0;0.833;0.625;0.625;0.625;0.5;0.714;0.714;0.625;0.571;0.625
transcript7_ENSCGRG00000018457;0.833;1.0;0.75;0.75;0.75;0.625;0.857;0.857;0.75;0.714;0.75
transcript33_ENSCGRG00015005362;0.625;0.75;1.0;1.0;1.0;0.875;0.875;0.875;1.0;0.75;1.0
transcript33_ENSCGRG00000018457;0.625;0.75;1.0;1.0;1.0;0.875;0.875;0.875;1.0;0.75;1.0
transcript33_ENSCGRG00001010245;0.625;0.75;1.0;1.0;1.0;0.875;0.875;0.875;1.0;0.75;1.0
transcript41_ENSCGRG00015005362;0.5;0.625;0.875;0.875;0.875;1.0;0.75;0.75;0.875;0.625;0.875
transcript42_ENSCGRG00015005362;0.714;0.857;0.875;0.875;0.875;0.75;1.0;1.0;0.875;0.625;0.875
transcript43_ENSCGRG00015005362;0.714;0.857;0.875;0.875;0.875;0.75;1.0;1.0;0.875;0.625;0.875
transcript46_ENSCGRG00000018457;0.625;0.75;1.0;1.0;1.0;0.875;0.875;0.875;1.0;0.75;1.0
transcript47_ENSCGRG00000018457;0.571;0.714;0.75;0.75;0.75;0.625;0.625;0.625;0.75;1.0;0.75
transcript40_ENSCGRG00001010245;0.625;0.75;1.0;1.0;1.0;0.875;0.875;0.875;1.0;0.75;1.0
