;ENSCAFT00000021589_90_90;ENSCAFT00000021597_90_90;ENSCAFT00000021600_90_90;ENST00000324432_90_90;ENST00000413936_90_90;ENST00000423646_90_90;ENST00000425780_90_90;ENST00000429179_90_90;ENST00000430490_90_90;ENST00000435251_90_90;ENST00000435861_90_90;ENST00000438930_90_90;ENST00000442516_90_90;ENST00000446600_90_90;ENST00000446820_90_90;ENST00000451769_90_90;ENST00000456590_90_90;ENST00000457529_90_90;ENSMUST00000005072_90_90;ENSMUST00000111142_90_90;ENSMUST00000111144_90_90;ENSMUST00000111145_90_90;ENSMUST00000125827_90_90;ENSMUST00000130345_90_90;ENSMUST00000199239_90_90
ENSCAFT00000021589_90_90;1.0;0.925;0.925;0.657;0.657;0.234;0.128;0.197;0.657;0.144;0.169;0.169;0.037;0.511;0.591;0.073;0.057;0.113;0.647;0.659;0.631;0.631;0.489;0.019;0.272
ENSCAFT00000021597_90_90;0.925;1.0;1.0;0.591;0.591;0.253;0.138;0.212;0.591;0.154;0.183;0.183;0.039;0.445;0.633;0.079;0.062;0.121;0.627;0.639;0.676;0.676;0.484;0.021;0.294
ENSCAFT00000021600_90_90;0.925;1.0;1.0;0.591;0.591;0.253;0.138;0.212;0.591;0.154;0.183;0.183;0.039;0.445;0.633;0.079;0.062;0.121;0.627;0.639;0.676;0.676;0.484;0.021;0.294
ENST00000324432_90_90;0.657;0.591;0.591;1.0;1.0;0.279;0.143;0.238;1.0;0.179;0.19;0.19;0.042;0.79;0.917;0.083;0.066;0.126;0.795;0.808;0.776;0.776;0.51;0.021;0.283
ENST00000413936_90_90;0.657;0.591;0.591;1.0;1.0;0.279;0.143;0.238;1.0;0.179;0.19;0.19;0.042;0.79;0.917;0.083;0.066;0.126;0.795;0.808;0.776;0.776;0.51;0.021;0.283
ENST00000423646_90_90;0.234;0.253;0.253;0.279;0.279;1.0;0.505;0.84;0.279;0.0;0.652;0.652;0.141;0.07;0.305;0.283;0.226;0.449;0.269;0.265;0.283;0.283;0.413;0.074;0.845
ENST00000425780_90_90;0.128;0.138;0.138;0.143;0.143;0.505;1.0;0.601;0.143;0.0;0.696;0.696;0.274;0.0;0.157;0.551;0.443;0.893;0.149;0.146;0.157;0.157;0.228;0.145;0.465
ENST00000429179_90_90;0.197;0.212;0.212;0.238;0.238;0.84;0.601;1.0;0.238;0.0;0.776;0.776;0.165;0.028;0.261;0.331;0.266;0.537;0.228;0.224;0.239;0.239;0.346;0.087;0.701
ENST00000430490_90_90;0.657;0.591;0.591;1.0;1.0;0.279;0.143;0.238;1.0;0.179;0.19;0.19;0.042;0.79;0.917;0.083;0.066;0.126;0.795;0.808;0.776;0.776;0.51;0.021;0.283
ENST00000435251_90_90;0.144;0.154;0.154;0.179;0.179;0.0;0.0;0.0;0.179;1.0;0.0;0.0;0.0;0.232;0.196;0.0;0.0;0.0;0.147;0.163;0.174;0.174;0.095;0.0;0.0
