;transcript5_ENSHGLG00100003156;transcript18_ENSHGLG00100003156;transcript33_ENSHGLG00100003156;transcript34_ENSHGLG00100003156;transcript35_ENSHGLG00100003156;transcript36_ENSHGLG00100003156;transcript5_ENSHGLG00100006079;transcript30_ENSHGLG00100006079;transcript5_ENSPCIG00000036398;transcript5_ENSXMAG00000026005;transcript7_ENSXMAG00000026005
transcript5_ENSHGLG00100003156;1.0;1.0;0.745;0.943;0.847;0.848;0.984;0.853;0.999;0.999;0.999
transcript18_ENSHGLG00100003156;1.0;1.0;0.745;0.943;0.847;0.848;0.984;0.853;0.999;0.999;0.999
transcript33_ENSHGLG00100003156;0.745;0.745;1.0;0.764;0.871;0.878;0.731;0.601;0.744;0.744;0.744
transcript34_ENSHGLG00100003156;0.943;0.943;0.764;1.0;0.79;0.791;0.926;0.796;0.942;0.942;0.942
transcript35_ENSHGLG00100003156;0.847;0.847;0.871;0.79;1.0;0.992;0.833;0.706;0.849;0.846;0.846
transcript36_ENSHGLG00100003156;0.848;0.848;0.878;0.791;0.992;1.0;0.834;0.705;0.847;0.847;0.847
transcript5_ENSHGLG00100006079;0.984;0.984;0.731;0.926;0.833;0.834;1.0;0.867;0.983;0.983;0.983
transcript30_ENSHGLG00100006079;0.853;0.853;0.601;0.796;0.706;0.705;0.867;1.0;0.853;0.852;0.852
transcript5_ENSPCIG00000036398;0.999;0.999;0.744;0.942;0.849;0.847;0.983;0.853;1.0;0.998;0.998
transcript5_ENSXMAG00000026005;0.999;0.999;0.744;0.942;0.846;0.847;0.983;0.852;0.998;1.0;1.0
transcript7_ENSXMAG00000026005;0.999;0.999;0.744;0.942;0.846;0.847;0.983;0.852;0.998;1.0;1.0
