;transcript9_ppan;transcript10_ppan;transcript15_ppan;transcript9_ptro;transcript10_ptro;transcript17_ptro;transcript10_hsap;transcript9_ggor;transcript10_ggor;transcript14_ggor;transcript17_ggor;transcript18_ggor
transcript9_ppan;1.0;0.75;1.0;1.0;0.75;1.0;0.625;1.0;0.75;1.0;0.875;1.0
transcript10_ppan;0.75;1.0;0.75;0.75;1.0;0.75;0.571;0.75;1.0;0.75;0.625;0.75
transcript15_ppan;1.0;0.75;1.0;1.0;0.75;1.0;0.625;1.0;0.75;1.0;0.875;1.0
transcript9_ptro;1.0;0.75;1.0;1.0;0.75;1.0;0.625;1.0;0.75;1.0;0.875;1.0
transcript10_ptro;0.75;1.0;0.75;0.75;1.0;0.75;0.571;0.75;1.0;0.75;0.625;0.75
transcript17_ptro;1.0;0.75;1.0;1.0;0.75;1.0;0.625;1.0;0.75;1.0;0.875;1.0
transcript10_hsap;0.625;0.571;0.625;0.625;0.571;0.625;1.0;0.625;0.571;0.625;0.5;0.625
transcript9_ggor;1.0;0.75;1.0;1.0;0.75;1.0;0.625;1.0;0.75;1.0;0.875;1.0
transcript10_ggor;0.75;1.0;0.75;0.75;1.0;0.75;0.571;0.75;1.0;0.75;0.625;0.75
transcript14_ggor;1.0;0.75;1.0;1.0;0.75;1.0;0.625;1.0;0.75;1.0;0.875;1.0
transcript17_ggor;0.875;0.625;0.875;0.875;0.625;0.875;0.5;0.875;0.625;0.875;1.0;0.875
transcript18_ggor;1.0;0.75;1.0;1.0;0.75;1.0;0.625;1.0;0.75;1.0;0.875;1.0
