;transcript8_ENSMSIG00000000513;transcript8_ENSMUSG00000054036;transcript8_ENSRNOG00000031503;transcript47_MGP-SPRETEiJ-G0021131;transcript47_ENSMUSG00000054036;transcript47_ENSMUGG00000013649;transcript42_ENSMUSG00000054036;transcript42_ENSRNOG00000031503;transcript54_ENSMUSG00000054036;transcript55_ENSMUSG00000054036;transcript7_ENSMUGG00000013649;transcript7_ENSMUGG00000013592;transcript44_ENSMUGG00000013649;transcript48_ENSMUGG00000013649;transcript28_ENSMUGG00000013592;transcript52_ENSMUGG00000013592;transcript53_ENSMUGG00000013592;transcript54_ENSMUGG00000013592;transcript25_ENSPEMG00000024651
transcript8_ENSMSIG00000000513;1.0;1.0;0.982;1.0;0.417;0.562;1.0;0.982;0.969;0.801;1.0;0.998;1.0;1.0;0.998;0.998;0.998;0.998;1.0
transcript8_ENSMUSG00000054036;1.0;1.0;0.982;0.834;0.413;0.559;0.848;0.815;0.826;0.686;0.603;0.611;0.568;0.568;0.576;0.602;0.576;0.576;0.568
transcript8_ENSRNOG00000031503;0.982;0.982;1.0;1.0;0.464;0.6;0.815;0.834;0.779;0.681;0.585;0.597;0.537;0.537;0.55;0.588;0.55;0.55;0.537
transcript47_MGP-SPRETEiJ-G0021131;1.0;0.834;1.0;1.0;1.0;1.0;0.834;1.0;0.666;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
transcript47_ENSMUSG00000054036;0.417;0.413;0.464;1.0;1.0;1.0;0.396;0.43;0.347;0.478;0.237;0.244;0.212;0.212;0.219;0.237;0.219;0.219;0.212
transcript47_ENSMUGG00000013649;0.562;0.559;0.6;1.0;1.0;1.0;0.541;0.567;0.521;0.579;0.215;0.225;0.204;0.205;0.213;0.215;0.214;0.217;0.204
transcript42_ENSMUSG00000054036;1.0;0.848;0.815;0.834;0.396;0.541;1.0;0.984;0.978;0.839;0.769;0.766;0.734;0.734;0.732;0.758;0.732;0.732;0.734
transcript42_ENSRNOG00000031503;0.982;0.815;0.834;1.0;0.43;0.567;0.984;1.0;0.949;0.856;0.772;0.77;0.723;0.723;0.723;0.76;0.723;0.723;0.723
transcript54_ENSMUSG00000054036;0.969;0.826;0.779;0.666;0.347;0.521;0.978;0.949;1.0;0.813;0.734;0.73;0.699;0.699;0.695;0.72;0.695;0.695;0.699
transcript55_ENSMUSG00000054036;0.801;0.686;0.681;1.0;0.478;0.579;0.839;0.856;0.813;1.0;0.661;0.674;0.628;0.628;0.642;0.665;0.642;0.642;0.628
transcript7_ENSMUGG00000013649;1.0;0.603;0.585;1.0;0.237;0.215;0.769;0.772;0.734;0.661;1.0;0.994;0.944;0.928;0.95;0.979;0.899;0.828;0.951
transcript7_ENSMUGG00000013592;0.998;0.611;0.597;1.0;0.244;0.225;0.766;0.77;0.73;0.674;0.994;1.0;0.907;0.895;0.925;0.986;0.877;0.808;0.889
transcript44_ENSMUGG00000013649;1.0;0.568;0.537;1.0;0.212;0.204;0.734;0.723;0.699;0.628;0.944;0.907;1.0;0.985;0.984;0.921;0.934;0.865;0.992
transcript48_ENSMUGG00000013649;1.0;0.568;0.537;1.0;0.212;0.205;0.734;0.723;0.699;0.628;0.928;0.895;0.985;1.0;0.974;0.91;0.923;0.851;0.978
transcript28_ENSMUGG00000013592;0.998;0.576;0.55;1.0;0.219;0.213;0.732;0.723;0.695;0.642;0.95;0.925;0.984;0.974;1.0;0.939;0.952;0.883;0.962
transcript52_ENSMUGG00000013592;0.998;0.602;0.588;1.0;0.237;0.215;0.758;0.76;0.72;0.665;0.979;0.986;0.921;0.91;0.939;1.0;0.891;0.822;0.902
transcript53_ENSMUGG00000013592;0.998;0.576;0.55;1.0;0.219;0.214;0.732;0.723;0.695;0.642;0.899;0.877;0.934;0.923;0.952;0.891;1.0;0.836;0.915
transcript54_ENSMUGG00000013592;0.998;0.576;0.55;1.0;0.219;0.217;0.732;0.723;0.695;0.642;0.828;0.808;0.865;0.851;0.883;0.822;0.836;1.0;0.851
transcript25_ENSPEMG00000024651;1.0;0.568;0.537;1.0;0.212;0.204;0.734;0.723;0.699;0.628;0.951;0.889;0.992;0.978;0.962;0.902;0.915;0.851;1.0
