;transcript49_ENSCGRG00015005362;transcript50_ENSCGRG00015005362;transcript50_ENSCGRG00000018457;transcript8_ENSCGRG00000018457;transcript44_ENSCGRG00000018457;transcript45_ENSCGRG00000018457;transcript45_ENSCGRG00001010245;transcript57_ENSCGRG00000018457;transcript58_ENSCGRG00000018457;transcript59_ENSCGRG00000018457;transcript60_ENSCGRG00000018457;transcript22_ENSCGRG00001010245;transcript22_ENSNGAG00000018584;transcript22_ENSSTOG00000019743
transcript49_ENSCGRG00015005362;1.0;0.706;0.706;0.673;1.0;0.698;0.698;0.886;0.886;0.53;0.693;0.698;0.705;0.698
transcript50_ENSCGRG00015005362;0.706;1.0;1.0;0.962;0.66;0.953;0.953;0.611;0.611;0.831;0.987;0.953;0.958;0.953
transcript50_ENSCGRG00000018457;0.706;1.0;1.0;0.935;0.66;0.927;0.927;0.611;0.611;0.831;0.987;0.927;0.933;0.927
transcript8_ENSCGRG00000018457;0.673;0.962;0.935;1.0;0.616;0.976;0.976;0.581;0.581;0.776;0.923;0.976;0.973;0.976
transcript44_ENSCGRG00000018457;1.0;0.66;0.66;0.616;1.0;0.639;0.639;0.886;0.886;0.495;0.647;0.639;0.647;0.639
transcript45_ENSCGRG00000018457;0.698;0.953;0.927;0.976;0.639;1.0;1.0;0.566;0.566;0.77;0.915;1.0;1.0;1.0
transcript45_ENSCGRG00001010245;0.698;0.953;0.927;0.976;0.639;1.0;1.0;0.566;0.566;0.77;0.915;1.0;1.0;1.0
transcript57_ENSCGRG00000018457;0.886;0.611;0.611;0.581;0.886;0.566;0.566;1.0;1.0;0.442;0.599;0.566;0.56;0.566
transcript58_ENSCGRG00000018457;0.886;0.611;0.611;0.581;0.886;0.566;0.566;1.0;1.0;0.442;0.599;0.566;0.56;0.566
transcript59_ENSCGRG00000018457;0.53;0.831;0.831;0.776;0.495;0.77;0.77;0.442;0.442;1.0;0.842;0.77;0.78;0.77
transcript60_ENSCGRG00000018457;0.693;0.987;0.987;0.923;0.647;0.915;0.915;0.599;0.599;0.842;1.0;0.915;0.914;0.915
transcript22_ENSCGRG00001010245;0.698;0.953;0.927;0.976;0.639;1.0;1.0;0.566;0.566;0.77;0.915;1.0;1.0;1.0
transcript22_ENSNGAG00000018584;0.705;0.958;0.933;0.973;0.647;1.0;1.0;0.56;0.56;0.78;0.914;1.0;1.0;1.0
transcript22_ENSSTOG00000019743;0.698;0.953;0.927;0.976;0.639;1.0;1.0;0.566;0.566;0.77;0.915;1.0;1.0;1.0
