;transcript6_ENSMPUG00000020072;transcript6_ENSECAG00000007947;transcript7_ENSECAG00000007947;transcript19_ENSECAG00000007947;transcript20_ENSECAG00000007947;transcript21_ENSECAG00000007947;transcript7_ENSMLUG00000027828;transcript13_ENSMLUG00000027828;transcript15_ENSCGRG00015005362;transcript15_ENSCGRG00000018457;transcript36_ENSCGRG00000018457;transcript15_ENSCGRG00001010245;transcript15_ENSPEMG00000024651;transcript15_ENSSTOG00000019743;transcript25_ENSCPOG00000024843
transcript6_ENSMPUG00000020072;1.0;0.959;0.928;0.843;0.959;0.782;0.985;0.698;1.0;0.933;0.852;1.0;1.0;1.0;1.0
transcript6_ENSECAG00000007947;0.959;1.0;0.966;0.877;1.0;0.818;0.946;0.663;0.955;0.897;0.831;0.955;0.954;0.954;0.957
transcript7_ENSECAG00000007947;0.928;0.966;1.0;0.843;0.966;0.783;0.91;0.624;0.918;0.863;0.796;0.918;0.92;0.908;0.924
transcript19_ENSECAG00000007947;0.843;0.877;0.843;1.0;0.877;0.932;0.84;0.543;0.955;0.955;0.887;0.955;0.954;0.954;0.839
transcript20_ENSECAG00000007947;0.959;1.0;0.966;0.877;1.0;0.818;0.946;0.663;0.955;0.897;0.831;0.955;0.954;0.954;0.957
transcript21_ENSECAG00000007947;0.782;0.818;0.783;0.932;0.818;1.0;0.798;0.564;0.889;0.889;0.95;0.889;0.881;0.916;0.782
transcript7_ENSMLUG00000027828;0.985;0.946;0.91;0.84;0.946;0.798;1.0;0.709;0.988;0.926;0.867;0.988;0.988;0.988;0.986
transcript13_ENSMLUG00000027828;0.698;0.663;0.624;0.543;0.663;0.564;0.709;1.0;0.656;0.599;0.635;0.656;0.658;0.656;0.696
transcript15_ENSCGRG00015005362;1.0;0.955;0.918;0.955;0.955;0.889;0.988;0.656;1.0;1.0;0.915;1.0;1.0;1.0;1.0
transcript15_ENSCGRG00000018457;0.933;0.897;0.863;0.955;0.897;0.889;0.926;0.599;1.0;1.0;0.915;1.0;1.0;1.0;0.934
transcript36_ENSCGRG00000018457;0.852;0.831;0.796;0.887;0.831;0.95;0.867;0.635;0.915;0.915;1.0;0.915;0.905;0.933;0.853
transcript15_ENSCGRG00001010245;1.0;0.955;0.918;0.955;0.955;0.889;0.988;0.656;1.0;1.0;0.915;1.0;1.0;1.0;1.0
transcript15_ENSPEMG00000024651;1.0;0.954;0.92;0.954;0.954;0.881;0.988;0.658;1.0;1.0;0.905;1.0;1.0;1.0;1.0
transcript15_ENSSTOG00000019743;1.0;0.954;0.908;0.954;0.954;0.916;0.988;0.656;1.0;1.0;0.933;1.0;1.0;1.0;1.0
transcript25_ENSCPOG00000024843;1.0;0.957;0.924;0.839;0.957;0.782;0.986;0.696;1.0;0.934;0.853;1.0;1.0;1.0;1.0
