;ENSCAFT00000013391_90_90;ENST00000338183_90_90;ENST00000437989_90_90;ENST00000562489_90_90;ENST00000562877_90_90;ENST00000563167_90_90;ENST00000564586_90_90;ENST00000566621_90_90;ENST00000566807_90_90;ENST00000567389_90_90;ENST00000569302_90_90;ENSMUST00000110918_90_90;ENSMUST00000166472_90_90
ENSCAFT00000013391_90_90;1.0;0.208;0.681;0.0;0.208;0.027;0.516;0.681;0.219;0.208;0.678;0.714;0.71
ENST00000338183_90_90;0.208;1.0;0.557;0.443;1.0;0.169;0.192;0.557;0.719;1.0;0.543;0.556;0.54
ENST00000437989_90_90;0.681;0.557;1.0;0.26;0.557;0.123;0.449;1.0;0.396;0.557;0.972;0.998;0.968
ENST00000562489_90_90;0.0;0.443;0.26;1.0;0.443;0.289;0.0;0.26;0.175;0.443;0.254;0.254;0.247
ENST00000562877_90_90;0.208;1.0;0.557;0.443;1.0;0.169;0.192;0.557;0.719;1.0;0.543;0.556;0.54
ENST00000563167_90_90;0.027;0.169;0.123;0.289;0.169;1.0;0.031;0.123;0.0;0.169;0.12;0.11;0.107
ENST00000564586_90_90;0.516;0.192;0.449;0.0;0.192;0.031;1.0;0.449;0.236;0.192;0.435;0.469;0.455
ENST00000566621_90_90;0.681;0.557;1.0;0.26;0.557;0.123;0.449;1.0;0.396;0.557;0.972;0.998;0.968
ENST00000566807_90_90;0.219;0.719;0.396;0.175;0.719;0.0;0.236;0.396;1.0;0.719;0.385;0.41;0.398
ENST00000567389_90_90;0.208;1.0;0.557;0.443;1.0;0.169;0.192;0.557;0.719;1.0;0.543;0.556;0.54
ENST00000569302_90_90;0.678;0.543;0.972;0.254;0.543;0.12;0.435;0.972;0.385;0.543;1.0;0.968;0.998
ENSMUST00000110918_90_90;0.714;0.556;0.998;0.254;0.556;0.11;0.469;0.998;0.41;0.556;0.968;1.0;0.972
ENSMUST00000166472_90_90;0.71;0.54;0.968;0.247;0.54;0.107;0.455;0.968;0.398;0.54;0.998;0.972;1.0
