;ENSCAFT00000031036_90_90;ENSCAFT00000043222_90_90;ENST00000164247_90_90;ENST00000341524_90_90;ENST00000352527_90_90;ENST00000378083_90_90;ENST00000378092_90_90;ENST00000378097_90_90;ENST00000378111_90_90;ENST00000389632_90_90;ENST00000428161_90_90;ENST00000445501_90_90;ENST00000458166_90_90;ENST00000462676_90_90;ENST00000472700_90_90;ENST00000602612_90_90;ENSMUST00000030768_90_90;ENSMUST00000105648_90_90;ENSMUST00000159186_90_90;ENSMUST00000159840_90_90;ENSMUST00000160884_90_90;ENSMUST00000161236_90_90;ENSMUST00000162017_90_90
ENSCAFT00000031036_90_90;1.0;0.65;0.552;0.552;0.576;0.691;0.576;0.552;0.152;0.372;0.441;0.048;0.527;0.057;0.17;0.483;0.653;0.623;0.619;0.653;0.623;0.228;0.0
ENSCAFT00000043222_90_90;0.65;1.0;0.828;0.828;0.767;0.542;0.767;0.828;0.341;0.617;0.617;0.22;0.592;0.067;0.311;0.732;0.843;0.907;0.892;0.843;0.907;0.42;0.127
ENST00000164247_90_90;0.552;0.828;1.0;1.0;0.931;0.61;0.931;1.0;0.341;0.696;0.655;0.22;0.734;0.042;0.28;0.807;0.767;0.828;0.783;0.767;0.828;0.386;0.127
ENST00000341524_90_90;0.552;0.828;1.0;1.0;0.931;0.61;0.931;1.0;0.341;0.696;0.655;0.22;0.734;0.042;0.28;0.807;0.767;0.828;0.783;0.767;0.828;0.386;0.127
ENST00000352527_90_90;0.576;0.767;0.931;0.931;1.0;0.638;1.0;0.931;0.276;0.627;0.702;0.151;0.786;0.045;0.221;0.746;0.812;0.767;0.726;0.812;0.767;0.322;0.087
ENST00000378083_90_90;0.691;0.542;0.61;0.61;0.638;1.0;0.638;0.61;0.143;0.391;0.436;0.044;0.594;0.035;0.142;0.497;0.544;0.522;0.567;0.544;0.522;0.176;0.0
ENST00000378092_90_90;0.576;0.767;0.931;0.931;1.0;0.638;1.0;0.931;0.276;0.627;0.702;0.151;0.786;0.045;0.221;0.746;0.812;0.767;0.726;0.812;0.767;0.322;0.087
ENST00000378097_90_90;0.552;0.828;1.0;1.0;0.931;0.61;0.931;1.0;0.341;0.696;0.655;0.22;0.734;0.042;0.28;0.807;0.767;0.828;0.783;0.767;0.828;0.386;0.127
ENST00000378111_90_90;0.152;0.341;0.341;0.341;0.276;0.143;0.276;0.341;1.0;0.471;0.348;0.45;0.096;0.074;0.498;0.333;0.246;0.307;0.288;0.246;0.307;0.58;0.26
ENST00000389632_90_90;0.372;0.617;0.696;0.696;0.627;0.391;0.627;0.696;0.471;1.0;0.822;0.317;0.429;0.057;0.378;0.671;0.552;0.617;0.581;0.552;0.617;0.543;0.182
ENST00000428161_90_90;0.441;0.617;0.655;0.655;0.702;0.436;0.702;0.655;0.348;0.822;1.0;0.195;0.495;0.057;0.274;0.631;0.658;0.617;0.582;0.658;0.617;0.416;0.115
ENST00000445501_90_90;0.048;0.22;0.22;0.22;0.151;0.044;0.151;0.22;0.45;0.317;0.195;1.0;0.0;0.0;0.308;0.215;0.122;0.189;0.175;0.122;0.189;0.399;0.617
ENST00000458166_90_90;0.527;0.592;0.734;0.734;0.786;0.594;0.786;0.734;0.096;0.429;0.495;0.0;1.0;0.056;0.095;0.57;0.658;0.622;0.589;0.658;0.622;0.162;0.0
ENST00000462676_90_90;0.057;0.067;0.042;0.042;0.045;0.035;0.045;0.042;0.074;0.057;0.057;0.0;0.056;1.0;0.202;0.041;0.072;0.067;0.062;0.072;0.067;0.119;0.0
ENST00000472700_90_90;0.17;0.311;0.28;0.28;0.221;0.142;0.221;0.28;0.498;0.378;0.274;0.308;0.095;0.202;1.0;0.273;0.221;0.28;0.263;0.221;0.28;0.512;0.145
ENST00000602612_90_90;0.483;0.732;0.807;0.807;0.746;0.497;0.746;0.807;0.333;0.671;0.631;0.215;0.57;0.041;0.273;1.0;0.673;0.732;0.693;0.673;0.732;0.373;0.123
ENSMUST00000030768_90_90;0.653;0.843;0.767;0.767;0.812;0.544;0.812;0.767;0.246;0.552;0.658;0.122;0.658;0.072;0.221;0.673;1.0;0.931;0.871;1.0;0.931;0.389;0.087
ENSMUST00000105648_90_90;0.623;0.907;0.828;0.828;0.767;0.522;0.767;0.828;0.307;0.617;0.617;0.189;0.622;0.067;0.28;0.732;0.931;1.0;0.935;0.931;1.0;0.458;0.127
ENSMUST00000159186_90_90;0.619;0.892;0.783;0.783;0.726;0.567;0.726;0.783;0.288;0.581;0.582;0.175;0.589;0.062;0.263;0.693;0.871;0.935;1.0;0.871;0.935;0.425;0.118
ENSMUST00000159840_90_90;0.653;0.843;0.767;0.767;0.812;0.544;0.812;0.767;0.246;0.552;0.658;0.122;0.658;0.072;0.221;0.673;1.0;0.931;0.871;1.0;0.931;0.389;0.087
ENSMUST00000160884_90_90;0.623;0.907;0.828;0.828;0.767;0.522;0.767;0.828;0.307;0.617;0.617;0.189;0.622;0.067;0.28;0.732;0.931;1.0;0.935;0.931;1.0;0.458;0.127
ENSMUST00000161236_90_90;0.228;0.42;0.386;0.386;0.322;0.176;0.322;0.386;0.58;0.543;0.416;0.399;0.162;0.119;0.512;0.373;0.389;0.458;0.425;0.389;0.458;1.0;0.278
ENSMUST00000162017_90_90;0.0;0.127;0.127;0.127;0.087;0.0;0.087;0.127;0.26;0.182;0.115;0.617;0.0;0.0;0.145;0.123;0.087;0.127;0.118;0.087;0.127;0.278;1.0
