;transcript49_ENSCGRG00015005362;transcript50_ENSCGRG00015005362;transcript8_ENSCGRG00000018457;transcript44_ENSCGRG00000018457;transcript45_ENSCGRG00000018457;transcript50_ENSCGRG00000018457;transcript57_ENSCGRG00000018457;transcript58_ENSCGRG00000018457;transcript59_ENSCGRG00000018457;transcript60_ENSCGRG00000018457;transcript22_ENSCGRG00001010245;transcript45_ENSCGRG00001010245;transcript22_ENSNGAG00000018584;transcript22_ENSSTOG00000019743
transcript49_ENSCGRG00015005362;1.0;0.578;0.633;1.0;0.656;0.578;0.881;0.881;0.411;0.567;0.656;0.656;0.413;0.656
transcript50_ENSCGRG00015005362;0.578;1.0;0.943;0.578;0.922;1.0;0.627;0.627;0.819;0.988;0.922;0.922;0.494;0.922
transcript8_ENSCGRG00000018457;0.633;0.943;1.0;0.633;0.978;0.943;0.591;0.591;0.773;0.932;0.978;0.978;0.517;0.978
transcript44_ENSCGRG00000018457;1.0;0.578;0.633;1.0;0.656;0.578;0.881;0.881;0.411;0.567;0.656;0.656;0.413;0.656
transcript45_ENSCGRG00000018457;0.656;0.922;0.978;0.656;1.0;0.922;0.578;0.578;0.756;0.911;1.0;1.0;0.522;1.0
transcript50_ENSCGRG00000018457;0.578;1.0;0.943;0.578;0.922;1.0;0.627;0.627;0.819;0.988;0.922;0.922;0.494;0.922
transcript57_ENSCGRG00000018457;0.881;0.627;0.591;0.881;0.578;0.627;1.0;1.0;0.446;0.614;0.578;0.578;0.375;0.578
transcript58_ENSCGRG00000018457;0.881;0.627;0.591;0.881;0.578;0.627;1.0;1.0;0.446;0.614;0.578;0.578;0.375;0.578
transcript59_ENSCGRG00000018457;0.411;0.819;0.773;0.411;0.756;0.819;0.446;0.446;1.0;0.829;0.756;0.756;0.438;0.756
transcript60_ENSCGRG00000018457;0.567;0.988;0.932;0.567;0.911;0.988;0.614;0.614;0.829;1.0;0.911;0.911;0.483;0.911
transcript22_ENSCGRG00001010245;0.656;0.922;0.978;0.656;1.0;0.922;0.578;0.578;0.756;0.911;1.0;1.0;0.522;1.0
transcript45_ENSCGRG00001010245;0.656;0.922;0.978;0.656;1.0;0.922;0.578;0.578;0.756;0.911;1.0;1.0;0.522;1.0
transcript22_ENSNGAG00000018584;0.413;0.494;0.517;0.413;0.522;0.494;0.375;0.375;0.438;0.483;0.522;0.522;1.0;0.522
transcript22_ENSSTOG00000019743;0.656;0.922;0.978;0.656;1.0;0.922;0.578;0.578;0.756;0.911;1.0;1.0;0.522;1.0
