;transcript36_ENSRNOG00000031503;transcript7_MGP-PahariEiJ-G0020237;transcript37_MGP-PahariEiJ-G0020237;transcript39_MGP-PahariEiJ-G0020237;transcript9_MGP-PahariEiJ-G0020237;transcript49_MGP-PahariEiJ-G0020237;transcript50_MGP-PahariEiJ-G0020237;transcript52_MGP-PahariEiJ-G0020237;transcript51_MGP-PahariEiJ-G0020237;transcript37_ENSRNOG00000031503;transcript44_ENSRNOG00000031503
transcript36_ENSRNOG00000031503;1.0;0.984;0.956;0.944;0.939;0.942;0.947;0.927;0.928;0.97;0.97
transcript7_MGP-PahariEiJ-G0020237;0.984;1.0;0.97;0.96;0.955;0.958;0.959;0.94;0.941;0.954;0.954
transcript37_MGP-PahariEiJ-G0020237;0.956;0.97;1.0;0.93;0.925;0.928;0.989;0.97;0.971;0.984;0.984
transcript39_MGP-PahariEiJ-G0020237;0.944;0.96;0.93;1.0;0.995;0.999;0.919;0.899;0.9;0.915;0.915
transcript9_MGP-PahariEiJ-G0020237;0.939;0.955;0.925;0.995;1.0;0.997;0.914;0.895;0.896;0.91;0.91
transcript49_MGP-PahariEiJ-G0020237;0.942;0.958;0.928;0.999;0.997;1.0;0.917;0.898;0.899;0.913;0.913
transcript50_MGP-PahariEiJ-G0020237;0.947;0.959;0.989;0.919;0.914;0.917;1.0;0.959;0.96;0.975;0.975
transcript52_MGP-PahariEiJ-G0020237;0.927;0.94;0.97;0.899;0.895;0.898;0.959;1.0;0.999;0.955;0.955
transcript51_MGP-PahariEiJ-G0020237;0.928;0.941;0.971;0.9;0.896;0.899;0.96;0.999;1.0;0.956;0.956
transcript37_ENSRNOG00000031503;0.97;0.954;0.984;0.915;0.91;0.913;0.975;0.955;0.956;1.0;1.0
transcript44_ENSRNOG00000031503;0.97;0.954;0.984;0.915;0.91;0.913;0.975;0.955;0.956;1.0;1.0
