;ENSCAFT00000021589_90_90;ENSCAFT00000021597_90_90;ENSCAFT00000021600_90_90;ENST00000324432_90_90;ENST00000413936_90_90;ENST00000423646_90_90;ENST00000425780_90_90;ENST00000429179_90_90;ENST00000430490_90_90;ENST00000435251_90_90;ENST00000435861_90_90;ENST00000438930_90_90;ENST00000442516_90_90;ENST00000446600_90_90;ENST00000446820_90_90;ENST00000451769_90_90;ENST00000456590_90_90;ENST00000457529_90_90;ENSMUST00000005072_90_90;ENSMUST00000111142_90_90;ENSMUST00000111144_90_90;ENSMUST00000111145_90_90;ENSMUST00000125827_90_90;ENSMUST00000130345_90_90;ENSMUST00000199239_90_90
ENSCAFT00000021589_90_90;1.0;0.925;0.925;0.967;0.967;0.333;0.2;0.3;0.967;0.233;0.267;0.267;0.067;0.7;0.867;0.133;0.1;0.167;0.903;0.935;0.903;0.903;0.613;0.032;0.387
ENSCAFT00000021597_90_90;0.925;1.0;1.0;0.867;0.867;0.37;0.222;0.333;0.867;0.259;0.296;0.296;0.074;0.6;0.963;0.148;0.111;0.185;0.931;0.966;1.0;1.0;0.567;0.036;0.429
ENSCAFT00000021600_90_90;0.925;1.0;1.0;0.867;0.867;0.37;0.222;0.333;0.867;0.259;0.296;0.296;0.074;0.6;0.963;0.148;0.111;0.185;0.931;0.966;1.0;1.0;0.567;0.036;0.429
ENST00000324432_90_90;0.967;0.867;0.867;1.0;1.0;0.333;0.182;0.303;1.0;0.235;0.235;0.235;0.061;0.727;0.909;0.121;0.091;0.152;0.862;0.897;0.862;0.862;0.621;0.036;0.379
ENST00000413936_90_90;0.967;0.867;0.867;1.0;1.0;0.333;0.182;0.303;1.0;0.235;0.235;0.235;0.061;0.727;0.909;0.121;0.091;0.152;0.862;0.897;0.862;0.862;0.621;0.036;0.379
ENST00000423646_90_90;0.333;0.37;0.37;0.333;0.333;1.0;0.545;0.909;0.333;0.0;0.667;0.667;0.182;0.061;0.367;0.364;0.273;0.455;0.385;0.37;0.385;0.385;0.526;0.1;0.833
ENST00000425780_90_90;0.2;0.222;0.222;0.182;0.182;0.545;1.0;0.6;0.182;0.0;0.667;0.667;0.333;0.0;0.2;0.667;0.5;0.833;0.231;0.222;0.231;0.231;0.316;0.167;0.5
ENST00000429179_90_90;0.3;0.333;0.333;0.303;0.303;0.909;0.6;1.0;0.303;0.0;0.727;0.727;0.2;0.03;0.333;0.4;0.3;0.5;0.346;0.333;0.346;0.346;0.474;0.111;0.75
ENST00000430490_90_90;0.967;0.867;0.867;1.0;1.0;0.333;0.182;0.303;1.0;0.235;0.235;0.235;0.061;0.727;0.909;0.121;0.091;0.152;0.862;0.897;0.862;0.862;0.621;0.036;0.379
ENST00000435251_90_90;0.233;0.259;0.259;0.235;0.235;0.0;0.0;0.0;0.235;1.0;0.0;0.0;0.0;0.32;0.258;0.0;0.0;0.0;0.222;0.259;0.269;0.269;0.13;0.0;0.0
