;ENSCAFT00000006937_90_90;ENST00000422453_90_90;ENST00000441626_90_90;ENST00000446936_90_90;ENST00000451728_90_90;ENST00000500450_90_90;ENST00000502976_90_90;ENST00000504813_90_90;ENST00000512338_90_90;ENSMUST00000032138_90_90;ENSMUST00000113617_90_90;ENSMUST00000113619_90_90;ENSMUST00000204653_90_90;ENSMUST00000204890_90_90
ENSCAFT00000006937_90_90;1.0;0.727;0.833;0.667;0.818;0.455;0.545;0.636;0.692;0.818;0.727;0.545;0.727;0.636
ENST00000422453_90_90;0.727;1.0;0.727;0.545;0.889;0.625;0.75;0.875;0.462;0.7;0.778;0.556;0.778;0.667
ENST00000441626_90_90;0.833;0.727;1.0;0.818;0.818;0.455;0.545;0.636;0.692;0.818;0.727;0.545;0.727;0.636
ENST00000446936_90_90;0.667;0.545;0.818;1.0;0.636;0.556;0.667;0.455;0.667;0.636;0.545;0.667;0.545;0.6
ENST00000451728_90_90;0.818;0.889;0.818;0.636;1.0;0.556;0.667;0.778;0.538;0.8;0.7;0.5;0.7;0.6
ENST00000500450_90_90;0.455;0.625;0.455;0.556;0.556;1.0;0.833;0.714;0.333;0.4;0.444;0.571;0.444;0.5
ENST00000502976_90_90;0.545;0.75;0.545;0.667;0.667;0.833;1.0;0.625;0.417;0.5;0.556;0.714;0.556;0.625
ENST00000504813_90_90;0.636;0.875;0.636;0.455;0.778;0.714;0.625;1.0;0.385;0.6;0.667;0.444;0.667;0.556
ENST00000512338_90_90;0.692;0.462;0.692;0.667;0.538;0.333;0.417;0.385;1.0;0.538;0.462;0.417;0.462;0.5
ENSMUST00000032138_90_90;0.818;0.7;0.818;0.636;0.8;0.4;0.5;0.6;0.538;1.0;0.889;0.667;0.889;0.778
ENSMUST00000113617_90_90;0.727;0.778;0.727;0.545;0.7;0.444;0.556;0.667;0.462;0.889;1.0;0.75;1.0;0.875
ENSMUST00000113619_90_90;0.545;0.556;0.545;0.667;0.5;0.571;0.714;0.444;0.417;0.667;0.75;1.0;0.75;0.857
ENSMUST00000204653_90_90;0.727;0.778;0.727;0.545;0.7;0.444;0.556;0.667;0.462;0.889;1.0;0.75;1.0;0.875
ENSMUST00000204890_90_90;0.636;0.667;0.636;0.6;0.6;0.5;0.625;0.556;0.5;0.778;0.875;0.857;0.875;1.0
