;ENSCAFT00000022682_90_90;ENST00000389384_90_90;ENST00000454077_90_90;ENST00000587097_90_90;ENST00000589805_90_90;ENST00000590169_90_90;ENST00000590537_90_90;ENST00000591295_90_90;ENSMUST00000073234_90_90;ENSMUST00000107132_90_90;ENSMUST00000107134_90_90;ENSMUST00000137387_90_90;ENSMUST00000141516_90_90
ENSCAFT00000022682_90_90;1.0;0.974;0.974;0.879;0.316;0.368;0.141;0.495;0.935;0.935;0.935;0.891;0.774
ENST00000389384_90_90;0.974;1.0;0.918;0.903;0.326;0.379;0.146;0.485;1.0;0.952;1.0;0.907;0.742
ENST00000454077_90_90;0.974;0.918;1.0;0.828;0.304;0.351;0.138;0.449;0.953;0.998;0.953;0.955;0.705
ENST00000587097_90_90;0.879;0.903;0.828;1.0;0.363;0.421;0.163;0.392;0.903;0.858;0.903;0.814;0.647
ENST00000589805_90_90;0.316;0.326;0.304;0.363;1.0;0.849;0.0;0.0;0.326;0.313;0.326;0.269;0.084
ENST00000590169_90_90;0.368;0.379;0.351;0.421;0.849;1.0;0.0;0.0;0.379;0.362;0.379;0.318;0.137
ENST00000590537_90_90;0.141;0.146;0.138;0.163;0.0;0.0;1.0;0.268;0.146;0.141;0.146;0.145;0.191
ENST00000591295_90_90;0.495;0.485;0.449;0.392;0.0;0.0;0.268;1.0;0.508;0.485;0.508;0.506;0.648
ENSMUST00000073234_90_90;0.935;1.0;0.953;0.903;0.326;0.379;0.146;0.508;1.0;0.918;1.0;0.877;0.71
ENSMUST00000107132_90_90;0.935;0.952;0.998;0.858;0.313;0.362;0.141;0.485;0.918;1.0;0.918;0.959;0.653
ENSMUST00000107134_90_90;0.935;1.0;0.953;0.903;0.326;0.379;0.146;0.508;1.0;0.918;1.0;0.877;0.71
ENSMUST00000137387_90_90;0.891;0.907;0.955;0.814;0.269;0.318;0.145;0.506;0.877;0.959;0.877;1.0;0.68
ENSMUST00000141516_90_90;0.774;0.742;0.705;0.647;0.084;0.137;0.191;0.648;0.71;0.653;0.71;0.68;1.0
