;ENSCAFT00000023887_90_90;ENSCAFT00000023892_90_90;ENSCAFT00000043832_90_90;ENST00000292476_90_90;ENST00000412686_90_90;ENST00000430038_90_90;ENST00000436336_90_90;ENST00000440514_90_90;ENST00000441580_90_90;ENST00000451876_90_90;ENST00000452047_90_90;ENSMUST00000070487_90_90;ENSMUST00000160422_90_90;ENSMUST00000160574_90_90;ENSMUST00000160629_90_90;ENSMUST00000160762_90_90;ENSMUST00000162244_90_90
ENSCAFT00000023887_90_90;1.0;0.377;0.442;0.488;0.544;0.097;0.538;0.155;0.381;0.433;0.303;0.463;0.516;0.285;0.585;0.465;0.569
ENSCAFT00000023892_90_90;0.377;1.0;0.803;0.74;0.225;0.144;0.819;0.432;0.573;0.898;0.51;0.907;0.749;0.244;0.799;0.579;0.827
ENSCAFT00000043832_90_90;0.442;0.803;1.0;0.946;0.315;0.114;0.85;0.553;0.627;0.713;0.564;0.724;0.951;0.195;0.831;0.717;0.857
ENST00000292476_90_90;0.488;0.74;0.946;1.0;0.296;0.129;0.91;0.51;0.659;0.784;0.576;0.73;0.952;0.201;0.835;0.724;0.859
ENST00000412686_90_90;0.544;0.225;0.315;0.296;1.0;0.0;0.326;0.143;0.438;0.216;0.227;0.218;0.3;0.0;0.338;0.389;0.331
ENST00000430038_90_90;0.097;0.144;0.114;0.129;0.0;1.0;0.14;0.0;0.0;0.16;0.072;0.146;0.116;0.55;0.131;0.114;0.127
ENST00000436336_90_90;0.538;0.819;0.85;0.91;0.326;0.14;1.0;0.432;0.725;0.861;0.623;0.804;0.859;0.221;0.919;0.698;0.947
ENST00000440514_90_90;0.155;0.432;0.553;0.51;0.143;0.0;0.432;1.0;0.558;0.384;0.441;0.409;0.55;0.0;0.438;0.481;0.462
ENST00000441580_90_90;0.381;0.573;0.627;0.659;0.438;0.0;0.725;0.558;1.0;0.586;0.616;0.546;0.625;0.0;0.662;0.635;0.689
ENST00000451876_90_90;0.433;0.898;0.713;0.784;0.216;0.16;0.861;0.384;0.586;1.0;0.506;0.937;0.73;0.256;0.826;0.562;0.804
ENST00000452047_90_90;0.303;0.51;0.564;0.576;0.227;0.072;0.623;0.441;0.616;0.506;1.0;0.549;0.623;0.107;0.654;0.629;0.681
ENSMUST00000070487_90_90;0.463;0.907;0.724;0.73;0.218;0.146;0.804;0.409;0.546;0.937;0.549;1.0;0.778;0.266;0.881;0.613;0.857
ENSMUST00000160422_90_90;0.516;0.749;0.951;0.952;0.3;0.116;0.859;0.55;0.625;0.73;0.623;0.778;1.0;0.212;0.883;0.772;0.908
ENSMUST00000160574_90_90;0.285;0.244;0.195;0.201;0.0;0.55;0.221;0.0;0.0;0.256;0.107;0.266;0.212;1.0;0.238;0.128;0.232
ENSMUST00000160629_90_90;0.585;0.799;0.831;0.835;0.338;0.131;0.919;0.438;0.662;0.826;0.654;0.881;0.883;0.238;1.0;0.722;0.973
ENSMUST00000160762_90_90;0.465;0.579;0.717;0.724;0.389;0.114;0.698;0.481;0.635;0.562;0.629;0.613;0.772;0.128;0.722;1.0;0.748
ENSMUST00000162244_90_90;0.569;0.827;0.857;0.859;0.331;0.127;0.947;0.462;0.689;0.804;0.681;0.857;0.908;0.232;0.973;0.748;1.0
